idx,chunking,our_relevance,our_utilization,our_completeness,our_adherence,ref_relevance,ref_utilization,ref_completeness,ref_adherence
0,C1,0.4706,0.4118,0.875,0,0.4117647058823529,0.17647058823529413,0.42857142857142855,0
1,C1,0.3462,0.0769,0.2222,0,0.2692307692307692,0.07692307692307693,0.2857142857142857,1
2,C1,0.1875,0.1875,1.0,1,0.125,0.0625,0.5,1
3,C1,0.15,0.1,0.6667,0,0.3,0.3,1.0,1
4,C1,0.0667,0.0667,1.0,1,0.06666666666666667,0.06666666666666667,1.0,1
5,C1,0.1765,0.0588,0.3333,1,0.29411764705882354,0.17647058823529413,0.6,1
6,C1,0.3889,0.0,0.0,1,0.05555555555555555,0.05555555555555555,1.0,1
7,C1,0.3182,0.1818,0.0,1,0.36363636363636365,0.045454545454545456,0.125,1
8,C1,0.1579,0.0526,0.3333,1,0.15789473684210525,0.05263157894736842,0.3333333333333333,1
9,C1,0.7083,0.0,0.0,0,1.0,0.041666666666666664,0.041666666666666664,1
