idx,embedding,chunking,k,our_relevance,our_utilization,our_completeness,our_adherence,ref_relevance,ref_utilization,ref_completeness,ref_adherence
0,E3_bge_m3_k4,whole_doc,4,0.8824,0.1765,0.2,0,0.4117647058823529,0.17647058823529413,0.42857142857142855,0
1,E3_bge_m3_k4,whole_doc,4,0.9231,0.0,0.0,0,0.2692307692307692,0.07692307692307693,0.2857142857142857,1
2,E3_bge_m3_k4,whole_doc,4,0.9375,0.125,0.1333,1,0.125,0.0625,0.5,1
3,E3_bge_m3_k4,whole_doc,4,0.2,0.1,0.5,1,0.3,0.3,1.0,1
4,E3_bge_m3_k4,whole_doc,4,0.2667,0.0667,0.25,1,0.06666666666666667,0.06666666666666667,1.0,1
5,E3_bge_m3_k4,whole_doc,4,0.6471,0.1176,0.1818,1,0.29411764705882354,0.17647058823529413,0.6,1
6,E3_bge_m3_k4,whole_doc,4,1.0,0.0,0.0,1,0.05555555555555555,0.05555555555555555,1.0,1
7,E3_bge_m3_k4,whole_doc,4,0.5909,0.0,0.0,0,0.36363636363636365,0.045454545454545456,0.125,1
8,E3_bge_m3_k4,whole_doc,4,0.2632,0.0526,0.2,1,0.15789473684210525,0.05263157894736842,0.3333333333333333,1
9,E3_bge_m3_k4,whole_doc,4,1.0,0.0,0.0,1,1.0,0.041666666666666664,0.041666666666666664,1
10,E3_bge_m3_k4,whole_doc,4,1.0,0.05,0.05,0,0.35,0.1,0.2857142857142857,1
11,E3_bge_m3_k4,whole_doc,4,1.0,0.1111,0.1111,0,0.3888888888888889,0.2222222222222222,0.5714285714285714,1
12,E3_bge_m3_k4,whole_doc,4,0.8,0.5333,0.6667,0,0.13333333333333333,0.06666666666666667,0.5,1
13,E3_bge_m3_k4,whole_doc,4,0.3158,0.0526,0.1667,1,0.10526315789473684,0.05263157894736842,0.5,1
14,E3_bge_m3_k4,whole_doc,4,0.7895,0.7895,1.0,0,0.2631578947368421,0.15789473684210525,0.6,1
15,E3_bge_m3_k4,whole_doc,4,1.0,0.4,0.4,0,0.2,0.2,1.0,1
16,E3_bge_m3_k4,whole_doc,4,0.8824,0.2353,0.2667,0,0.17647058823529413,0.11764705882352941,0.6666666666666666,0
17,E3_bge_m3_k4,whole_doc,4,0.7059,0.0588,0.0833,1,0.058823529411764705,0.058823529411764705,1.0,1
18,E3_bge_m3_k4,whole_doc,4,0.8333,0.1667,0.2,0,0.3333333333333333,0.3333333333333333,1.0,0
19,E3_bge_m3_k4,whole_doc,4,1.0,0.1,0.1,0,0.1,0.1,1.0,1
20,E3_bge_m3_k4,whole_doc,4,0.7241,0.1379,0.1905,0,0.41379310344827586,0.3448275862068966,0.8333333333333334,1
21,E3_bge_m3_k4,whole_doc,4,0.6522,0.0,0.0,0,0.13043478260869565,0.043478260869565216,0.3333333333333333,1
22,E3_bge_m3_k4,whole_doc,4,0.8182,0.8182,1.0,0,0.18181818181818182,0.18181818181818182,1.0,1
23,E3_bge_m3_k4,whole_doc,4,0.6842,0.6842,1.0,1,0.42105263157894735,0.15789473684210525,0.375,1
24,E3_bge_m3_k4,whole_doc,4,0.7059,0.0588,0.0833,1,0.23529411764705882,0.11764705882352941,0.5,0
25,E3_bge_m3_k4,whole_doc,4,0.6923,0.0,0.0,0,0.23076923076923078,0.15384615384615385,0.6666666666666666,1
26,E3_bge_m3_k4,whole_doc,4,1.0,1.0,1.0,0,0.4444444444444444,0.4444444444444444,1.0,1
27,E3_bge_m3_k4,whole_doc,4,0.1905,0.1905,1.0,0,0.19047619047619047,0.19047619047619047,1.0,1
28,E3_bge_m3_k4,whole_doc,4,0.3889,0.2778,0.7143,1,0.2222222222222222,0.05555555555555555,0.25,1
29,E3_bge_m3_k4,whole_doc,4,0.8571,0.8571,1.0,0,0.38095238095238093,0.38095238095238093,1.0,0
30,E3_bge_m3_k4,whole_doc,4,0.3182,0.3182,1.0,0,0.2727272727272727,0.22727272727272727,0.8333333333333334,0
31,E3_bge_m3_k4,whole_doc,4,0.8571,0.1429,0.1667,0,0.2857142857142857,0.14285714285714285,0.5,1
32,E3_bge_m3_k4,whole_doc,4,1.0,0.2381,0.2381,0,0.2857142857142857,0.09523809523809523,0.3333333333333333,1
33,E3_bge_m3_k4,whole_doc,4,0.5,0.5,1.0,0,0.4,0.25,0.625,1
34,E3_bge_m3_k4,whole_doc,4,1.0,0.25,0.25,1,0.625,0.625,1.0,1
35,E3_bge_m3_k4,whole_doc,4,0.7857,0.1429,0.1818,1,0.35714285714285715,0.35714285714285715,1.0,0
36,E3_bge_m3_k4,whole_doc,4,0.7333,0.7333,1.0,0,0.4,0.26666666666666666,0.6666666666666666,1
37,E3_bge_m3_k4,whole_doc,4,0.4286,0.2381,0.5556,0,0.2857142857142857,0.14285714285714285,0.5,1
38,E3_bge_m3_k4,whole_doc,4,0.35,0.05,0.1429,1,0.2,0.05,0.25,1
39,E3_bge_m3_k4,whole_doc,4,1.0,0.05,0.05,0,0.15,0.05,0.3333333333333333,1
40,E3_bge_m3_k4,whole_doc,4,0.5556,0.5556,1.0,0,0.6666666666666666,0.2222222222222222,0.3333333333333333,1
41,E3_bge_m3_k4,whole_doc,4,0.3636,0.0455,0.125,0,0.045454545454545456,0.045454545454545456,1.0,1
42,E3_bge_m3_k4,whole_doc,4,0.7143,0.7143,1.0,0,0.42857142857142855,0.42857142857142855,1.0,1
43,E3_bge_m3_k4,whole_doc,4,1.0,1.0,1.0,0,0.5263157894736842,0.42105263157894735,0.8,1
44,E3_bge_m3_k4,whole_doc,4,0.5,0.5,1.0,0,0.5,0.5,1.0,1
45,E3_bge_m3_k4,whole_doc,4,1.2,1.2,1.0,0,0.2,0.2,1.0,0
46,E3_bge_m3_k4,whole_doc,4,0.4737,0.0526,0.1111,1,0.21052631578947367,0.21052631578947367,1.0,0
47,E3_bge_m3_k4,whole_doc,4,0.4545,0.3636,0.8,0,0.2727272727272727,0.18181818181818182,0.6666666666666666,1
48,E3_bge_m3_k4,whole_doc,4,0.5,0.1364,0.2727,0,0.09090909090909091,0.045454545454545456,0.5,1
49,E3_bge_m3_k4,whole_doc,4,0.625,0.0625,0.1,0,0.3125,0.0625,0.2,1
50,E3_bge_m3_k4,whole_doc,4,0.087,0.087,1.0,1,0.043478260869565216,0.043478260869565216,1.0,1
51,E3_bge_m3_k4,whole_doc,4,0.3158,0.1579,0.1667,0,0.42105263157894735,0.21052631578947367,0.5,0
52,E3_bge_m3_k4,whole_doc,4,0.8889,0.1111,0.125,0,0.3333333333333333,0.2222222222222222,0.6666666666666666,1
53,E3_bge_m3_k4,whole_doc,4,0.9048,0.0476,0.0526,0,0.38095238095238093,0.047619047619047616,0.125,1
54,E3_bge_m3_k4,whole_doc,4,0.4211,0.4211,1.0,0,0.8421052631578947,0.47368421052631576,0.5625,1
55,E3_bge_m3_k4,whole_doc,4,0.8,0.4,0.5,0,0.4,0.25,0.625,1
56,E3_bge_m3_k4,whole_doc,4,0.5625,0.5625,1.0,0,0.75,0.4375,0.5833333333333334,1
57,E3_bge_m3_k4,whole_doc,4,0.4,0.1333,0.3333,0,0.3333333333333333,0.06666666666666667,0.2,1
58,E3_bge_m3_k4,whole_doc,4,0.6667,0.2667,0.4,0,0.4,0.4,1.0,1
59,E3_bge_m3_k4,whole_doc,4,0.7222,0.3333,0.4615,0,0.2777777777777778,0.2222222222222222,0.8,1
60,E3_bge_m3_k4,whole_doc,4,0.75,0.0625,0.0833,1,0.75,0.375,0.5,1
61,E3_bge_m3_k4,whole_doc,4,1.0,0.0,0.0,0,0.0,0.0,1.0,1
62,E3_bge_m3_k4,whole_doc,4,0.4286,0.3214,0.75,0,0.35714285714285715,0.2857142857142857,0.8,0
63,E3_bge_m3_k4,whole_doc,4,0.75,0.125,0.1667,0,0.375,0.375,1.0,0
64,E3_bge_m3_k4,whole_doc,4,0.875,0.0833,0.0952,0,0.375,0.16666666666666666,0.4444444444444444,1
65,E3_bge_m3_k4,whole_doc,4,1.0,0.0,0.0,0,0.125,0.0,0.0,1
66,E3_bge_m3_k4,whole_doc,4,0.8889,0.1667,0.1875,1,0.5,0.4444444444444444,0.8888888888888888,1
67,E3_bge_m3_k4,whole_doc,4,0.963,0.037,0.0385,1,0.14814814814814814,0.037037037037037035,0.25,1
68,E3_bge_m3_k4,whole_doc,4,0.7727,0.0909,0.1176,1,0.18181818181818182,0.18181818181818182,1.0,1
69,E3_bge_m3_k4,whole_doc,4,0.9545,0.1818,0.1905,0,0.22727272727272727,0.09090909090909091,0.4,1
70,E3_bge_m3_k4,whole_doc,4,0.4545,0.0909,0.2,0,0.4090909090909091,0.2727272727272727,0.6666666666666666,1
71,E3_bge_m3_k4,whole_doc,4,0.7273,0.0,0.0,0,0.09090909090909091,0.09090909090909091,1.0,1
72,E3_bge_m3_k4,whole_doc,4,0.875,0.0625,0.0714,1,0.25,0.0625,0.25,1
73,E3_bge_m3_k4,whole_doc,4,0.3333,0.0476,0.1429,1,0.09523809523809523,0.09523809523809523,1.0,1
74,E3_bge_m3_k4,whole_doc,4,1.0,0.0455,0.0455,0,0.13636363636363635,0.09090909090909091,0.6666666666666666,1
75,E3_bge_m3_k4,whole_doc,4,0.6,0.0,0.0,1,0.26666666666666666,0.26666666666666666,1.0,1
76,E3_bge_m3_k4,whole_doc,4,0.3333,0.2222,0.6667,1,0.2222222222222222,0.2222222222222222,1.0,1
77,E3_bge_m3_k4,whole_doc,4,0.625,0.1875,0.3,0,0.3125,0.0625,0.2,0
78,E3_bge_m3_k4,whole_doc,4,0.8182,0.0,0.0,0,0.0,0.0,1.0,1
79,E3_bge_m3_k4,whole_doc,4,0.4545,0.0909,0.2,1,0.45454545454545453,0.36363636363636365,0.8,1
80,E3_bge_m3_k4,whole_doc,4,1.0,0.0,0.0,0,0.5,0.375,0.75,1
81,E3_bge_m3_k4,whole_doc,4,0.3846,0.0,0.0,0,0.23076923076923078,0.15384615384615385,0.6666666666666666,0
82,E3_bge_m3_k4,whole_doc,4,0.75,0.5,0.6667,0,0.25,0.25,1.0,0
83,E3_bge_m3_k4,whole_doc,4,0.6875,0.3125,0.4545,1,0.125,0.0625,0.5,1
84,E3_bge_m3_k4,whole_doc,4,0.3889,0.0556,0.1429,1,0.16666666666666666,0.16666666666666666,1.0,1
85,E3_bge_m3_k4,whole_doc,4,0.24,0.0,0.0,0,0.12,0.04,0.3333333333333333,1
86,E3_bge_m3_k4,whole_doc,4,0.3043,0.0,0.0,1,0.2608695652173913,0.043478260869565216,0.16666666666666666,0
87,E3_bge_m3_k4,whole_doc,4,0.9444,0.2222,0.2353,0,0.6111111111111112,0.5555555555555556,0.9090909090909091,1
88,E3_bge_m3_k4,whole_doc,4,0.7368,0.1053,0.1429,0,0.47368421052631576,0.15789473684210525,0.3333333333333333,1
89,E3_bge_m3_k4,whole_doc,4,0.5714,0.5714,1.0,0,0.38095238095238093,0.14285714285714285,0.375,0
90,E3_bge_m3_k4,whole_doc,4,0.5455,0.2727,0.5,0,0.2727272727272727,0.09090909090909091,0.3333333333333333,1
91,E3_bge_m3_k4,whole_doc,4,0.5455,0.5455,1.0,1,0.09090909090909091,0.09090909090909091,1.0,1
92,E3_bge_m3_k4,whole_doc,4,0.4118,0.2353,0.5714,1,0.11764705882352941,0.058823529411764705,0.5,1
93,E3_bge_m3_k4,whole_doc,4,0.2727,0.0909,0.3333,1,0.09090909090909091,0.09090909090909091,1.0,1
94,E3_bge_m3_k4,whole_doc,4,0.9091,0.9091,1.0,0,0.2727272727272727,0.09090909090909091,0.3333333333333333,0
95,E3_bge_m3_k4,whole_doc,4,0.3158,0.1053,0.3333,1,0.15789473684210525,0.15789473684210525,1.0,1
96,E3_bge_m3_k4,whole_doc,4,0.7273,0.7273,1.0,0,0.4090909090909091,0.22727272727272727,0.5555555555555556,1
