idx,rerank_strategy,chunking,embedding,k,our_relevance,our_utilization,our_completeness,our_adherence,ref_relevance,ref_utilization,ref_completeness,ref_adherence
0,E1,whole_doc,e5_large_v2,4,0.3529,0.3529,1.0,0,0.4117647058823529,0.17647058823529413,0.42857142857142855,0
1,E1,whole_doc,e5_large_v2,4,0.1923,0.0385,0.2,0,0.2692307692307692,0.07692307692307693,0.2857142857142857,1
2,E1,whole_doc,e5_large_v2,4,0.125,0.0625,0.5,1,0.125,0.0625,0.5,1
3,E1,whole_doc,e5_large_v2,4,0.2,0.1,0.5,0,0.3,0.3,1.0,1
4,E1,whole_doc,e5_large_v2,4,0.0667,0.0667,1.0,1,0.06666666666666667,0.06666666666666667,1.0,1
5,E1,whole_doc,e5_large_v2,4,0.1765,0.0588,0.3333,1,0.29411764705882354,0.17647058823529413,0.6,1
6,E1,whole_doc,e5_large_v2,4,1.0,0.0,0.0,0,0.05555555555555555,0.05555555555555555,1.0,1
7,E1,whole_doc,e5_large_v2,4,0.3182,0.0,0.0,0,0.36363636363636365,0.045454545454545456,0.125,1
8,E1,whole_doc,e5_large_v2,4,0.1579,0.0526,0.3333,1,0.15789473684210525,0.05263157894736842,0.3333333333333333,1
9,E1,whole_doc,e5_large_v2,4,0.7083,0.0,0.0,1,1.0,0.041666666666666664,0.041666666666666664,1
10,E1,whole_doc,e5_large_v2,4,0.35,0.1,0.2857,0,0.35,0.1,0.2857142857142857,1
11,E1,whole_doc,e5_large_v2,4,0.6111,0.1111,0.0909,0,0.3888888888888889,0.2222222222222222,0.5714285714285714,1
12,E1,whole_doc,e5_large_v2,4,0.1333,0.1333,1.0,0,0.13333333333333333,0.06666666666666667,0.5,1
13,E1,whole_doc,e5_large_v2,4,0.1053,0.1053,1.0,1,0.10526315789473684,0.05263157894736842,0.5,1
14,E1,whole_doc,e5_large_v2,4,0.7895,0.7895,1.0,0,0.2631578947368421,0.15789473684210525,0.6,1
16,E1,whole_doc,e5_large_v2,4,0.4706,0.1765,0.375,1,0.17647058823529413,0.11764705882352941,0.6666666666666666,0
17,E1,whole_doc,e5_large_v2,4,0.2941,0.0588,0.2,1,0.058823529411764705,0.058823529411764705,1.0,1
18,E1,whole_doc,e5_large_v2,4,0.3333,0.1667,0.5,1,0.3333333333333333,0.3333333333333333,1.0,0
19,E1,whole_doc,e5_large_v2,4,0.3,0.3,1.0,1,0.1,0.1,1.0,1
20,E1,whole_doc,e5_large_v2,4,0.5172,0.5172,1.0,0,0.41379310344827586,0.3448275862068966,0.8333333333333334,1
21,E1,whole_doc,e5_large_v2,4,0.087,0.0435,0.5,1,0.13043478260869565,0.043478260869565216,0.3333333333333333,1
22,E1,whole_doc,e5_large_v2,4,0.2727,0.0,0.0,0,0.18181818181818182,0.18181818181818182,1.0,1
23,E1,whole_doc,e5_large_v2,4,0.4737,0.1579,0.3333,0,0.42105263157894735,0.15789473684210525,0.375,1
24,E1,whole_doc,e5_large_v2,4,0.4706,0.3529,0.75,0,0.23529411764705882,0.11764705882352941,0.5,0
26,E1,whole_doc,e5_large_v2,4,0.4444,0.3889,0.875,0,0.4444444444444444,0.4444444444444444,1.0,1
27,E1,whole_doc,e5_large_v2,4,0.1905,0.0952,0.5,0,0.19047619047619047,0.19047619047619047,1.0,1
28,E1,whole_doc,e5_large_v2,4,0.2778,0.2222,0.4,1,0.2222222222222222,0.05555555555555555,0.25,1
29,E1,whole_doc,e5_large_v2,4,0.4286,0.1429,0.3333,0,0.38095238095238093,0.38095238095238093,1.0,0
30,E1,whole_doc,e5_large_v2,4,0.2273,0.1818,0.6,0,0.2727272727272727,0.22727272727272727,0.8333333333333334,0
31,E1,whole_doc,e5_large_v2,4,0.2857,0.0714,0.25,1,0.2857142857142857,0.14285714285714285,0.5,1
32,E1,whole_doc,e5_large_v2,4,0.2381,0.1429,0.6,0,0.2857142857142857,0.09523809523809523,0.3333333333333333,1
33,E1,whole_doc,e5_large_v2,4,0.4,0.3,0.75,0,0.4,0.25,0.625,1
34,E1,whole_doc,e5_large_v2,4,0.375,0.375,1.0,0,0.625,0.625,1.0,1
35,E1,whole_doc,e5_large_v2,4,0.3571,0.1429,0.4,1,0.35714285714285715,0.35714285714285715,1.0,0
36,E1,whole_doc,e5_large_v2,4,0.2,0.2,1.0,0,0.4,0.26666666666666666,0.6666666666666666,1
37,E1,whole_doc,e5_large_v2,4,0.2857,0.0,0.0,0,0.2857142857142857,0.14285714285714285,0.5,1
38,E1,whole_doc,e5_large_v2,4,0.15,0.05,0.3333,1,0.2,0.05,0.25,1
39,E1,whole_doc,e5_large_v2,4,0.45,0.05,0.1111,1,0.15,0.05,0.3333333333333333,1
40,E1,whole_doc,e5_large_v2,4,0.5556,0.1667,0.2,0,0.6666666666666666,0.2222222222222222,0.3333333333333333,1
41,E1,whole_doc,e5_large_v2,4,0.0455,0.0455,1.0,1,0.045454545454545456,0.045454545454545456,1.0,1
42,E1,whole_doc,e5_large_v2,4,0.2857,0.2857,1.0,0,0.42857142857142855,0.42857142857142855,1.0,1
43,E1,whole_doc,e5_large_v2,4,0.3158,0.3158,1.0,0,0.5263157894736842,0.42105263157894735,0.8,1
44,E1,whole_doc,e5_large_v2,4,0.5,0.5,1.0,0,0.5,0.5,1.0,1
45,E1,whole_doc,e5_large_v2,4,1.0,1.0,1.0,0,0.2,0.2,1.0,0
46,E1,whole_doc,e5_large_v2,4,0.5263,0.5263,1.0,1,0.21052631578947367,0.21052631578947367,1.0,0
47,E1,whole_doc,e5_large_v2,4,0.6364,0.1818,0.2857,1,0.2727272727272727,0.18181818181818182,0.6666666666666666,1
48,E1,whole_doc,e5_large_v2,4,0.1364,0.0455,0.3333,0,0.09090909090909091,0.045454545454545456,0.5,1
49,E1,whole_doc,e5_large_v2,4,0.3125,0.0625,0.2,1,0.3125,0.0625,0.2,1
50,E1,whole_doc,e5_large_v2,4,0.087,0.0435,0.5,1,0.043478260869565216,0.043478260869565216,1.0,1
51,E1,whole_doc,e5_large_v2,4,0.3684,0.0,0.0,0,0.42105263157894735,0.21052631578947367,0.5,0
52,E1,whole_doc,e5_large_v2,4,0.3333,0.1111,0.3333,0,0.3333333333333333,0.2222222222222222,0.6666666666666666,1
53,E1,whole_doc,e5_large_v2,4,0.0952,0.0476,0.5,0,0.38095238095238093,0.047619047619047616,0.125,1
54,E1,whole_doc,e5_large_v2,4,0.2105,0.1579,0.75,0,0.8421052631578947,0.47368421052631576,0.5625,1
