idx,rerank_strategy,embedding,chunking,k,reranking,our_relevance,our_utilization,our_completeness,our_adherence,ref_relevance,ref_utilization,ref_completeness,ref_adherence
0,E5,e5_large_v2,whole_doc,4,sides,0.4118,0.4118,1.0,0,0.4117647058823529,0.17647058823529413,0.42857142857142855,0
1,E5,e5_large_v2,whole_doc,4,sides,0.2692,0.0,0.0,0,0.2692307692307692,0.07692307692307693,0.2857142857142857,1
2,E5,e5_large_v2,whole_doc,4,sides,0.25,0.0625,0.25,1,0.125,0.0625,0.5,1
3,E5,e5_large_v2,whole_doc,4,sides,0.2,0.1,0.5,0,0.3,0.3,1.0,1
4,E5,e5_large_v2,whole_doc,4,sides,0.2,0.0,0.0,0,0.06666666666666667,0.06666666666666667,1.0,1
5,E5,e5_large_v2,whole_doc,4,sides,0.1765,0.0588,0.3333,1,0.29411764705882354,0.17647058823529413,0.6,1
6,E5,e5_large_v2,whole_doc,4,sides,1.0,0.0,0.0,0,0.05555555555555555,0.05555555555555555,1.0,1
7,E5,e5_large_v2,whole_doc,4,sides,0.4091,0.0,0.0,0,0.36363636363636365,0.045454545454545456,0.125,1
8,E5,e5_large_v2,whole_doc,4,sides,0.1579,0.0526,0.3333,1,0.15789473684210525,0.05263157894736842,0.3333333333333333,1
9,E5,e5_large_v2,whole_doc,4,sides,0.7083,0.0,0.0,1,1.0,0.041666666666666664,0.041666666666666664,1
10,E5,e5_large_v2,whole_doc,4,sides,0.2,0.05,0.25,1,0.35,0.1,0.2857142857142857,1
11,E5,e5_large_v2,whole_doc,4,sides,0.6111,0.1111,0.1818,0,0.3888888888888889,0.2222222222222222,0.5714285714285714,1
12,E5,e5_large_v2,whole_doc,4,sides,0.2,0.0,0.0,0,0.13333333333333333,0.06666666666666667,0.5,1
13,E5,e5_large_v2,whole_doc,4,sides,0.0526,0.0526,1.0,1,0.10526315789473684,0.05263157894736842,0.5,1
14,E5,e5_large_v2,whole_doc,4,sides,0.7895,0.6316,0.8,0,0.2631578947368421,0.15789473684210525,0.6,1
16,E5,e5_large_v2,whole_doc,4,sides,0.3529,0.1765,0.5,1,0.17647058823529413,0.11764705882352941,0.6666666666666666,0
17,E5,e5_large_v2,whole_doc,4,sides,0.2941,0.0588,0.2,1,0.058823529411764705,0.058823529411764705,1.0,1
18,E5,e5_large_v2,whole_doc,4,sides,0.3333,0.3333,1.0,1,0.3333333333333333,0.3333333333333333,1.0,0
19,E5,e5_large_v2,whole_doc,4,sides,0.2,0.2,1.0,0,0.1,0.1,1.0,1
20,E5,e5_large_v2,whole_doc,4,sides,0.5172,0.5172,1.0,1,0.41379310344827586,0.3448275862068966,0.8333333333333334,1
21,E5,e5_large_v2,whole_doc,4,sides,0.1304,0.0435,0.3333,0,0.13043478260869565,0.043478260869565216,0.3333333333333333,1
22,E5,e5_large_v2,whole_doc,4,sides,0.5455,0.1818,0.3333,1,0.18181818181818182,0.18181818181818182,1.0,1
23,E5,e5_large_v2,whole_doc,4,sides,0.4211,0.4737,1.0,0,0.42105263157894735,0.15789473684210525,0.375,1
24,E5,e5_large_v2,whole_doc,4,sides,0.4706,0.1176,0.25,0,0.23529411764705882,0.11764705882352941,0.5,0
25,E5,e5_large_v2,whole_doc,4,sides,0.6923,0.1538,0.2222,0,0.23076923076923078,0.15384615384615385,0.6666666666666666,1
26,E5,e5_large_v2,whole_doc,4,sides,0.4444,0.3889,0.875,1,0.4444444444444444,0.4444444444444444,1.0,1
27,E5,e5_large_v2,whole_doc,4,sides,0.1905,0.1905,1.0,0,0.19047619047619047,0.19047619047619047,1.0,1
28,E5,e5_large_v2,whole_doc,4,sides,0.2222,0.1667,0.75,0,0.2222222222222222,0.05555555555555555,0.25,1
29,E5,e5_large_v2,whole_doc,4,sides,0.4762,0.5238,1.0,0,0.38095238095238093,0.38095238095238093,1.0,0
30,E5,e5_large_v2,whole_doc,4,sides,0.1818,0.1364,0.75,0,0.2727272727272727,0.22727272727272727,0.8333333333333334,0
31,E5,e5_large_v2,whole_doc,4,sides,0.5,0.1429,0.2857,0,0.2857142857142857,0.14285714285714285,0.5,1
32,E5,e5_large_v2,whole_doc,4,sides,0.2381,0.1429,0.6,0,0.2857142857142857,0.09523809523809523,0.3333333333333333,1
33,E5,e5_large_v2,whole_doc,4,sides,0.5,0.5,1.0,0,0.4,0.25,0.625,1
34,E5,e5_large_v2,whole_doc,4,sides,1.0,0.25,0.25,1,0.625,0.625,1.0,1
35,E5,e5_large_v2,whole_doc,4,sides,0.3571,0.0,0.0,1,0.35714285714285715,0.35714285714285715,1.0,0
36,E5,e5_large_v2,whole_doc,4,sides,0.3333,0.2,0.6,0,0.4,0.26666666666666666,0.6666666666666666,1
37,E5,e5_large_v2,whole_doc,4,sides,0.3333,0.0476,0.1429,0,0.2857142857142857,0.14285714285714285,0.5,1
38,E5,e5_large_v2,whole_doc,4,sides,0.15,0.05,0.3333,1,0.2,0.05,0.25,1
39,E5,e5_large_v2,whole_doc,4,sides,0.45,0.05,0.1111,0,0.15,0.05,0.3333333333333333,1
40,E5,e5_large_v2,whole_doc,4,sides,0.6667,0.6667,1.0,0,0.6666666666666666,0.2222222222222222,0.3333333333333333,1
41,E5,e5_large_v2,whole_doc,4,sides,0.0455,0.0455,1.0,0,0.045454545454545456,0.045454545454545456,1.0,1
42,E5,e5_large_v2,whole_doc,4,sides,0.2857,0.2857,1.0,0,0.42857142857142855,0.42857142857142855,1.0,1
43,E5,e5_large_v2,whole_doc,4,sides,0.4211,0.3158,0.75,0,0.5263157894736842,0.42105263157894735,0.8,1
44,E5,e5_large_v2,whole_doc,4,sides,0.375,0.25,0.6667,0,0.5,0.5,1.0,1
45,E5,e5_large_v2,whole_doc,4,sides,1.0,1.0,1.0,0,0.2,0.2,1.0,0
46,E5,e5_large_v2,whole_doc,4,sides,0.4737,0.1053,0.2222,1,0.21052631578947367,0.21052631578947367,1.0,0
47,E5,e5_large_v2,whole_doc,4,sides,0.6364,0.1818,0.2857,0,0.2727272727272727,0.18181818181818182,0.6666666666666666,1
48,E5,e5_large_v2,whole_doc,4,sides,0.1818,0.1818,1.0,0,0.09090909090909091,0.045454545454545456,0.5,1
49,E5,e5_large_v2,whole_doc,4,sides,0.25,0.0625,0.25,1,0.3125,0.0625,0.2,1
50,E5,e5_large_v2,whole_doc,4,sides,0.1304,0.0435,0.3333,1,0.043478260869565216,0.043478260869565216,1.0,1
51,E5,e5_large_v2,whole_doc,4,sides,0.3684,0.1053,0.2857,1,0.42105263157894735,0.21052631578947367,0.5,0
52,E5,e5_large_v2,whole_doc,4,sides,0.3333,0.1111,0.3333,1,0.3333333333333333,0.2222222222222222,0.6666666666666666,1
53,E5,e5_large_v2,whole_doc,4,sides,0.1429,0.0476,0.3333,0,0.38095238095238093,0.047619047619047616,0.125,1
54,E5,e5_large_v2,whole_doc,4,sides,0.2105,0.2105,0.75,0,0.8421052631578947,0.47368421052631576,0.5625,1
55,E5,e5_large_v2,whole_doc,4,sides,0.65,0.35,0.5385,0,0.4,0.25,0.625,1
56,E5,e5_large_v2,whole_doc,4,sides,0.25,0.0,0.0,0,0.75,0.4375,0.5833333333333334,1
57,E5,e5_large_v2,whole_doc,4,sides,0.4,0.0667,0.1667,0,0.3333333333333333,0.06666666666666667,0.2,1
58,E5,e5_large_v2,whole_doc,4,sides,0.2,0.4667,1.0,0,0.4,0.4,1.0,1
59,E5,e5_large_v2,whole_doc,4,sides,0.2778,0.3333,1.0,0,0.2777777777777778,0.2222222222222222,0.8,1
60,E5,e5_large_v2,whole_doc,4,sides,0.5,0.125,0.25,1,0.75,0.375,0.5,1
61,E5,e5_large_v2,whole_doc,4,sides,0.25,0.0,0.0,0,0.0,0.0,1.0,1
62,E5,e5_large_v2,whole_doc,4,sides,0.3571,0.3214,0.9,0,0.35714285714285715,0.2857142857142857,0.8,0
63,E5,e5_large_v2,whole_doc,4,sides,0.375,0.25,0.6667,0,0.375,0.375,1.0,0
64,E5,e5_large_v2,whole_doc,4,sides,0.375,0.25,0.6667,0,0.375,0.16666666666666666,0.4444444444444444,1
65,E5,e5_large_v2,whole_doc,4,sides,0.5,0.0,0.0,0,0.125,0.0,0.0,1
66,E5,e5_large_v2,whole_doc,4,sides,0.4444,0.1111,0.25,1,0.5,0.4444444444444444,0.8888888888888888,1
67,E5,e5_large_v2,whole_doc,4,sides,0.4074,0.037,0.0909,1,0.14814814814814814,0.037037037037037035,0.25,1
68,E5,e5_large_v2,whole_doc,4,sides,0.3636,0.0909,0.25,1,0.18181818181818182,0.18181818181818182,1.0,1
69,E5,e5_large_v2,whole_doc,4,sides,0.3182,0.3182,1.0,1,0.22727272727272727,0.09090909090909091,0.4,1
70,E5,e5_large_v2,whole_doc,4,sides,0.1364,0.0909,0.6667,0,0.4090909090909091,0.2727272727272727,0.6666666666666666,1
71,E5,e5_large_v2,whole_doc,4,sides,0.2727,0.1818,0.6667,1,0.09090909090909091,0.09090909090909091,1.0,1
72,E5,e5_large_v2,whole_doc,4,sides,0.25,0.0625,0.25,1,0.25,0.0625,0.25,1
73,E5,e5_large_v2,whole_doc,4,sides,0.1429,0.0952,0.6667,1,0.09523809523809523,0.09523809523809523,1.0,1
74,E5,e5_large_v2,whole_doc,4,sides,0.1364,0.0455,0.3333,1,0.13636363636363635,0.09090909090909091,0.6666666666666666,1
75,E5,e5_large_v2,whole_doc,4,sides,0.7333,0.0,0.0,0,0.26666666666666666,0.26666666666666666,1.0,1
76,E5,e5_large_v2,whole_doc,4,sides,0.0556,0.0556,1.0,1,0.2222222222222222,0.2222222222222222,1.0,1
77,E5,e5_large_v2,whole_doc,4,sides,0.4375,0.0,0.0,0,0.3125,0.0625,0.2,0
78,E5,e5_large_v2,whole_doc,4,sides,0.0,0.0,0.0,1,0.0,0.0,1.0,1
79,E5,e5_large_v2,whole_doc,4,sides,0.3636,0.0,0.0,0,0.45454545454545453,0.36363636363636365,0.8,1
80,E5,e5_large_v2,whole_doc,4,sides,0.75,0.75,1.0,0,0.5,0.375,0.75,1
81,E5,e5_large_v2,whole_doc,4,sides,0.3077,0.0,0.0,0,0.23076923076923078,0.15384615384615385,0.6666666666666666,0
82,E5,e5_large_v2,whole_doc,4,sides,0.5,0.25,0.5,0,0.25,0.25,1.0,0
83,E5,e5_large_v2,whole_doc,4,sides,0.3125,0.0,0.0,1,0.125,0.0625,0.5,1
84,E5,e5_large_v2,whole_doc,4,sides,0.1111,0.0556,0.5,1,0.16666666666666666,0.16666666666666666,1.0,1
85,E5,e5_large_v2,whole_doc,4,sides,0.2,0.04,0.2,0,0.12,0.04,0.3333333333333333,1
86,E5,e5_large_v2,whole_doc,4,sides,0.2609,0.2609,1.0,0,0.2608695652173913,0.043478260869565216,0.16666666666666666,0
87,E5,e5_large_v2,whole_doc,4,sides,0.6667,0.2778,0.4167,1,0.6111111111111112,0.5555555555555556,0.9090909090909091,1
88,E5,e5_large_v2,whole_doc,4,sides,0.4737,0.2632,0.5556,0,0.47368421052631576,0.15789473684210525,0.3333333333333333,1
89,E5,e5_large_v2,whole_doc,4,sides,0.5714,0.2857,0.5,0,0.38095238095238093,0.14285714285714285,0.375,0
90,E5,e5_large_v2,whole_doc,4,sides,0.2727,0.1818,0.3333,0,0.2727272727272727,0.09090909090909091,0.3333333333333333,1
91,E5,e5_large_v2,whole_doc,4,sides,0.0909,0.0909,1.0,0,0.09090909090909091,0.09090909090909091,1.0,1
92,E5,e5_large_v2,whole_doc,4,sides,0.3529,0.0588,0.1667,1,0.11764705882352941,0.058823529411764705,0.5,1
93,E5,e5_large_v2,whole_doc,4,sides,0.2273,0.0455,0.2,1,0.09090909090909091,0.09090909090909091,1.0,1
94,E5,e5_large_v2,whole_doc,4,sides,0.3182,0.2273,0.5714,0,0.2727272727272727,0.09090909090909091,0.3333333333333333,0
95,E5,e5_large_v2,whole_doc,4,sides,0.2632,0.1579,0.6,0,0.15789473684210525,0.15789473684210525,1.0,1
96,E5,e5_large_v2,whole_doc,4,sides,0.6364,0.3636,0.5714,0,0.4090909090909091,0.22727272727272727,0.5555555555555556,1
97,E5,e5_large_v2,whole_doc,4,sides,0.1818,0.0455,0.25,1,0.045454545454545456,0.045454545454545456,1.0,1
98,E5,e5_large_v2,whole_doc,4,sides,0.375,0.375,1.0,1,0.375,0.125,0.3333333333333333,0
99,E5,e5_large_v2,whole_doc,4,sides,0.4118,0.2353,0.5714,0,0.5882352941176471,0.47058823529411764,0.7,1
100,E5,e5_large_v2,whole_doc,4,sides,0.5714,0.6667,0.9167,0,0.47619047619047616,0.2857142857142857,0.6,1
101,E5,e5_large_v2,whole_doc,4,sides,0.1667,0.0556,0.0,0,0.1111111111111111,0.16666666666666666,1.0,1
102,E5,e5_large_v2,whole_doc,4,sides,0.1818,0.0455,0.25,0,0.09090909090909091,0.09090909090909091,1.0,1
103,E5,e5_large_v2,whole_doc,4,sides,0.1579,0.1053,0.6667,1,0.15789473684210525,0.05263157894736842,0.3333333333333333,0
104,E5,e5_large_v2,whole_doc,4,sides,0.1053,0.0,0.0,1,0.05263157894736842,0.05263157894736842,1.0,0
105,E5,e5_large_v2,whole_doc,4,sides,0.5455,0.5455,1.0,0,0.4090909090909091,0.18181818181818182,0.3333333333333333,0
106,E5,e5_large_v2,whole_doc,4,sides,0.3,0.3,1.0,1,0.3,0.3,1.0,1
107,E5,e5_large_v2,whole_doc,4,sides,0.2667,0.0,0.0,0,0.4666666666666667,0.06666666666666667,0.14285714285714285,0
108,E5,e5_large_v2,whole_doc,4,sides,0.5185,0.2593,0.3571,0,0.1111111111111111,0.07407407407407407,0.6666666666666666,0
109,E5,e5_large_v2,whole_doc,4,sides,0.5333,0.3333,0.625,0,0.4,0.3333333333333333,0.8333333333333334,1
110,E5,e5_large_v2,whole_doc,4,sides,0.1739,0.1304,0.75,0,0.2608695652173913,0.08695652173913043,0.3333333333333333,0
111,E5,e5_large_v2,whole_doc,4,sides,0.2941,0.1765,0.6,1,0.35294117647058826,0.23529411764705882,0.6666666666666666,1
112,E5,e5_large_v2,whole_doc,4,sides,0.25,0.0357,0.1429,1,0.10714285714285714,0.07142857142857142,0.6666666666666666,1
113,E5,e5_large_v2,whole_doc,4,sides,0.2667,0.0667,0.25,0,0.2,0.2,1.0,1
114,E5,e5_large_v2,whole_doc,4,sides,0.1667,0.25,1.0,0,0.4583333333333333,0.20833333333333334,0.45454545454545453,1
115,E5,e5_large_v2,whole_doc,4,sides,0.3,0.1,0.3333,0,0.4,0.1,0.25,1
116,E5,e5_large_v2,whole_doc,4,sides,0.1,0.1,1.0,1,0.2,0.2,1.0,1
117,E5,e5_large_v2,whole_doc,4,sides,0.4,0.2,0.5,0,0.4,0.2,0.5,1
118,E5,e5_large_v2,whole_doc,4,sides,0.3043,0.1304,0.4286,0,0.391304347826087,0.21739130434782608,0.5555555555555556,1
119,E5,e5_large_v2,whole_doc,4,sides,0.1538,0.1538,1.0,0,0.15384615384615385,0.15384615384615385,1.0,0
120,E5,e5_large_v2,whole_doc,4,sides,0.1111,0.0556,0.5,1,0.05555555555555555,0.05555555555555555,1.0,1
121,E5,e5_large_v2,whole_doc,4,sides,0.2632,0.2632,1.0,1,0.2631578947368421,0.15789473684210525,0.6,1
122,E5,e5_large_v2,whole_doc,4,sides,0.2,0.05,0.25,0,0.65,0.25,0.38461538461538464,1
123,E5,e5_large_v2,whole_doc,4,sides,0.3913,0.4348,0.8889,0,0.30434782608695654,0.21739130434782608,0.7142857142857143,1
124,E5,e5_large_v2,whole_doc,4,sides,0.3478,0.0435,0.125,1,0.08695652173913043,0.08695652173913043,1.0,1
125,E5,e5_large_v2,whole_doc,4,sides,0.8095,0.1429,0.1765,1,0.6190476190476191,0.42857142857142855,0.6923076923076923,1
126,E5,e5_large_v2,whole_doc,4,sides,0.2857,0.2857,1.0,0,0.38095238095238093,0.09523809523809523,0.25,1
127,E5,e5_large_v2,whole_doc,4,sides,0.4,0.0,0.0,0,0.4,0.05,0.125,1
128,E5,e5_large_v2,whole_doc,4,sides,0.3529,0.4118,1.0,0,0.5294117647058824,0.5294117647058824,1.0,0
129,E5,e5_large_v2,whole_doc,4,sides,0.2,0.2,1.0,0,0.3,0.2,0.6666666666666666,1
130,E5,e5_large_v2,whole_doc,4,sides,0.1364,0.0,0.0,0,0.09090909090909091,0.045454545454545456,0.5,1
