idx,vectordb,embedding,chunking,k,reranking,our_relevance,our_utilization,our_completeness,our_adherence,ref_relevance,ref_utilization,ref_completeness,ref_adherence
0,B,e5_large_v2,whole_doc,4,sides,0.2353,0.1765,0.75,0,0.4117647058823529,0.17647058823529413,0.42857142857142855,0
1,B,e5_large_v2,whole_doc,4,sides,0.2308,0.0385,0.1667,0,0.2692307692307692,0.07692307692307693,0.2857142857142857,1
2,B,e5_large_v2,whole_doc,4,sides,0.3125,0.0625,0.2,1,0.125,0.0625,0.5,1
3,B,e5_large_v2,whole_doc,4,sides,0.2,0.0,0.0,0,0.3,0.3,1.0,1
4,B,e5_large_v2,whole_doc,4,sides,0.2,0.0667,0.3333,0,0.06666666666666667,0.06666666666666667,1.0,1
5,B,e5_large_v2,whole_doc,4,sides,0.1765,0.0588,0.3333,1,0.29411764705882354,0.17647058823529413,0.6,1
6,B,e5_large_v2,whole_doc,4,sides,1.0,0.0,0.0,0,0.05555555555555555,0.05555555555555555,1.0,1
7,B,e5_large_v2,whole_doc,4,sides,0.2273,0.0,0.0,0,0.36363636363636365,0.045454545454545456,0.125,1
8,B,e5_large_v2,whole_doc,4,sides,0.1579,0.0526,0.3333,1,0.15789473684210525,0.05263157894736842,0.3333333333333333,1
9,B,e5_large_v2,whole_doc,4,sides,0.7083,0.125,0.1765,1,1.0,0.041666666666666664,0.041666666666666664,1
10,B,e5_large_v2,whole_doc,4,sides,0.4,0.05,0.125,0,0.35,0.1,0.2857142857142857,1
11,B,e5_large_v2,whole_doc,4,sides,0.6111,0.1111,0.1818,0,0.3888888888888889,0.2222222222222222,0.5714285714285714,1
12,B,e5_large_v2,whole_doc,4,sides,0.2,0.1333,0.6667,0,0.13333333333333333,0.06666666666666667,0.5,1
13,B,e5_large_v2,whole_doc,4,sides,0.1053,0.1053,1.0,1,0.10526315789473684,0.05263157894736842,0.5,1
14,B,e5_large_v2,whole_doc,4,sides,0.7895,0.7895,1.0,0,0.2631578947368421,0.15789473684210525,0.6,1
15,B,e5_large_v2,whole_doc,4,sides,0.2,0.2,1.0,0,0.2,0.2,1.0,1
16,B,e5_large_v2,whole_doc,4,sides,0.2941,0.1176,0.4,0,0.17647058823529413,0.11764705882352941,0.6666666666666666,0
17,B,e5_large_v2,whole_doc,4,sides,0.2941,0.0588,0.2,1,0.058823529411764705,0.058823529411764705,1.0,1
18,B,e5_large_v2,whole_doc,4,sides,0.3333,0.1667,0.5,1,0.3333333333333333,0.3333333333333333,1.0,0
19,B,e5_large_v2,whole_doc,4,sides,0.2,0.2,1.0,1,0.1,0.1,1.0,1
