idx,our_relevance,our_utilization,our_completeness,our_adherence,ref_relevance,ref_utilization,ref_completeness,ref_adherence
9,0.0118,0.0118,1.0,1,0.0117647058823529,0.0117647058823529,1.0,1
15,0.125,0.125,1.0,0,0.0833333333333333,0.0833333333333333,1.0,1
20,0.125,0.125,1.0,0,0.0416666666666666,0.0416666666666666,1.0,1
22,0.069,0.069,1.0,0,0.0,0.0,1.0,1
24,0.0968,0.0968,1.0,0,0.0,0.0967741935483871,1.0,1
26,0.0725,0.1159,1.0,1,0.072463768115942,0.0289855072463768,0.4,1
31,0.1875,0.1875,1.0,0,0.0,0.0,1.0,1
32,0.0556,0.0556,1.0,0,0.0111111111111111,0.0111111111111111,1.0,0
33,0.0467,0.7477,0.0,0,0.0,0.0,1.0,1
36,0.4444,0.4444,1.0,0,0.3333333333333333,0.2222222222222222,0.6666666666666666,1
38,0.0351,0.0351,0.0,1,0.0,0.1403508771929824,1.0,1
39,0.0909,0.0227,0.0,0,0.0454545454545454,0.0454545454545454,1.0,0
41,0.0312,0.0312,1.0,0,0.96875,0.171875,0.1774193548387097,1
42,0.0761,0.0761,1.0,1,0.0869565217391304,0.0760869565217391,0.875,1
43,0.2069,0.2069,1.0,0,0.9310344827586208,0.3448275862068966,0.3703703703703703,1
