idx,our_relevance,our_utilization,our_completeness,our_adherence,ref_relevance,ref_utilization,ref_completeness,ref_adherence
0,0.7778,0.7778,1.0,0,0.1111111111111111,0.1111111111111111,1.0,1
1,0.16,0.16,1.0,0,0.04,0.04,1.0,1
3,0.6667,0.6667,1.0,0,0.1111111111111111,0.1111111111111111,1.0,0
4,0.2,0.2,1.0,1,0.05,0.05,1.0,1
5,0.2143,0.2143,1.0,1,0.0714285714285714,0.0714285714285714,1.0,1
6,0.5,0.5,1.0,0,0.5,0.1666666666666666,0.3333333333333333,1
7,0.0714,0.0714,1.0,0,0.0238095238095238,0.0238095238095238,1.0,1
8,0.3077,0.3077,1.0,0,0.1538461538461538,0.0769230769230769,0.5,1
9,0.2308,0.1538,0.0,0,0.0769230769230769,0.0769230769230769,1.0,1
10,0.069,0.069,1.0,1,0.0344827586206896,0.0344827586206896,1.0,1
11,0.16,0.12,0.5,0,0.04,0.04,1.0,1
12,0.1379,0.1379,1.0,1,0.0344827586206896,0.0344827586206896,1.0,1
13,0.2,0.2,1.0,1,0.0666666666666666,0.0666666666666666,1.0,1
14,0.0286,0.1143,1.0,0,0.0285714285714285,0.0285714285714285,1.0,1
15,0.5455,0.1818,0.0,0,0.0909090909090909,0.0,0.0,0
16,0.1923,0.1923,1.0,1,0.0384615384615384,0.0384615384615384,1.0,1
17,0.2,0.2,1.0,1,0.1,0.05,0.5,1
18,1.0,0.0385,0.0385,1,0.0384615384615384,0.0384615384615384,1.0,1
19,0.1111,0.1111,1.0,0,0.037037037037037,0.037037037037037,1.0,1
20,0.25,0.1786,0.7143,0,0.0357142857142857,0.0357142857142857,1.0,1
