idx,our_relevance,our_utilization,our_completeness,our_adherence,ref_relevance,ref_utilization,ref_completeness,ref_adherence
4,0.1667,0.1667,1.0,0,0.0833333333333333,0.0462962962962962,0.5555555555555556,1
6,0.0745,0.0745,1.0,0,0.0,0.0,1.0,0
8,0.0853,0.0853,1.0,0,0.0542635658914728,0.0542635658914728,1.0,1
14,0.0537,0.0537,1.0,0,0.0738255033557047,0.0335570469798657,0.4545454545454545,1
16,0.1562,0.1562,1.0,0,0.1875,0.046875,0.25,0
17,0.087,0.087,1.0,0,0.0,0.0,1.0,1
20,0.0435,0.0435,1.0,0,0.0,0.0,1.0,0
22,0.0915,0.0915,1.0,0,0.0196078431372549,0.0065359477124183,0.0,0
23,0.0471,0.0471,1.0,0,0.1705882352941176,0.0470588235294117,0.2413793103448276,1
26,0.0213,0.0319,0.0,0,0.0638297872340425,0.0106382978723404,0.1666666666666666,1
28,0.0398,0.0448,1.0,0,0.1393034825870646,0.0547263681592039,0.3928571428571428,1
31,0.073,0.073,1.0,0,0.0,0.0,1.0,0
39,0.0909,0.0909,1.0,0,0.0636363636363636,0.0181818181818181,0.2857142857142857,1
40,0.0506,0.0843,0.0,0,0.1179775280898876,0.0393258426966292,0.3333333333333333,1
41,0.0267,0.0267,1.0,0,0.14,0.0,0.0,0
18,0.0078,0.1085,1.0,0,0.0,0.0,1.0,0
27,0.0385,0.0385,1.0,0,0.0256410256410256,0.0042735042735042,0.1666666666666666,1
29,0.0342,0.0342,1.0,0,0.0342205323193916,0.0342205323193916,1.0,0
44,0.05,0.0591,1.0,0,0.0363636363636363,0.0272727272727272,0.75,1
45,0.1471,0.1471,1.0,0,0.6176470588235294,0.1470588235294117,0.238095238095238,1
