idx,our_relevance,our_utilization,our_completeness,our_adherence,ref_relevance,ref_utilization,ref_completeness,ref_adherence
0,0.3043,0.2174,0.0,0,0.0108108108108108,0.0054054054054054,0.5,1
1,0.2353,0.3529,0.0,0,1.0,0.0,0.0,1
2,0.625,0.25,0.0,0,0.0,0.1414141414141414,1.0,1
3,2.5,1.0,0.0,0,1.0,0.0,0.0,1
4,0.6875,1.125,0.5455,0,0.0138888888888888,0.0069444444444444,0.5,1
5,0.1316,0.1053,0.0,0,0.0140845070422535,0.0140845070422535,1.0,1
6,0.6154,1.0,0.0,0,0.0085227272727272,0.0,0.0,1
7,0.1579,0.2105,0.0,0,0.8372093023255814,0.0232558139534883,0.0277777777777777,1
8,0.1707,0.1707,0.0,0,0.0167064439140811,0.0071599045346062,0.1428571428571428,0
9,0.5,0.2143,0.0,0,0.0117647058823529,0.0117647058823529,1.0,1
10,0.1818,0.1818,0.0,0,0.014367816091954,0.014367816091954,0.8,1
11,1.4286,0.5714,0.0,0,0.0317460317460317,0.0158730158730158,0.5,1
12,0.1111,0.1111,0.0,1,0.0031055900621118,0.0031055900621118,1.0,1
13,0.3333,1.0,0.0,0,0.0,0.0,1.0,1
14,0.2381,0.0952,0.0,0,0.0145772594752186,0.0116618075801749,0.8,1
15,0.8889,0.3333,0.0,0,0.0833333333333333,0.0833333333333333,1.0,1
16,0.3125,0.1875,0.0,0,0.0202702702702702,0.027027027027027,0.6666666666666666,1
17,0.0435,0.0435,0.0,1,0.0108108108108108,0.0108108108108108,1.0,1
18,0.5,0.5,0.0,0,0.037328094302554,0.0314341846758349,0.8421052631578947,1
19,0.4,0.5,0.0,0,0.0264550264550264,0.0264550264550264,1.0,1
20,0.4,0.2,0.0,0,0.0416666666666666,0.0416666666666666,1.0,1
21,0.5,1.0,0.0,0,0.0077519379844961,0.0077519379844961,1.0,1
22,0.069,0.931,0.0,1,0.0,0.0,1.0,1
23,0.1538,0.1538,0.0,1,0.002840909090909,0.002840909090909,1.0,1
24,0.1,1.0,0.0,0,0.0,0.0967741935483871,1.0,1
25,0.3889,0.4444,0.0,1,0.005599104143337,0.0033594624860022,0.6,1
26,0.0667,0.1333,1.0,0,0.072463768115942,0.0289855072463768,0.4,1
27,0.0625,0.0625,0.0,1,0.0046948356807511,0.0046948356807511,1.0,1
28,0.5455,0.3636,0.0,0,0.0028735632183908,0.0028735632183908,1.0,1
29,1.0,0.2857,0.0,0,0.2282608695652173,0.2282608695652173,1.0,1
31,1.1429,1.0,0.0,0,0.0,0.0,1.0,1
32,0.2143,0.1429,0.0,0,0.0111111111111111,0.0111111111111111,1.0,0
33,0.4,1.0,0.0,0,0.0,0.0,1.0,1
34,0.25,0.125,0.0,0,0.0037641154328732,0.0037641154328732,0.6666666666666666,1
35,0.2105,0.8947,0.0,0,0.0155038759689922,0.0077519379844961,0.5,1
36,0.4444,0.1111,0.0,0,0.3333333333333333,0.2222222222222222,0.6666666666666666,1
37,0.125,0.125,0.0,1,0.0040983606557377,0.0081967213114754,1.0,1
38,1.0,0.2857,0.0,0,0.0,0.1403508771929824,1.0,1
39,0.3333,0.4,0.0,0,0.0454545454545454,0.0454545454545454,1.0,0
40,0.6,0.4,0.0,0,0.0317460317460317,0.0105820105820105,0.3333333333333333,1
41,0.7143,0.8571,0.0,0,0.96875,0.171875,0.1774193548387097,1
42,0.2,0.2,0.0,1,0.0869565217391304,0.0760869565217391,0.875,1
43,0.2222,1.0,0.0,0,0.9310344827586208,0.3448275862068966,0.3703703703703703,1
44,1.0,1.0,0.0,0,0.003831417624521,0.0019157088122605,0.5,1
45,0.7143,0.4286,0.0,0,0.0,0.0,1.0,1
46,0.1111,0.1111,0.0,1,0.0068493150684931,0.0068493150684931,1.0,1
47,0.6667,0.1667,0.0,0,0.0446735395189003,0.0034364261168384,0.0769230769230769,1
48,0.3158,0.1579,0.0,0,0.9727272727272728,0.0818181818181818,0.0841121495327102,1
49,0.2667,0.1333,0.0,0,0.0,0.0,1.0,1
50,0.8571,0.8571,0.0,0,0.984375,0.0,0.0,1
51,0.2105,0.2632,0.0,0,0.048780487804878,0.048780487804878,1.0,1
52,0.75,0.625,0.0,0,0.0040983606557377,0.0040983606557377,1.0,1
53,0.7778,0.7778,0.0,0,0.0416666666666666,0.0416666666666666,1.0,1
54,0.4,0.25,0.0,0,0.0,0.0,1.0,1
55,0.6364,0.1818,0.1429,0,0.2222222222222222,0.0833333333333333,0.375,1
30,0.7143,0.4286,0.0,0,0.003676470588235294,0.003676470588235294,1.0,1
56,0.3636,0.5455,0.0,0,0.013850415512465374,0.00554016620498615,0.4,1
57,0.1429,0.1429,0.0,1,0.003278688524590164,0.003278688524590164,1.0,1
58,0.2353,0.1176,0.0,0,0.24,0.2,0.8333333333333334,1
59,0.4667,0.1333,0.0,0,0.0,0.0,1.0,1
