idx,our_relevance,our_utilization,our_completeness,our_adherence,ref_relevance,ref_utilization,ref_completeness,ref_adherence
0,0.4706,0.7647,0.0,0,0.4117647058823529,0.1764705882352941,0.4285714285714285,0
1,0.0385,0.0385,1.0,1,0.2692307692307692,0.0769230769230769,0.2857142857142857,1
2,0.0625,0.0625,0.0,1,0.125,0.0625,0.5,1
3,0.35,0.25,0.0,0,0.3,0.3,1.0,1
4,0.0667,0.0667,0.0,1,0.0666666666666666,0.0666666666666666,1.0,1
5,0.0588,0.0588,0.0,1,0.2941176470588235,0.1764705882352941,0.6,1
6,0.2778,0.8889,0.0,0,0.0555555555555555,0.0555555555555555,1.0,1
7,0.1364,0.2727,0.0,0,0.3636363636363636,0.0454545454545454,0.125,1
8,0.2105,0.0526,0.0,1,0.1578947368421052,0.0526315789473684,0.3333333333333333,1
9,0.25,0.9167,0.0,0,1.0,0.0416666666666666,0.0416666666666666,1
10,0.15,0.15,0.0,1,0.35,0.1,0.2857142857142857,1
11,0.0556,0.1667,0.0,1,0.3888888888888889,0.2222222222222222,0.5714285714285714,1
12,0.2667,0.1333,0.0,0,0.1333333333333333,0.0666666666666666,0.5,1
13,0.0526,0.0526,0.0,1,0.1052631578947368,0.0526315789473684,0.5,1
14,0.3684,0.4211,0.0,0,0.2631578947368421,0.1578947368421052,0.6,1
15,0.7,0.7,0.0,0,0.2,0.2,1.0,1
16,0.1176,0.1176,0.0,0,0.1764705882352941,0.1176470588235294,0.6666666666666666,0
17,0.0588,0.0588,0.0,1,0.0588235294117647,0.0588235294117647,1.0,1
18,0.5,0.6667,0.0,0,0.3333333333333333,0.3333333333333333,1.0,0
19,0.05,0.1,0.0,1,0.1,0.1,1.0,1
20,0.4483,0.3103,0.0,0,0.4137931034482758,0.3448275862068966,0.8333333333333334,1
21,0.087,0.0435,0.0,1,0.1304347826086956,0.0434782608695652,0.3333333333333333,1
22,0.2727,0.2727,0.0,0,0.1818181818181818,0.1818181818181818,1.0,1
23,0.4211,0.2632,0.0,0,0.4210526315789473,0.1578947368421052,0.375,1
24,0.6471,0.1765,0.0,0,0.2352941176470588,0.1176470588235294,0.5,0
25,0.3846,0.7692,0.0,0,0.2307692307692307,0.1538461538461538,0.6666666666666666,1
26,0.7222,0.9444,0.0,0,0.4444444444444444,0.4444444444444444,1.0,1
27,0.1429,0.1905,0.0,0,0.1904761904761904,0.1904761904761904,1.0,1
28,1.0,0.3333,0.0,1,0.2222222222222222,0.0555555555555555,0.25,1
29,0.2857,0.2857,0.0,0,0.3809523809523809,0.3809523809523809,1.0,0
30,0.4545,0.3182,0.0,1,0.2727272727272727,0.2272727272727272,0.8333333333333334,0
31,0.4286,0.3571,0.0,0,0.2857142857142857,0.1428571428571428,0.5,1
32,0.381,0.3333,0.0,0,0.2857142857142857,0.0952380952380952,0.3333333333333333,1
33,0.35,0.4,0.0,0,0.4,0.25,0.625,1
34,0.625,0.625,0.0,0,0.625,0.625,1.0,1
35,0.7143,0.5,0.0,0,0.3571428571428571,0.3571428571428571,1.0,0
36,0.4,0.5333,0.0,0,0.4,0.2666666666666666,0.6666666666666666,1
37,0.3333,0.3333,0.0,0,0.2857142857142857,0.1428571428571428,0.5,1
38,0.3,0.2,0.0,0,0.2,0.05,0.25,1
39,0.1,0.05,0.0,0,0.15,0.05,0.3333333333333333,1
40,0.3333,0.8333,0.0,1,0.6666666666666666,0.2222222222222222,0.3333333333333333,1
41,0.0909,0.0909,0.0,1,0.0454545454545454,0.0454545454545454,1.0,1
42,0.1429,0.2143,0.0,0,0.4285714285714285,0.4285714285714285,1.0,1
43,0.5263,0.5789,0.0,0,0.5263157894736842,0.4210526315789473,0.8,1
44,0.875,0.375,0.0,0,0.5,0.5,1.0,1
45,0.4,2.2,0.0,0,0.2,0.2,1.0,0
46,0.1053,0.1579,0.0,1,0.2105263157894736,0.2105263157894736,1.0,0
47,0.4545,0.3636,0.0,0,0.2727272727272727,0.1818181818181818,0.6666666666666666,1
48,0.4545,0.9091,0.0,0,0.0909090909090909,0.0454545454545454,0.5,1
49,0.0625,0.0625,0.0,1,0.3125,0.0625,0.2,1
50,0.0435,0.1304,0.0,1,0.0434782608695652,0.0434782608695652,1.0,1
51,0.5789,0.5789,0.0,0,0.4210526315789473,0.2105263157894736,0.5,0
52,0.3333,0.1111,0.0,0,0.3333333333333333,0.2222222222222222,0.6666666666666666,1
53,0.0476,0.0476,0.0,1,0.3809523809523809,0.0476190476190476,0.125,1
54,0.0526,0.1053,0.0,1,0.8421052631578947,0.4736842105263157,0.5625,1
55,0.6,1.0,0.0,0,0.4,0.25,0.625,1
56,0.375,1.0,0.0,0,0.75,0.4375,0.5833333333333334,1
57,0.2667,0.0667,0.0,0,0.3333333333333333,0.0666666666666666,0.2,1
58,0.6667,0.4667,0.0,0,0.4,0.4,1.0,1
59,0.1667,0.2222,0.0,0,0.2777777777777778,0.2222222222222222,0.8,1
