idx,our_relevance,our_utilization,our_completeness,our_adherence,ref_relevance,ref_utilization,ref_completeness,ref_adherence
0,0.0357,0.0714,0.0,1,0.17857142857142858,0.10714285714285714,0.6,0
1,0.2727,1.0,0.0,0,0.18181818181818182,0.18181818181818182,1.0,1
2,0.0833,0.0833,0.0,0,0.16666666666666666,0.16666666666666666,1.0,1
3,0.0909,0.1818,0.0,1,0.2727272727272727,0.18181818181818182,0.6666666666666666,1
4,0.4615,0.6154,0.0,0,0.3076923076923077,0.23076923076923078,0.75,1
5,0.2857,0.1429,0.0,0,0.07142857142857142,0.07142857142857142,1.0,1
6,0.1111,0.1111,0.0,1,0.2222222222222222,0.05555555555555555,0.25,1
7,0.25,0.1667,0.0,0,0.16666666666666666,0.16666666666666666,1.0,1
8,0.05,0.1,1.0,0,0.2,0.1,0.5,1
9,0.1333,0.1333,0.0,1,0.13333333333333333,0.13333333333333333,1.0,1
10,0.3333,0.8889,0.0,0,0.05555555555555555,0.05555555555555555,1.0,1
11,0.2727,0.1818,0.0,0,0.2727272727272727,0.2727272727272727,1.0,1
12,0.1,0.2,0.0,1,0.2,0.2,1.0,1
13,0.0769,0.0769,0.0,1,0.23076923076923078,0.07692307692307693,0.3333333333333333,1
14,0.3333,0.1667,0.0,1,0.25,0.16666666666666666,0.6666666666666666,1
15,0.0909,0.0909,1.0,0,0.22727272727272727,0.045454545454545456,0.2,1
16,0.0769,0.0769,1.0,0,0.11538461538461539,0.07692307692307693,0.6666666666666666,1
17,0.3333,0.375,0.0,0,0.25,0.20833333333333334,0.8333333333333334,0
24,0.1111,0.2222,0.0,1,0.3333333333333333,0.2222222222222222,0.6666666666666666,1
38,0.0417,0.0417,0.0,1,0.08333333333333333,0.0,0.0,0
