idx,our_relevance,our_utilization,our_completeness,our_adherence,ref_relevance,ref_utilization,ref_completeness,ref_adherence
0,0.0483,0.2705,0.0,0,0.01171875,0.01171875,1.0,0
1,0.1905,0.1905,1.0,0,0.02702702702702703,0.02702702702702703,1.0,1
2,0.0584,0.0876,0.0,0,0.0026595744680851063,0.0013297872340425532,0.5,1
3,0.0106,0.0106,1.0,1,0.0,0.0,1.0,1
4,0.0909,0.3131,0.0,0,0.08333333333333333,0.046296296296296294,0.5555555555555556,1
5,0.0575,0.069,0.0,0,0.0,0.0,1.0,0
6,0.1833,0.1333,0.0,0,0.0,0.0,1.0,0
8,0.0854,1.0,0.0,0,0.05426356589147287,0.05426356589147287,1.0,1
9,0.0758,0.0985,0.0,0,0.0627177700348432,0.0627177700348432,1.0,1
10,0.0474,0.0421,0.0,0,0.018691588785046728,0.018691588785046728,1.0,1
11,0.0505,0.2424,0.0,0,0.07011070110701106,0.05904059040590406,0.8421052631578947,1
13,0.0759,0.0759,1.0,0,0.085,0.065,0.7647058823529411,1
14,0.1146,0.0104,0.0909,0,0.0738255033557047,0.03355704697986577,0.45454545454545453,1
15,0.1461,0.0337,0.0,0,0.06103286384976526,0.023474178403755867,0.38461538461538464,0
16,0.1509,0.1698,0.0,0,0.1875,0.046875,0.25,0
17,0.1379,0.1379,1.0,0,0.0,0.0,1.0,1
18,0.1224,0.1224,1.0,0,0.0,0.0,1.0,0
20,0.0849,0.0849,1.0,1,0.0,0.0,1.0,0
21,0.075,0.075,1.0,0,0.14450867052023122,0.13872832369942195,0.96,1
22,0.0488,0.0976,1.0,0,0.0196078431372549,0.006535947712418301,0.0,0
23,0.1111,0.1111,1.0,0,0.17058823529411765,0.047058823529411764,0.2413793103448276,1
24,0.0833,0.2963,0.0,0,0.02570694087403599,0.0,0.0,0
25,0.1468,0.1468,1.0,0,0.07009345794392523,0.04672897196261682,0.5333333333333333,1
26,0.058,0.0435,0.0,0,0.06382978723404255,0.010638297872340425,0.16666666666666666,1
27,0.0465,0.1395,0.0,0,0.02564102564102564,0.004273504273504274,0.16666666666666666,1
28,0.0634,0.0704,1.0,0,0.13930348258706468,0.05472636815920398,0.39285714285714285,1
31,0.0926,0.0463,0.0,0,0.0,0.0,1.0,0
32,0.0672,0.0672,1.0,0,0.0,0.0,1.0,0
34,0.0993,1.1489,0.0,0,0.02830188679245283,0.025157232704402517,0.8888888888888888,0
35,0.0465,0.0349,0.0,1,0.009868421052631578,0.003289473684210526,0.3333333333333333,1
36,0.0227,0.0341,0.0,0,0.24206349206349206,0.0,0.0,0
37,0.0648,0.0926,1.0,0,0.0,0.0,1.0,0
38,0.0741,0.9167,0.0,0,0.013761467889908258,0.009174311926605505,0.3333333333333333,1
39,0.1205,0.0602,0.0,0,0.06363636363636363,0.01818181818181818,0.2857142857142857,1
40,0.088,1.112,0.0,0,0.11797752808988764,0.03932584269662921,0.3333333333333333,1
41,0.1169,0.7662,0.0,0,0.14,0.0,0.0,0
42,0.0918,0.0612,0.0,0,0.0071174377224199285,0.0035587188612099642,0.5,0
43,0.0984,1.0246,0.0,0,0.05489260143198091,0.021479713603818614,0.391304347826087,1
44,0.056,0.056,1.0,0,0.03636363636363636,0.02727272727272727,0.75,1
45,0.2353,0.2941,0.0,0,0.6176470588235294,0.14705882352941177,0.23809523809523808,1
46,0.0753,0.0753,1.0,0,0.11428571428571428,0.11428571428571428,1.0,1
49,0.0541,0.0541,0.0,1,0.05714285714285714,0.0380952380952381,0.6666666666666666,1
