exp_id,timestamp,domain,dataset_config,n_examples,fingerprint,judge_model,embedder,chunk_config,gen_model,retrieval,rerank,context_order,context_relevance,context_utilization,completeness,adherence,judge_used,context_relevance_rmse,context_utilization_rmse,completeness_rmse,adherence_auroc,elapsed_s
BIO-001,2026-08-06T16:52:16Z,biomedical,covidqa,25,e68e87fe99df4d4d,openai/gpt-oss-120b,S-PubMedBert-MS-MARCO,whole_doc,llama-3.3-70b-versatile,dense,none,forward,0.292,0.183,0.661,0.803,1,0.1596,0.1206,0.4748,0.5,849.1
BIO-002,2026-08-06T17:12:35Z,biomedical,covidqa,25,e68e87fe99df4d4d,openai/gpt-oss-120b,S-PubMedBert-MS-MARCO,whole_doc,llama-3.3-70b-versatile,dense,none,reverse,0.412,0.236,0.594,0.8,1,0.3138,0.218,0.4136,0.5682,1215.4
BIO-003,2026-08-06T17:30:56Z,biomedical,covidqa,25,e68e87fe99df4d4d,openai/gpt-oss-120b,S-PubMedBert-MS-MARCO,whole_doc,llama-3.3-70b-versatile,dense,none,sides,0.316,0.157,0.452,0.8,1,0.145,0.105,0.4994,0.3864,1098.1
BIO-004,2026-08-06T17:44:08Z,biomedical,covidqa,25,e68e87fe99df4d4d,openai/gpt-oss-120b,S-PubMedBert-MS-MARCO,whole_doc,llama-3.3-70b-versatile,dense,cross_encoder,forward,0.335,0.197,0.551,0.885,1,0.2181,0.1268,0.4728,0.4091,788.9
BIO-005,2026-08-06T17:58:25Z,biomedical,covidqa,25,e68e87fe99df4d4d,openai/gpt-oss-120b,S-PubMedBert-MS-MARCO,whole_doc,llama-3.3-70b-versatile,dense,cross_encoder,reverse,0.357,0.207,0.563,0.841,1,0.2307,0.2293,0.5592,0.5758,854.3
BIO-006,2026-08-06T18:13:02Z,biomedical,covidqa,25,e68e87fe99df4d4d,openai/gpt-oss-120b,S-PubMedBert-MS-MARCO,whole_doc,llama-3.3-70b-versatile,dense,cross_encoder,sides,0.286,0.16,0.497,0.763,1,0.2085,0.1208,0.5271,0.5303,873.5
BIO-007,2026-08-06T18:24:41Z,biomedical,covidqa,25,e68e87fe99df4d4d,openai/gpt-oss-120b,S-PubMedBert-MS-MARCO,whole_doc,llama-3.3-70b-versatile,hybrid,none,forward,0.314,0.202,0.528,0.835,1,0.2121,0.1612,0.4351,0.7348,696.6
BIO-008,2026-08-06T18:33:36Z,biomedical,covidqa,25,e68e87fe99df4d4d,openai/gpt-oss-120b,S-PubMedBert-MS-MARCO,whole_doc,llama-3.3-70b-versatile,hybrid,none,reverse,0.314,0.188,0.483,0.869,1,0.2255,0.1805,0.4894,0.3864,531.5
BIO-009,2026-08-06T18:40:56Z,biomedical,covidqa,25,e68e87fe99df4d4d,openai/gpt-oss-120b,S-PubMedBert-MS-MARCO,whole_doc,llama-3.3-70b-versatile,hybrid,none,sides,0.276,0.144,0.497,0.876,1,0.2463,0.1362,0.573,0.4091,436.8
BIO-010,2026-08-06T18:41:07Z,biomedical,covidqa,25,e68e87fe99df4d4d,openai/gpt-oss-120b,S-PubMedBert-MS-MARCO,whole_doc,llama-3.3-70b-versatile,hybrid,cross_encoder,forward,0.335,0.197,0.551,0.885,1,0.2181,0.1268,0.4728,0.4091,8.5
BIO-011,2026-08-06T18:41:19Z,biomedical,covidqa,25,e68e87fe99df4d4d,openai/gpt-oss-120b,S-PubMedBert-MS-MARCO,whole_doc,llama-3.3-70b-versatile,hybrid,cross_encoder,reverse,0.357,0.207,0.563,0.841,1,0.2307,0.2293,0.5592,0.5758,8.5
BIO-012,2026-08-06T18:41:28Z,biomedical,covidqa,25,e68e87fe99df4d4d,openai/gpt-oss-120b,S-PubMedBert-MS-MARCO,whole_doc,llama-3.3-70b-versatile,hybrid,cross_encoder,sides,0.286,0.16,0.497,0.763,1,0.2085,0.1208,0.5271,0.5303,6.7
BIO-013,2026-08-06T19:02:26Z,biomedical,covidqa,25,e68e87fe99df4d4d,openai/gpt-oss-120b,S-PubMedBert-MS-MARCO,sentence_4o1,llama-3.3-70b-versatile,dense,none,forward,0.309,0.163,0.583,0.83,1,0.2231,0.116,0.4586,0.5833,1189.2
BIO-014,2026-08-06T19:22:17Z,biomedical,covidqa,25,e68e87fe99df4d4d,openai/gpt-oss-120b,S-PubMedBert-MS-MARCO,sentence_4o1,llama-3.3-70b-versatile,dense,none,reverse,0.344,0.196,0.57,0.84,1,0.2641,0.1193,0.482,0.553,1188.4
