exp_id,timestamp,domain,status,embedder,chunk_config,gen_model,judge_model,retrieval,rerank,context_order,k_retrieve,k_final,seed,n_examples,context_relevance,context_utilization,completeness,adherence,ref_context_relevance,ref_context_utilization,ref_completeness,ref_adherence,context_relevance_rmse,context_utilization_rmse,completeness_rmse,adherence_rmse,context_relevance_mae,context_utilization_mae,completeness_mae,adherence_mae,adherence_auroc,adherence_accuracy,adherence_pos_rate,n_gold_adherence,judge_used,runtime_sec
CS-001,2026-08-02T07:13:01+00:00,customer_support,done,all-MiniLM-L6-v2,whole_doc,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,none,forward,10,5,42,1,0.0741,0.0556,0.75,0.6667,0.0342,0.0342,1.0,1.0,0.0399,0.0214,0.25,0.3333,0.0399,0.0214,0.25,0.3333,,1.0,1.0,1,1.0,39.6
CS-002,2026-08-02T07:14:22+00:00,customer_support,done,all-MiniLM-L6-v2,whole_doc,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,none,reverse,10,5,42,1,0.0741,0.037,0.5,0.6667,0.0342,0.0342,1.0,1.0,0.0399,0.0028,0.5,0.3333,0.0399,0.0028,0.5,0.3333,,1.0,1.0,1,1.0,80.2
CS-003,2026-08-02T07:15:08+00:00,customer_support,done,all-MiniLM-L6-v2,whole_doc,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,none,sides,10,5,42,1,0.0741,0.037,0.5,0.5,0.0342,0.0342,1.0,1.0,0.0399,0.0028,0.5,0.5,0.0399,0.0028,0.5,0.5,,1.0,1.0,1,1.0,45.8
CS-004,2026-08-02T07:15:56+00:00,customer_support,done,all-MiniLM-L6-v2,whole_doc,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,cross_encoder,forward,10,5,42,1,0.0741,0.037,0.5,0.5,0.0342,0.0342,1.0,1.0,0.0399,0.0028,0.5,0.5,0.0399,0.0028,0.5,0.5,,1.0,1.0,1,1.0,47.7
CS-005,2026-08-02T07:16:15+00:00,customer_support,done,all-MiniLM-L6-v2,whole_doc,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,cross_encoder,reverse,10,5,42,1,0.0741,0.037,0.5,0.6667,0.0342,0.0342,1.0,1.0,0.0399,0.0028,0.5,0.3333,0.0399,0.0028,0.5,0.3333,,1.0,1.0,1,1.0,19.0
CS-006,2026-08-02T07:17:04+00:00,customer_support,done,all-MiniLM-L6-v2,whole_doc,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,cross_encoder,sides,10,5,42,1,0.0741,0.037,0.5,0.5,0.0342,0.0342,1.0,1.0,0.0399,0.0028,0.5,0.5,0.0399,0.0028,0.5,0.5,,1.0,1.0,1,1.0,49.2
CS-007,2026-08-02T07:18:16+00:00,customer_support,done,all-MiniLM-L6-v2,sentence_3o1,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,none,forward,10,5,42,1,0.2857,0.1429,0.5,0.0,0.0342,0.0342,1.0,1.0,0.2515,0.1087,0.5,1.0,0.2515,0.1087,0.5,1.0,,0.0,1.0,1,1.0,67.9
CS-008,2026-08-02T07:19:03+00:00,customer_support,done,all-MiniLM-L6-v2,sentence_3o1,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,none,reverse,10,5,42,1,0.2857,0.1429,0.5,0.0,0.0342,0.0342,1.0,1.0,0.2515,0.1087,0.5,1.0,0.2515,0.1087,0.5,1.0,,0.0,1.0,1,1.0,47.2
CS-009,2026-08-02T07:19:49+00:00,customer_support,done,all-MiniLM-L6-v2,sentence_3o1,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,none,sides,10,5,42,1,0.2857,0.2143,0.75,0.3333,0.0342,0.0342,1.0,1.0,0.2515,0.1801,0.25,0.6667,0.2515,0.1801,0.25,0.6667,,0.0,1.0,1,1.0,45.9
CS-010,2026-08-02T07:20:29+00:00,customer_support,done,all-MiniLM-L6-v2,sentence_3o1,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,cross_encoder,forward,10,5,42,1,0.2857,0.2857,1.0,0.6667,0.0342,0.0342,1.0,1.0,0.2515,0.2515,0.0,0.3333,0.2515,0.2515,0.0,0.3333,,1.0,1.0,1,1.0,39.1
CS-011,2026-08-02T07:21:30+00:00,customer_support,done,all-MiniLM-L6-v2,sentence_3o1,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,cross_encoder,reverse,10,5,42,1,0.3571,0.0714,0.2,0.5,0.0342,0.0342,1.0,1.0,0.3229,0.0372,0.8,0.5,0.3229,0.0372,0.8,0.5,,1.0,1.0,1,1.0,61.3
CS-012,2026-08-02T07:22:13+00:00,customer_support,done,all-MiniLM-L6-v2,sentence_3o1,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,cross_encoder,sides,10,5,42,1,0.3571,0.1429,0.4,0.0,0.0342,0.0342,1.0,1.0,0.3229,0.1087,0.6,1.0,0.3229,0.1087,0.6,1.0,,0.0,1.0,1,1.0,42.2
CS-013,2026-08-02T07:22:48+00:00,customer_support,done,all-MiniLM-L6-v2,sliding_5o2,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,none,forward,10,5,42,1,0.1739,0.087,0.5,0.5,0.0342,0.0342,1.0,1.0,0.1397,0.0528,0.5,0.5,0.1397,0.0528,0.5,0.5,,1.0,1.0,1,1.0,33.5
CS-014,2026-08-02T07:23:10+00:00,customer_support,done,all-MiniLM-L6-v2,sliding_5o2,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,none,reverse,10,5,42,1,0.1739,0.0,0.0,0.0,0.0342,0.0342,1.0,1.0,0.1397,0.0342,1.0,1.0,0.1397,0.0342,1.0,1.0,,0.0,1.0,1,1.0,21.3
CS-015,2026-08-02T07:23:29+00:00,customer_support,done,all-MiniLM-L6-v2,sliding_5o2,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,none,sides,10,5,42,1,0.2174,0.1304,0.6,1.0,0.0342,0.0342,1.0,1.0,0.1832,0.0962,0.4,0.0,0.1832,0.0962,0.4,0.0,,1.0,1.0,1,0.0,18.8
CS-016,2026-08-02T07:23:52+00:00,customer_support,done,all-MiniLM-L6-v2,sliding_5o2,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,cross_encoder,forward,10,5,42,1,0.1667,0.0833,0.5,0.5,0.0342,0.0342,1.0,1.0,0.1325,0.0491,0.5,0.5,0.1325,0.0491,0.5,0.5,,1.0,1.0,1,1.0,22.8
CS-017,2026-08-02T07:25:23+00:00,customer_support,done,all-MiniLM-L6-v2,sliding_5o2,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,cross_encoder,reverse,10,5,42,1,0.1667,0.1667,1.0,0.6667,0.0342,0.0342,1.0,1.0,0.1325,0.1325,0.0,0.3333,0.1325,0.1325,0.0,0.3333,,1.0,1.0,1,1.0,91.3
CS-018,2026-08-02T07:26:16+00:00,customer_support,done,all-MiniLM-L6-v2,sliding_5o2,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,cross_encoder,sides,10,5,42,1,0.1667,0.0833,0.5,0.5,0.0342,0.0342,1.0,1.0,0.1325,0.0491,0.5,0.5,0.1325,0.0491,0.5,0.5,,1.0,1.0,1,1.0,52.4
CS-019,2026-08-02T07:26:36+00:00,customer_support,done,all-MiniLM-L6-v2,fixed_120w,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,none,forward,10,5,42,1,0.2,0.2,1.0,1.0,0.0342,0.0342,1.0,1.0,0.1658,0.1658,0.0,0.0,0.1658,0.1658,0.0,0.0,,1.0,1.0,1,0.0,18.6
CS-020,2026-08-02T07:28:45+00:00,customer_support,done,all-MiniLM-L6-v2,fixed_120w,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,none,reverse,10,5,42,1,0.2,0.2,1.0,0.5,0.0342,0.0342,1.0,1.0,0.1658,0.1658,0.0,0.5,0.1658,0.1658,0.0,0.5,,1.0,1.0,1,1.0,129.2
CS-021,2026-08-02T07:28:55+00:00,customer_support,done,all-MiniLM-L6-v2,fixed_120w,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,none,sides,10,5,42,1,0.2,0.0,0.0,0.0,0.0342,0.0342,1.0,1.0,0.1658,0.0342,1.0,1.0,0.1658,0.0342,1.0,1.0,,0.0,1.0,1,1.0,9.3
CS-022,2026-08-02T07:30:10+00:00,customer_support,done,all-MiniLM-L6-v2,fixed_120w,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,cross_encoder,forward,10,5,42,1,0.2,0.2,1.0,0.3333,0.0342,0.0342,1.0,1.0,0.1658,0.1658,0.0,0.6667,0.1658,0.1658,0.0,0.6667,,0.0,1.0,1,1.0,75.0
CS-023,2026-08-02T07:31:32+00:00,customer_support,done,all-MiniLM-L6-v2,fixed_120w,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,cross_encoder,reverse,10,5,42,1,0.2,0.2,1.0,0.3333,0.0342,0.0342,1.0,1.0,0.1658,0.1658,0.0,0.6667,0.1658,0.1658,0.0,0.6667,,0.0,1.0,1,1.0,82.1
CS-024,2026-08-02T07:32:06+00:00,customer_support,done,all-MiniLM-L6-v2,fixed_120w,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,cross_encoder,sides,10,5,42,1,0.2,0.2,1.0,0.5,0.0342,0.0342,1.0,1.0,0.1658,0.1658,0.0,0.5,0.1658,0.1658,0.0,0.5,,1.0,1.0,1,1.0,33.5
CS-025,2026-08-02T07:32:10+00:00,customer_support,done,bge-small-en-v1.5,whole_doc,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,none,forward,10,5,42,1,0.0741,0.0556,0.75,0.6667,0.0342,0.0342,1.0,1.0,0.0399,0.0214,0.25,0.3333,0.0399,0.0214,0.25,0.3333,,1.0,1.0,1,1.0,0.0
CS-026,2026-08-02T07:32:10+00:00,customer_support,done,bge-small-en-v1.5,whole_doc,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,none,reverse,10,5,42,1,0.0741,0.037,0.5,0.6667,0.0342,0.0342,1.0,1.0,0.0399,0.0028,0.5,0.3333,0.0399,0.0028,0.5,0.3333,,1.0,1.0,1,1.0,0.0
CS-027,2026-08-02T07:32:11+00:00,customer_support,done,bge-small-en-v1.5,whole_doc,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,none,sides,10,5,42,1,0.0741,0.037,0.5,0.5,0.0342,0.0342,1.0,1.0,0.0399,0.0028,0.5,0.5,0.0399,0.0028,0.5,0.5,,1.0,1.0,1,1.0,0.0
CS-028,2026-08-02T07:32:12+00:00,customer_support,done,bge-small-en-v1.5,whole_doc,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,cross_encoder,forward,10,5,42,1,0.0741,0.037,0.5,0.5,0.0342,0.0342,1.0,1.0,0.0399,0.0028,0.5,0.5,0.0399,0.0028,0.5,0.5,,1.0,1.0,1,1.0,1.2
CS-029,2026-08-02T07:32:13+00:00,customer_support,done,bge-small-en-v1.5,whole_doc,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,cross_encoder,reverse,10,5,42,1,0.0741,0.037,0.5,0.6667,0.0342,0.0342,1.0,1.0,0.0399,0.0028,0.5,0.3333,0.0399,0.0028,0.5,0.3333,,1.0,1.0,1,1.0,1.2
CS-030,2026-08-02T07:32:15+00:00,customer_support,done,bge-small-en-v1.5,whole_doc,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,cross_encoder,sides,10,5,42,1,0.0741,0.037,0.5,0.5,0.0342,0.0342,1.0,1.0,0.0399,0.0028,0.5,0.5,0.0399,0.0028,0.5,0.5,,1.0,1.0,1,1.0,2.0
