exp_id,judge_used,n_fallback,adherence,adherence_judgeonly,auroc,auroc_judgeonly,cr_rmse,cr_rmse_judgeonly
FIN-001,0.88,3,0.7564,0.7708,0.244,0.2778,0.0967,0.1021
FIN-002,0.84,4,0.6971,0.7777,0.4048,0.4412,0.0297,0.0283
FIN-003,0.88,3,0.8648,0.915,0.5,0.3684,0.0741,0.0614
FIN-004,0.84,4,0.8162,0.8673,0.4702,0.3611,0.074,0.0626
FIN-005,0.88,3,0.8024,0.8348,0.5536,0.4561,0.0591,0.0392
FIN-006,0.96,1,0.8237,0.8349,0.3571,0.375,0.1018,0.1037
FIN-007,0.96,1,0.7905,0.7877,0.3333,0.3438,0.0956,0.0973
FIN-008,0.88,3,0.7318,0.7515,0.4345,0.4444,0.0276,0.0278
FIN-009,0.84,4,0.8428,0.9134,0.4821,0.3611,0.0736,0.0621
FIN-010,0.84,4,0.8162,0.8673,0.4702,0.3611,0.074,0.0626
FIN-011,0.88,3,0.8024,0.8348,0.5536,0.4561,0.0591,0.0392
FIN-012,0.96,1,0.8237,0.8349,0.3571,0.375,0.1018,0.1037
FIN-013,0.92,2,0.8823,0.9068,0.4881,0.4,0.1878,0.1945
FIN-014,1.0,0,0.9433,0.9433,0.5536,0.5536,0.1926,0.1926
FIN-015,0.88,3,0.8613,0.9136,0.3333,0.3889,0.206,0.217
FIN-016,0.92,2,0.8163,0.8641,0.6548,0.3095,0.1358,0.0881
FIN-017,0.84,4,0.8563,0.9167,0.4583,0.3889,0.2066,0.1946
FIN-018,0.84,4,0.8438,0.873,0.4643,0.3056,0.21,0.1984
FIN-019,0.92,2,0.9328,0.9638,0.5357,0.45,0.2289,0.2365
FIN-020,0.88,3,0.8587,0.9167,0.6607,0.375,0.2735,0.2747
FIN-021,0.88,3,0.8337,0.8712,0.5833,0.35,0.2629,0.2627
FIN-022,0.92,2,0.8163,0.8641,0.6548,0.3095,0.1662,0.1332
FIN-023,0.84,4,0.8563,0.9167,0.4583,0.3889,0.2168,0.2074
FIN-024,0.84,4,0.8438,0.873,0.4643,0.3056,0.2101,0.1985
FIN-025,0.96,1,0.8301,0.8349,0.5238,0.5375,0.3691,0.376
FIN-026,0.8,5,0.8513,0.9042,0.6429,0.3611,0.2985,0.3316
FIN-027,0.88,3,0.81,0.8258,0.5,0.3,0.3243,0.3445
FIN-028,0.88,3,0.8432,0.8662,0.369,0.4167,0.375,0.3986
FIN-029,0.88,3,0.8833,0.9015,0.6012,0.35,0.343,0.3644
FIN-030,0.92,2,0.8362,0.8437,0.4702,0.4803,0.3818,0.3972
FIN-031,0.96,1,0.8672,0.8736,0.4167,0.4375,0.3611,0.3678
FIN-032,0.84,4,0.9383,0.9841,0.7024,0.4737,0.3448,0.3746
FIN-033,0.96,1,0.7117,0.7101,0.369,0.3812,0.3587,0.3653
FIN-034,0.88,3,0.8432,0.8662,0.369,0.4167,0.375,0.3986
FIN-035,0.88,3,0.8833,0.9015,0.6012,0.35,0.343,0.3644
FIN-036,0.92,2,0.8362,0.8437,0.4702,0.4803,0.3818,0.3972
FIN-037,0.92,2,0.7772,0.7812,0.2143,0.2368,0.0773,0.0803
FIN-038,0.92,2,0.876,0.8913,0.5417,0.4,0.0852,0.0743
FIN-039,0.92,2,0.7703,0.8025,0.4881,0.3583,0.1023,0.0951
FIN-040,0.96,1,0.8579,0.8639,0.2857,0.3,0.0873,0.0888
FIN-041,0.8,5,0.8407,0.8708,0.5714,0.451,0.0697,0.0571
FIN-042,0.96,1,0.8173,0.8347,0.4524,0.2857,0.0627,0.0433
FIN-043,0.84,4,0.7638,0.8237,0.4048,0.4706,0.0591,0.0588
FIN-044,0.88,3,0.8274,0.8038,0.4702,0.4444,0.0607,0.0593
FIN-045,0.88,3,0.7003,0.7455,0.5714,0.4912,0.0574,0.0362
FIN-046,0.96,1,0.8579,0.8639,0.2857,0.3,0.0873,0.0888
FIN-047,0.8,5,0.8407,0.8708,0.5714,0.451,0.0697,0.0571
FIN-048,0.96,1,0.8173,0.8347,0.4524,0.2857,0.0627,0.0433
FIN-049,0.8,5,0.7055,0.7757,0.5774,0.5196,0.0745,0.0628
FIN-050,0.88,3,0.7844,0.8219,0.5952,0.275,0.0573,0.0346
FIN-051,0.96,1,0.8337,0.8453,0.3274,0.3438,0.0602,0.0611
FIN-052,0.88,3,0.8242,0.8552,0.4702,0.3421,0.074,0.0611
FIN-053,0.92,2,0.8024,0.8275,0.5536,0.4417,0.0591,0.0384
FIN-054,0.96,1,0.8237,0.8349,0.3571,0.375,0.1018,0.1037
FIN-055,0.8,5,0.7535,0.8357,0.4107,0.3235,0.0759,0.065
FIN-056,0.92,2,0.7391,0.7586,0.4881,0.3667,0.0593,0.0387
FIN-057,0.96,1,0.8077,0.8183,0.2976,0.3125,0.0933,0.095
FIN-058,0.88,3,0.8242,0.8552,0.4702,0.3421,0.074,0.0611
FIN-059,0.92,2,0.8024,0.8275,0.5536,0.4417,0.0591,0.0384
FIN-060,0.96,1,0.8237,0.8349,0.3571,0.375,0.1018,0.1037
FIN-061,0.84,4,0.8276,0.877,0.4405,0.3333,0.1395,0.0846
FIN-062,0.72,7,0.7317,0.8194,0.4107,0.3333,0.1863,0.1428
FIN-063,0.8,5,0.7876,0.8667,0.5595,0.5196,0.1488,0.0968
FIN-064,0.96,1,0.8483,0.8698,0.4821,0.3095,0.1647,0.1305
FIN-065,0.88,3,0.8563,0.9205,0.4583,0.3947,0.2168,0.2027
FIN-066,0.88,3,0.8371,0.8636,0.4643,0.2895,0.2101,0.194
FIN-067,0.88,3,0.8229,0.8636,0.3869,0.3158,0.2173,0.1955
FIN-068,0.96,1,0.8613,0.8764,0.4881,0.5,0.1771,0.1807
FIN-069,0.92,2,0.9355,0.9638,0.5714,0.45,0.2488,0.2296
FIN-070,0.96,1,0.8483,0.8698,0.4821,0.3095,0.1647,0.1305
FIN-071,0.88,3,0.8563,0.9205,0.4583,0.3947,0.2168,0.2027
FIN-072,0.88,3,0.8371,0.8636,0.4643,0.2895,0.2101,0.194
FIN-073,0.8,5,0.8297,0.8542,0.381,0.3235,0.3804,0.4224
FIN-074,0.88,3,0.8339,0.8508,0.4107,0.3421,0.3612,0.3824
FIN-076,0.88,3,0.8432,0.8662,0.369,0.4167,0.375,0.3986
FIN-077,0.92,2,0.8933,0.9058,0.5119,0.35,0.3506,0.3644
FIN-078,0.92,2,0.8362,0.8437,0.4702,0.4803,0.3818,0.3972
FIN-079,0.96,1,0.8089,0.8009,0.3571,0.3438,0.3747,0.3817
FIN-080,0.84,4,0.826,0.8571,0.4583,0.3611,0.3507,0.3811
FIN-081,0.8,5,0.85,0.8792,0.2857,0.3125,0.3646,0.4046
FIN-082,0.88,3,0.8432,0.8662,0.369,0.4167,0.375,0.3986
FIN-083,0.92,2,0.8933,0.9058,0.5119,0.35,0.3506,0.3644
FIN-084,0.92,2,0.8362,0.8437,0.4702,0.4803,0.3818,0.3972
FIN-085,0.92,2,0.7397,0.7493,0.3274,0.225,0.1105,0.1045
FIN-086,0.84,4,0.8183,0.8556,0.4762,0.4537,0.0758,0.0651
FIN-087,0.88,3,0.7304,0.7606,0.5,0.25,0.0592,0.0387
FIN-088,1.0,0,0.8465,0.8465,0.2857,0.2857,0.0875,0.0875
FIN-089,0.84,4,0.8427,0.8508,0.5714,0.5882,0.0526,0.0561
FIN-090,0.96,1,0.8173,0.8347,0.4524,0.2857,0.0627,0.0433
FIN-091,0.92,2,0.7861,0.7908,0.4107,0.4276,0.0779,0.0808
FIN-092,0.84,4,0.8233,0.8532,0.4286,0.3056,0.0721,0.0593
FIN-093,0.88,3,0.7891,0.828,0.4167,0.2632,0.0887,0.0804
FIN-094,1.0,0,0.8465,0.8465,0.2857,0.2857,0.0875,0.0875
FIN-095,0.84,4,0.8427,0.8508,0.5714,0.5882,0.0526,0.0561
FIN-096,0.96,1,0.8173,0.8347,0.4524,0.2857,0.0627,0.0433
