exp_id,n_examples,judge_used,n_fallback,adherence,adherence_judgeonly,auroc,auroc_judgeonly
FIN-001,25,0.88,3,0.7564,0.7708,0.244,0.2778
FIN-002,25,0.84,4,0.6971,0.7777,0.4048,0.4412
FIN-003,25,0.88,3,0.8648,0.915,0.5,0.3684
FIN-004,25,0.84,4,0.8162,0.8673,0.4702,0.3611
FIN-005,25,0.88,3,0.8024,0.8348,0.5536,0.4561
FIN-006,25,0.96,1,0.8237,0.8349,0.3571,0.375
FIN-007,25,0.96,1,0.7905,0.7877,0.3333,0.3438
FIN-008,25,0.88,3,0.7318,0.7515,0.4345,0.4444
FIN-009,25,0.84,4,0.8428,0.9134,0.4821,0.3611
FIN-010,25,0.84,4,0.8162,0.8673,0.4702,0.3611
FIN-011,25,0.88,3,0.8024,0.8348,0.5536,0.4561
FIN-012,25,0.96,1,0.8237,0.8349,0.3571,0.375
FIN-013,25,0.92,2,0.8823,0.9068,0.4881,0.4
FIN-014,25,1.0,0,0.9433,0.9433,0.5536,0.5536
FIN-015,25,0.88,3,0.8613,0.9136,0.3333,0.3889
FIN-016,25,0.92,2,0.8163,0.8641,0.6548,0.3095
FIN-017,25,0.84,4,0.8563,0.9167,0.4583,0.3889
FIN-018,25,0.84,4,0.8438,0.873,0.4643,0.3056
FIN-019,25,0.92,2,0.9328,0.9638,0.5357,0.45
FIN-020,25,0.88,3,0.8587,0.9167,0.6607,0.375
FIN-021,25,0.88,3,0.8337,0.8712,0.5833,0.35
FIN-022,25,0.92,2,0.8163,0.8641,0.6548,0.3095
FIN-023,25,0.84,4,0.8563,0.9167,0.4583,0.3889
FIN-024,25,0.84,4,0.8438,0.873,0.4643,0.3056
FIN-025,25,0.96,1,0.8301,0.8349,0.5238,0.5375
FIN-026,25,0.8,5,0.8513,0.9042,0.6429,0.3611
FIN-027,25,0.88,3,0.81,0.8258,0.5,0.3
FIN-028,25,0.88,3,0.8432,0.8662,0.369,0.4167
FIN-029,25,0.88,3,0.8833,0.9015,0.6012,0.35
FIN-030,25,0.92,2,0.8362,0.8437,0.4702,0.4803
FIN-032,25,0.84,4,0.9383,0.9841,0.7024,0.4737
FIN-033,25,0.96,1,0.7117,0.7101,0.369,0.3812
FIN-034,25,0.88,3,0.8432,0.8662,0.369,0.4167
FIN-035,25,0.88,3,0.8833,0.9015,0.6012,0.35
FIN-036,25,0.92,2,0.8362,0.8437,0.4702,0.4803
FIN-037,25,0.92,2,0.7772,0.7812,0.2143,0.2368
FIN-038,25,0.92,2,0.876,0.8913,0.5417,0.4
FIN-039,25,0.92,2,0.7703,0.8025,0.4881,0.3583
FIN-040,25,0.96,1,0.8579,0.8639,0.2857,0.3
FIN-041,25,0.8,5,0.8407,0.8708,0.5714,0.451
FIN-042,25,0.96,1,0.8173,0.8347,0.4524,0.2857
FIN-043,25,0.84,4,0.7638,0.8237,0.4048,0.4706
FIN-044,25,0.88,3,0.8274,0.8038,0.4702,0.4444
FIN-045,25,0.88,3,0.7003,0.7455,0.5714,0.4912
FIN-046,25,0.96,1,0.8579,0.8639,0.2857,0.3
FIN-047,25,0.8,5,0.8407,0.8708,0.5714,0.451
FIN-048,25,0.96,1,0.8173,0.8347,0.4524,0.2857
FIN-049,25,0.8,5,0.7055,0.7757,0.5774,0.5196
FIN-050,25,0.88,3,0.7844,0.8219,0.5952,0.275
FIN-051,25,0.96,1,0.8337,0.8453,0.3274,0.3438
FIN-052,25,0.88,3,0.8242,0.8552,0.4702,0.3421
FIN-053,25,0.92,2,0.8024,0.8275,0.5536,0.4417
FIN-054,25,0.96,1,0.8237,0.8349,0.3571,0.375
FIN-055,25,0.8,5,0.7535,0.8357,0.4107,0.3235
FIN-056,25,0.92,2,0.7391,0.7586,0.4881,0.3667
FIN-057,25,0.96,1,0.8077,0.8183,0.2976,0.3125
FIN-058,25,0.88,3,0.8242,0.8552,0.4702,0.3421
FIN-059,25,0.92,2,0.8024,0.8275,0.5536,0.4417
FIN-060,25,0.96,1,0.8237,0.8349,0.3571,0.375
FIN-061,25,0.84,4,0.8276,0.877,0.4405,0.3333
FIN-062,25,0.72,7,0.7317,0.8194,0.4107,0.3333
FIN-063,25,0.8,5,0.7876,0.8667,0.5595,0.5196
FIN-064,25,0.96,1,0.8483,0.8698,0.4821,0.3095
FIN-065,25,0.88,3,0.8563,0.9205,0.4583,0.3947
FIN-066,25,0.88,3,0.8371,0.8636,0.4643,0.2895
FIN-067,25,0.88,3,0.8229,0.8636,0.3869,0.3158
FIN-068,25,0.96,1,0.8613,0.8764,0.4881,0.5
FIN-069,25,0.92,2,0.9355,0.9638,0.5714,0.45
FIN-070,25,0.96,1,0.8483,0.8698,0.4821,0.3095
FIN-071,25,0.88,3,0.8563,0.9205,0.4583,0.3947
FIN-072,25,0.88,3,0.8371,0.8636,0.4643,0.2895
FIN-073,25,0.8,5,0.8297,0.8542,0.381,0.3235
FIN-074,25,0.88,3,0.8339,0.8508,0.4107,0.3421
FIN-076,25,0.88,3,0.8432,0.8662,0.369,0.4167
FIN-077,25,0.92,2,0.8933,0.9058,0.5119,0.35
FIN-078,25,0.92,2,0.8362,0.8437,0.4702,0.4803
FIN-079,25,0.96,1,0.8089,0.8009,0.3571,0.3438
FIN-080,25,0.84,4,0.826,0.8571,0.4583,0.3611
FIN-081,25,0.8,5,0.85,0.8792,0.2857,0.3125
FIN-082,25,0.88,3,0.8432,0.8662,0.369,0.4167
FIN-083,25,0.92,2,0.8933,0.9058,0.5119,0.35
FIN-084,25,0.92,2,0.8362,0.8437,0.4702,0.4803
FIN-085,25,0.92,2,0.7397,0.7493,0.3274,0.225
FIN-086,25,0.84,4,0.8183,0.8556,0.4762,0.4537
FIN-087,25,0.88,3,0.7304,0.7606,0.5,0.25
FIN-088,25,1.0,0,0.8465,0.8465,0.2857,0.2857
FIN-089,25,0.84,4,0.8427,0.8508,0.5714,0.5882
FIN-090,25,0.96,1,0.8173,0.8347,0.4524,0.2857
FIN-091,25,0.92,2,0.7861,0.7908,0.4107,0.4276
FIN-092,25,0.84,4,0.8233,0.8532,0.4286,0.3056
FIN-093,25,0.88,3,0.7891,0.828,0.4167,0.2632
FIN-094,25,1.0,0,0.8465,0.8465,0.2857,0.2857
FIN-095,25,0.84,4,0.8427,0.8508,0.5714,0.5882
FIN-096,25,0.96,1,0.8173,0.8347,0.4524,0.2857
