Experiment ID,Domain,Chunking Strategy,Embedding Model,Retrieval Technique,Re-ranking,Generator LLM Used,Context Ordering,Context Relevance (score),Context Utilization (score),Completeness (score),Adherence (score),Context Relevance RMSE ↓,Context Utilization RMSE ↓,Completeness RMSE ↓,Adherence AUROC ↑,Valid Judge Response,Status
FIN-001,Finance,whole_doc,finbert,dense,none,llama-3.3-70b-versatile,forward,0.113,0.064,0.66,0.756,0.0967,0.0462,0.5066,0.244,,
FIN-002,Finance,whole_doc,finbert,dense,none,llama-3.3-70b-versatile,reverse,0.075,0.08,0.773,0.697,0.0297,0.0796,0.5077,0.4048,,
FIN-003,Finance,whole_doc,finbert,dense,none,llama-3.3-70b-versatile,sides,0.089,0.063,0.687,0.833,0.0618,0.0591,0.5138,0.6429,,
FIN-003,Finance,whole_doc,finbert,dense,none,llama-3.3-70b-versatile,sides,0.098,0.079,0.797,0.865,0.0741,0.0711,0.4019,0.5,,
FIN-004,Finance,whole_doc,finbert,dense,cross_encoder,llama-3.3-70b-versatile,forward,0.099,0.083,0.844,0.816,0.074,0.0723,0.3405,0.4702,,
FIN-005,Finance,whole_doc,finbert,dense,cross_encoder,llama-3.3-70b-versatile,reverse,0.077,0.061,0.74,0.802,0.0591,0.0617,0.5,0.5536,,
FIN-006,Finance,whole_doc,finbert,dense,cross_encoder,llama-3.3-70b-versatile,sides,0.127,0.063,0.66,0.824,0.1018,0.0406,0.5022,0.3571,,
FIN-007,Finance,whole_doc,finbert,hybrid,none,llama-3.3-70b-versatile,forward,0.118,0.068,0.733,0.79,0.0956,0.0457,0.3972,0.3333,,
FIN-008,Finance,whole_doc,finbert,hybrid,none,llama-3.3-70b-versatile,reverse,0.073,0.063,0.747,0.732,0.0276,0.0601,0.4989,0.4345,,
FIN-009,Finance,whole_doc,finbert,hybrid,none,llama-3.3-70b-versatile,sides,0.099,0.083,0.837,0.843,0.0736,0.0714,0.3762,0.4821,,
FIN-010,Finance,whole_doc,finbert,hybrid,cross_encoder,llama-3.3-70b-versatile,forward,0.099,0.083,0.844,0.816,0.074,0.0723,0.3405,0.4702,,
FIN-011,Finance,whole_doc,finbert,hybrid,cross_encoder,llama-3.3-70b-versatile,reverse,0.077,0.061,0.74,0.802,0.0591,0.0617,0.5,0.5536,,
FIN-012,Finance,whole_doc,finbert,hybrid,cross_encoder,llama-3.3-70b-versatile,sides,0.127,0.063,0.66,0.824,0.1018,0.0406,0.5022,0.3571,,
FIN-013,Finance,sentence_4o1,finbert,dense,none,llama-3.3-70b-versatile,forward,0.159,0.077,0.65,0.882,0.1878,0.0591,0.5025,0.4881,,
FIN-014,Finance,sentence_4o1,finbert,dense,none,llama-3.3-70b-versatile,reverse,0.156,0.077,0.74,0.943,0.1926,0.0573,0.4583,0.5536,,
FIN-015,Finance,sentence_4o1,finbert,dense,none,llama-3.3-70b-versatile,sides,0.167,0.092,0.673,0.861,0.206,0.1019,0.5175,0.3333,,
FIN-016,Finance,sentence_4o1,finbert,dense,cross_encoder,llama-3.3-70b-versatile,forward,0.141,0.106,0.793,0.816,0.1358,0.1152,0.4277,0.6548,,
FIN-017,Finance,sentence_4o1,finbert,dense,cross_encoder,llama-3.3-70b-versatile,reverse,0.157,0.086,0.587,0.856,0.2066,0.1165,0.5715,0.4583,,
FIN-018,Finance,sentence_4o1,finbert,dense,cross_encoder,llama-3.3-70b-versatile,sides,0.17,0.111,0.74,0.844,0.21,0.1276,0.4796,0.4643,,
FIN-019,Finance,sentence_4o1,finbert,hybrid,none,llama-3.3-70b-versatile,forward,0.195,0.109,0.77,0.933,0.2289,0.0991,0.4525,0.5357,,
FIN-020,Finance,sentence_4o1,finbert,hybrid,none,llama-3.3-70b-versatile,reverse,0.24,0.123,0.57,0.859,0.2735,0.2237,0.5937,0.6607,,
FIN-021,Finance,sentence_4o1,finbert,hybrid,none,llama-3.3-70b-versatile,sides,0.23,0.175,0.787,0.834,0.2629,0.2062,0.3859,0.5833,,
FIN-022,Finance,sentence_4o1,finbert,hybrid,cross_encoder,llama-3.3-70b-versatile,forward,0.167,0.135,0.873,0.816,0.1662,0.1498,0.3208,0.6548,,
FIN-023,Finance,sentence_4o1,finbert,hybrid,cross_encoder,llama-3.3-70b-versatile,reverse,0.178,0.086,0.587,0.856,0.2168,0.1165,0.5715,0.4583,,
FIN-024,Finance,sentence_4o1,finbert,hybrid,cross_encoder,llama-3.3-70b-versatile,sides,0.166,0.111,0.74,0.844,0.2101,0.1276,0.4796,0.4643,,
FIN-025,Finance,fixed_150w,finbert,dense,none,llama-3.3-70b-versatile,forward,0.374,0.27,0.673,0.83,0.3691,0.3135,0.4773,0.5238,,
FIN-026,Finance,fixed_150w,finbert,dense,none,llama-3.3-70b-versatile,reverse,0.276,0.226,0.627,0.851,0.2985,0.2722,0.5142,0.6429,,
FIN-027,Finance,fixed_150w,finbert,dense,none,llama-3.3-70b-versatile,sides,0.316,0.232,0.64,0.81,0.3243,0.2652,0.4922,0.5,,
FIN-028,Finance,fixed_150w,finbert,dense,cross_encoder,llama-3.3-70b-versatile,forward,0.38,0.288,0.653,0.843,0.375,0.3369,0.5457,0.369,,
FIN-029,Finance,fixed_150w,finbert,dense,cross_encoder,llama-3.3-70b-versatile,reverse,0.338,0.234,0.667,0.883,0.343,0.2608,0.5963,0.6012,,
FIN-030,Finance,fixed_150w,finbert,dense,cross_encoder,llama-3.3-70b-versatile,sides,0.398,0.306,0.7,0.836,0.3818,0.347,0.5323,0.4702,,
FIN-031,Finance,fixed_150w,finbert,hybrid,none,llama-3.3-70b-versatile,forward,0.366,0.35,0.827,0.867,0.3611,0.3958,0.2667,0.4167,,
FIN-032,Finance,fixed_150w,finbert,hybrid,none,llama-3.3-70b-versatile,reverse,0.324,0.218,0.567,0.938,0.3448,0.2707,0.5783,0.7024,,
FIN-033,Finance,fixed_150w,finbert,hybrid,none,llama-3.3-70b-versatile,sides,0.374,0.242,0.607,0.712,0.3587,0.2745,0.5153,0.369,,
FIN-034,Finance,fixed_150w,finbert,hybrid,cross_encoder,llama-3.3-70b-versatile,forward,0.38,0.288,0.653,0.843,0.375,0.3369,0.5457,0.369,,
FIN-035,Finance,fixed_150w,finbert,hybrid,cross_encoder,llama-3.3-70b-versatile,reverse,0.338,0.234,0.667,0.883,0.343,0.2608,0.5963,0.6012,,
FIN-036,Finance,fixed_150w,finbert,hybrid,cross_encoder,llama-3.3-70b-versatile,sides,0.398,0.306,0.7,0.836,0.3818,0.347,0.5323,0.4702,,
FIN-037,Finance,large_sem_1100,finbert,dense,none,llama-3.3-70b-versatile,forward,0.088,0.068,0.763,0.777,0.0773,0.0563,0.5036,0.2143,,
FIN-038,Finance,large_sem_1100,finbert,dense,none,llama-3.3-70b-versatile,reverse,0.106,0.11,0.758,0.876,0.0852,0.2003,0.4539,0.5417,,
FIN-039,Finance,large_sem_1100,finbert,dense,none,llama-3.3-70b-versatile,sides,0.109,0.07,0.713,0.77,0.1023,0.0612,0.511,0.4881,,
FIN-040,Finance,large_sem_1100,finbert,dense,cross_encoder,llama-3.3-70b-versatile,forward,0.105,0.087,0.847,0.858,0.0873,0.0831,0.3145,0.2857,,
FIN-041,Finance,large_sem_1100,finbert,dense,cross_encoder,llama-3.3-70b-versatile,reverse,0.095,0.067,0.636,0.841,0.0697,0.0787,0.5317,0.5714,,
