exp_id,timestamp,domain,status,embedder,chunk_config,gen_model,judge_model,retrieval,rerank,context_order,k_retrieve,k_final,seed,n_examples,context_relevance,context_utilization,completeness,adherence,ref_context_relevance,ref_context_utilization,ref_completeness,ref_adherence,context_relevance_rmse,context_utilization_rmse,completeness_rmse,adherence_rmse,context_relevance_mae,context_utilization_mae,completeness_mae,adherence_mae,adherence_auroc,adherence_accuracy,adherence_pos_rate,n_gold_adherence,judge_used,runtime_sec
GK-001,2026-08-04T01:47:19+00:00,general_knowledge,done,e5-large-v2,whole_doc,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,none,forward,10,5,42,25,0.1696,0.1474,0.808,0.94,0.2014,0.1518,0.7847,1.0,0.0875,0.0691,0.2888,0.2236,0.0524,0.038,0.1647,0.06,,0.96,1.0,25,0.96,925.4
GK-002,2026-08-04T02:00:37+00:00,general_knowledge,done,e5-large-v2,whole_doc,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,none,reverse,10,5,42,25,0.1857,0.1439,0.854,0.9,0.2014,0.1518,0.7847,1.0,0.075,0.0851,0.3445,0.3,0.0478,0.0371,0.208,0.1,,0.92,1.0,25,1.0,795.1
GK-003,2026-08-04T02:14:48+00:00,general_knowledge,done,e5-large-v2,whole_doc,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,none,sides,10,5,42,25,0.156,0.1421,0.7867,0.9,0.2014,0.1518,0.7847,1.0,0.0974,0.0854,0.4495,0.3,0.0667,0.035,0.29,0.1,,0.92,1.0,25,0.92,847.9
GK-004,2026-08-04T02:20:31+00:00,general_knowledge,done,e5-large-v2,whole_doc,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,cross_encoder,forward,10,5,42,25,0.1656,0.1456,0.8127,0.86,0.2014,0.1518,0.7847,1.0,0.0945,0.0852,0.4181,0.3606,0.0542,0.0414,0.276,0.14,,0.88,1.0,25,0.92,339.2
GK-005,2026-08-04T02:34:07+00:00,general_knowledge,done,e5-large-v2,whole_doc,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,cross_encoder,reverse,10,5,42,25,0.161,0.141,0.8567,0.86,0.2014,0.1518,0.7847,1.0,0.0909,0.0722,0.3124,0.3606,0.0485,0.0386,0.192,0.14,,0.88,1.0,25,1.0,812.9
GK-006,2026-08-04T02:45:17+00:00,general_knowledge,done,e5-large-v2,whole_doc,llama-3.3-70b-versatile,openai/gpt-oss-120b,dense,cross_encoder,sides,10,5,42,25,0.1631,0.1295,0.8248,0.8867,0.2014,0.1518,0.7847,1.0,0.0748,0.0813,0.4349,0.3073,0.0487,0.0385,0.2839,0.1133,,0.92,1.0,25,1.0,666.8
GK-007,2026-08-04T02:49:02+00:00,general_knowledge,done,e5-large-v2,whole_doc,llama-3.3-70b-versatile,openai/gpt-oss-120b,hybrid,none,forward,10,5,42,25,0.1644,0.1453,0.8713,0.9,0.2014,0.1518,0.7847,1.0,0.0866,0.0605,0.2589,0.3,0.0528,0.0283,0.148,0.1,,0.92,1.0,25,0.92,222.5
GK-008,2026-08-04T02:52:50+00:00,general_knowledge,done,e5-large-v2,whole_doc,llama-3.3-70b-versatile,openai/gpt-oss-120b,hybrid,none,reverse,10,5,42,25,0.1871,0.1373,0.8133,0.9,0.2014,0.1518,0.7847,1.0,0.0755,0.0844,0.3689,0.3,0.0443,0.0376,0.242,0.1,,0.92,1.0,25,0.96,224.2
GK-009,2026-08-04T02:55:33+00:00,general_knowledge,done,e5-large-v2,whole_doc,llama-3.3-70b-versatile,openai/gpt-oss-120b,hybrid,none,sides,10,5,42,25,0.1654,0.1348,0.792,0.86,0.2014,0.1518,0.7847,1.0,0.0827,0.088,0.4084,0.3606,0.0533,0.0408,0.2473,0.14,,0.88,1.0,25,1.0,159.6
GK-010,2026-08-04T02:55:48+00:00,general_knowledge,done,e5-large-v2,whole_doc,llama-3.3-70b-versatile,openai/gpt-oss-120b,hybrid,cross_encoder,forward,10,5,42,25,0.1656,0.1456,0.8127,0.86,0.2014,0.1518,0.7847,1.0,0.0945,0.0852,0.4181,0.3606,0.0542,0.0414,0.276,0.14,,0.88,1.0,25,0.92,12.2
