idx,our_relevance,our_utilization,our_completeness,our_adherence,ref_relevance,ref_utilization,ref_completeness,ref_adherence
0,0.6667,0.1111,0.0,0,0.1111111111111111,0.1111111111111111,1.0,1
1,0.2,0.2,0.0,1,0.04,0.04,1.0,1
2,0.05,0.1,0.0,0,0.1,0.05,0.5,1
3,0.6667,0.1111,0.0,0,0.1111111111111111,0.1111111111111111,1.0,0
5,0.2143,0.1429,0.0,0,0.07142857142857142,0.07142857142857142,1.0,1
6,0.1667,0.1667,0.0,0,0.5,0.16666666666666666,0.3333333333333333,1
7,0.0714,0.0476,0.0,0,0.023809523809523808,0.023809523809523808,1.0,1
8,0.3846,0.3077,0.8,0,0.15384615384615385,0.07692307692307693,0.5,1
9,0.3077,0.2308,0.0,0,0.07692307692307693,0.07692307692307693,1.0,1
10,0.069,0.1034,1.0,0,0.034482758620689655,0.034482758620689655,1.0,1
11,0.28,0.08,0.0,0,0.04,0.04,1.0,1
12,0.069,0.0345,0.0,0,0.034482758620689655,0.034482758620689655,1.0,1
13,0.2,0.2,0.0,0,0.06666666666666667,0.06666666666666667,1.0,1
14,0.0857,0.0857,1.0,0,0.02857142857142857,0.02857142857142857,1.0,1
15,0.4545,0.2727,0.0,0,0.09090909090909091,0.0,0.0,0
16,0.3462,0.0385,0.0,0,0.038461538461538464,0.038461538461538464,1.0,1
17,0.2,0.1,0.0,1,0.1,0.05,0.5,1
18,0.0385,0.0385,0.0,1,0.038461538461538464,0.038461538461538464,1.0,1
19,0.1481,0.1481,0.0,0,0.037037037037037035,0.037037037037037035,1.0,1
20,0.2143,0.0357,0.0,0,0.03571428571428571,0.03571428571428571,1.0,1
21,0.1429,0.0357,0.0,1,0.03571428571428571,0.03571428571428571,1.0,1
22,0.0968,0.0323,0.0,0,0.03225806451612903,0.03225806451612903,1.0,1
23,0.2105,0.0526,0.0,0,0.15789473684210525,0.05263157894736842,0.3333333333333333,1
24,0.1515,0.0909,0.0,0,0.12121212121212122,0.06060606060606061,0.5,0
25,0.0968,0.0968,1.0,0,0.03225806451612903,0.03225806451612903,1.0,1
26,0.7143,0.0357,0.0,0,0.03571428571428571,0.03571428571428571,1.0,1
27,0.25,0.3333,0.0,1,0.08333333333333333,0.08333333333333333,1.0,1
28,1.0,0.0667,0.0667,0,0.06666666666666667,0.06666666666666667,1.0,0
29,0.0909,0.0909,0.0,0,0.06060606060606061,0.06060606060606061,1.0,1
30,0.96,0.16,0.125,0,0.04,0.04,1.0,1
31,0.1154,0.0385,0.0,1,0.038461538461538464,0.038461538461538464,1.0,1
32,0.0476,0.0476,1.0,1,0.047619047619047616,0.047619047619047616,1.0,1
33,2.0,0.3333,0.0,0,0.3333333333333333,0.3333333333333333,1.0,1
34,0.8571,0.1429,0.0,0,0.7142857142857143,0.14285714285714285,0.2,0
35,0.0294,0.0294,0.0,1,0.058823529411764705,0.029411764705882353,0.5,1
36,0.16,0.16,1.0,1,0.04,0.04,1.0,1
37,0.16,0.16,1.0,0,0.04,0.04,1.0,1
38,0.1429,0.1714,0.0,0,0.08571428571428572,0.08571428571428572,1.0,1
39,0.2,0.1,0.0,0,0.1,0.1,1.0,1
40,0.1,0.1,1.0,0,0.06666666666666667,0.06666666666666667,1.0,1
41,0.0909,0.1818,0.5,0,0.045454545454545456,0.045454545454545456,1.0,1
42,0.12,0.12,1.0,1,0.04,0.04,1.0,1
43,0.8889,0.1111,0.0625,0,0.05555555555555555,0.05555555555555555,1.0,1
44,0.2353,0.0588,0.0,0,0.058823529411764705,0.058823529411764705,1.0,1
45,0.1818,0.1364,0.0,0,0.09090909090909091,0.045454545454545456,0.5,1
46,1.0,0.1429,0.0,0,0.03571428571428571,0.03571428571428571,1.0,1
47,1.0,0.0588,0.0588,0,0.058823529411764705,0.058823529411764705,1.0,1
48,0.35,0.1,0.0,0,0.15,0.05,0.3333333333333333,1
49,0.12,0.04,0.0,0,0.04,0.04,1.0,1
50,0.5,0.5,1.0,0,0.125,0.125,1.0,1
51,0.0357,0.0357,0.0,1,0.03571428571428571,0.03571428571428571,1.0,1
52,0.2083,0.1667,0.8,0,0.041666666666666664,0.041666666666666664,1.0,1
53,0.3636,0.3636,1.0,0,0.09090909090909091,0.09090909090909091,1.0,0
54,0.25,0.25,0.0,0,0.08333333333333333,0.08333333333333333,1.0,1
55,0.3077,0.0769,0.0,0,0.07692307692307693,0.07692307692307693,1.0,1
56,0.6364,0.1818,0.0,0,0.09090909090909091,0.09090909090909091,1.0,1
57,0.125,0.0833,0.0,0,0.041666666666666664,0.041666666666666664,1.0,1
58,0.3333,0.2857,0.0,0,0.14285714285714285,0.047619047619047616,0.3333333333333333,1
59,1.3333,0.3333,0.0,0,0.3333333333333333,0.3333333333333333,1.0,1
60,0.1667,0.0833,0.0,1,0.041666666666666664,0.041666666666666664,1.0,1
61,0.0312,0.0312,0.0,1,0.03125,0.03125,1.0,1
62,0.1667,0.0833,0.0,1,0.041666666666666664,0.041666666666666664,1.0,1
63,0.037,0.037,0.0,1,0.037037037037037035,0.037037037037037035,1.0,1
64,0.1,0.2286,0.0,0,0.014285714285714285,0.014285714285714285,1.0,1
65,0.16,0.16,1.0,0,0.04,0.04,1.0,1
66,0.6061,0.1212,0.0,0,0.030303030303030304,0.030303030303030304,1.0,1
67,0.1579,0.0526,0.0,0,0.05263157894736842,0.05263157894736842,1.0,1
68,0.6667,0.0667,0.0,0,0.06666666666666667,0.06666666666666667,1.0,1
69,0.4545,0.3636,0.0,0,0.09090909090909091,0.09090909090909091,1.0,1
70,0.5714,0.2857,0.0,0,0.14285714285714285,0.14285714285714285,1.0,1
71,0.2143,0.0714,0.0,0,0.03571428571428571,0.03571428571428571,1.0,1
72,0.087,0.0435,0.0,0,0.043478260869565216,0.043478260869565216,1.0,1
73,0.1481,0.037,0.0,0,0.037037037037037035,0.037037037037037035,1.0,1
74,0.3077,0.2308,0.0,0,0.07692307692307693,0.07692307692307693,1.0,1
75,0.2381,0.1429,0.0,0,0.047619047619047616,0.047619047619047616,1.0,1
76,0.6818,0.1364,0.0667,1,0.045454545454545456,0.045454545454545456,1.0,1
77,0.16,0.12,0.0,0,0.12,0.0,0.0,0
78,0.1,0.1,0.0,1,0.1,0.1,1.0,1
79,0.186,0.0465,0.0,0,0.046511627906976744,0.023255813953488372,0.5,1
80,0.7895,0.1053,0.0,1,0.05263157894736842,0.05263157894736842,1.0,1
