idx,our_relevance,our_utilization,our_completeness,our_adherence,ref_relevance,ref_utilization,ref_completeness,ref_adherence
0,0.7778,0.5556,0.7143,0,0.1111111111111111,0.1111111111111111,1.0,1
1,0.08,0.08,1.0,0,0.04,0.04,1.0,1
2,0.4,0.3,0.75,0,0.1,0.05,0.5,1
3,0.4444,0.2222,0.5,0,0.1111111111111111,0.1111111111111111,1.0,0
4,0.1,0.05,0.5,1,0.05,0.05,1.0,1
5,0.8571,0.0714,0.0833,0,0.07142857142857142,0.07142857142857142,1.0,1
6,0.6667,0.1667,0.25,1,0.5,0.16666666666666666,0.3333333333333333,1
7,0.6667,0.6667,1.0,0,0.023809523809523808,0.023809523809523808,1.0,1
8,0.3077,0.3077,1.0,1,0.15384615384615385,0.07692307692307693,0.5,1
9,0.5385,0.5385,1.0,1,0.07692307692307693,0.07692307692307693,1.0,1
10,0.1379,0.0345,0.25,1,0.034482758620689655,0.034482758620689655,1.0,1
11,0.24,0.08,0.3333,1,0.04,0.04,1.0,1
12,0.2069,0.0345,0.1667,1,0.034482758620689655,0.034482758620689655,1.0,1
13,0.5333,0.0667,0.125,1,0.06666666666666667,0.06666666666666667,1.0,1
14,0.1714,0.0286,0.1667,1,0.02857142857142857,0.02857142857142857,1.0,1
15,0.1818,0.0909,0.5,1,0.09090909090909091,0.0,0.0,0
16,0.0769,0.0385,0.5,1,0.038461538461538464,0.038461538461538464,1.0,1
17,0.1,0.05,0.5,0,0.1,0.05,0.5,1
18,0.2308,0.1923,0.8333,1,0.038461538461538464,0.038461538461538464,1.0,1
19,0.4074,0.4074,1.0,0,0.037037037037037035,0.037037037037037035,1.0,1
20,0.3929,0.0357,0.0909,0,0.03571428571428571,0.03571428571428571,1.0,1
21,0.0714,0.0714,1.0,0,0.03571428571428571,0.03571428571428571,1.0,1
22,0.0968,0.0645,0.6667,0,0.03225806451612903,0.03225806451612903,1.0,1
23,0.1579,0.1579,1.0,1,0.15789473684210525,0.05263157894736842,0.3333333333333333,1
24,0.2424,0.0606,0.25,1,0.12121212121212122,0.06060606060606061,0.5,0
25,0.1613,0.0323,0.2,0,0.03225806451612903,0.03225806451612903,1.0,1
26,0.1429,0.0357,0.25,1,0.03571428571428571,0.03571428571428571,1.0,1
27,0.25,0.1667,0.6667,0,0.08333333333333333,0.08333333333333333,1.0,1
28,0.1333,0.0667,0.5,1,0.06666666666666667,0.06666666666666667,1.0,0
29,0.0606,0.0606,1.0,0,0.06060606060606061,0.06060606060606061,1.0,1
30,1.0,0.12,0.12,1,0.04,0.04,1.0,1
31,0.0769,0.0385,0.5,1,0.038461538461538464,0.038461538461538464,1.0,1
32,0.0476,0.0476,1.0,1,0.047619047619047616,0.047619047619047616,1.0,1
33,0.0,0.0,0.0,1,0.3333333333333333,0.3333333333333333,1.0,1
34,0.5714,0.1429,0.25,0,0.7142857142857143,0.14285714285714285,0.2,0
35,0.0588,0.0588,1.0,1,0.058823529411764705,0.029411764705882353,0.5,1
36,0.2,0.04,0.2,1,0.04,0.04,1.0,1
37,0.04,0.04,1.0,1,0.04,0.04,1.0,1
38,0.2286,0.2286,1.0,1,0.08571428571428572,0.08571428571428572,1.0,1
39,0.15,0.1,0.6667,0,0.1,0.1,1.0,1
40,0.1333,0.0667,0.5,1,0.06666666666666667,0.06666666666666667,1.0,1
41,0.2273,0.0455,0.2,1,0.045454545454545456,0.045454545454545456,1.0,1
42,0.04,0.04,1.0,1,0.04,0.04,1.0,1
43,0.0,0.0,0.0,1,0.05555555555555555,0.05555555555555555,1.0,1
44,0.8235,0.8235,1.0,0,0.058823529411764705,0.058823529411764705,1.0,1
45,0.9545,0.0455,0.0476,0,0.09090909090909091,0.045454545454545456,0.5,1
46,0.1786,0.1786,1.0,1,0.03571428571428571,0.03571428571428571,1.0,1
47,0.1176,0.1176,1.0,0,0.058823529411764705,0.058823529411764705,1.0,1
48,0.15,0.15,1.0,1,0.15,0.05,0.3333333333333333,1
49,0.32,0.08,0.25,1,0.04,0.04,1.0,1
50,0.125,0.125,1.0,0,0.125,0.125,1.0,1
51,0.7143,0.0357,0.05,1,0.03571428571428571,0.03571428571428571,1.0,1
52,0.125,0.125,1.0,0,0.041666666666666664,0.041666666666666664,1.0,1
53,0.0,0.0,0.0,1,0.09090909090909091,0.09090909090909091,1.0,0
54,0.2083,0.0833,0.4,0,0.08333333333333333,0.08333333333333333,1.0,1
55,0.3077,0.1538,0.5,1,0.07692307692307693,0.07692307692307693,1.0,1
56,0.3636,0.0909,0.25,0,0.09090909090909091,0.09090909090909091,1.0,1
57,0.2083,0.0833,0.4,1,0.041666666666666664,0.041666666666666664,1.0,1
58,0.381,0.0476,0.125,1,0.14285714285714285,0.047619047619047616,0.3333333333333333,1
59,0.3333,0.3333,1.0,1,0.3333333333333333,0.3333333333333333,1.0,1
60,0.125,0.125,1.0,1,0.041666666666666664,0.041666666666666664,1.0,1
61,0.2812,0.0625,0.2222,0,0.03125,0.03125,1.0,1
62,0.1667,0.0417,0.25,0,0.041666666666666664,0.041666666666666664,1.0,1
63,0.1111,0.1111,1.0,1,0.037037037037037035,0.037037037037037035,1.0,1
64,1.0,1.0,1.0,0,0.014285714285714285,0.014285714285714285,1.0,1
65,0.12,0.04,0.3333,0,0.04,0.04,1.0,1
66,1.0,0.0303,0.0303,0,0.030303030303030304,0.030303030303030304,1.0,1
67,0.1579,0.1579,1.0,0,0.05263157894736842,0.05263157894736842,1.0,1
68,0.0667,0.0667,1.0,0,0.06666666666666667,0.06666666666666667,1.0,1
69,0.9091,0.0909,0.1,0,0.09090909090909091,0.09090909090909091,1.0,1
70,0.7143,0.1429,0.2,0,0.14285714285714285,0.14285714285714285,1.0,1
71,0.0,0.0,0.0,1,0.03571428571428571,0.03571428571428571,1.0,1
72,0.2174,0.1304,0.6,1,0.043478260869565216,0.043478260869565216,1.0,1
73,0.2222,0.2222,1.0,0,0.037037037037037035,0.037037037037037035,1.0,1
74,0.3077,0.0769,0.25,1,0.07692307692307693,0.07692307692307693,1.0,1
75,0.4762,0.2381,0.5,0,0.047619047619047616,0.047619047619047616,1.0,1
76,0.1364,0.0455,0.3333,0,0.045454545454545456,0.045454545454545456,1.0,1
77,0.48,0.08,0.1667,0,0.12,0.0,0.0,0
78,0.1,0.1,1.0,0,0.1,0.1,1.0,1
79,0.093,0.0465,0.5,1,0.046511627906976744,0.023255813953488372,0.5,1
80,0.2105,0.1579,0.75,1,0.05263157894736842,0.05263157894736842,1.0,1
81,0.1304,0.087,0.6667,1,0.043478260869565216,0.043478260869565216,1.0,1
82,0.0,0.0,0.0,0,0.07692307692307693,0.07692307692307693,1.0,1
83,0.1,0.05,0.5,0,0.05,0.05,1.0,1
84,0.1111,0.0556,0.5,1,0.1111111111111111,0.0,0.0,0
85,0.2174,0.0435,0.2,0,0.043478260869565216,0.043478260869565216,1.0,0
86,0.1379,0.1379,1.0,0,0.0,0.0,1.0,0
87,0.6,0.0667,0.1111,0,0.06666666666666667,0.06666666666666667,1.0,1
88,0.1875,0.1875,1.0,1,0.125,0.0625,0.5,1
89,0.0,0.0,0.0,1,0.10526315789473684,0.10526315789473684,1.0,1
90,0.15,0.15,1.0,1,0.05,0.05,1.0,1
91,0.5714,0.2857,0.5,0,0.42857142857142855,0.2857142857142857,0.6666666666666666,1
92,0.3636,0.3636,0.5,1,0.09090909090909091,0.09090909090909091,1.0,1
93,0.0968,0.0968,1.0,1,0.03225806451612903,0.03225806451612903,1.0,1
94,0.1667,0.125,0.0,1,0.041666666666666664,0.041666666666666664,1.0,1
95,0.0811,0.0541,0.6667,0,0.10810810810810811,0.02702702702702703,0.25,1
96,0.2632,0.1053,0.4,0,0.10526315789473684,0.0,0.0,0
97,0.0714,0.0357,0.5,0,0.07142857142857142,0.03571428571428571,0.5,1
98,0.1071,0.1071,1.0,1,0.03571428571428571,0.03571428571428571,1.0,1
99,0.1818,0.0909,0.5,0,0.045454545454545456,0.045454545454545456,1.0,1
100,0.0952,0.0476,0.5,1,0.047619047619047616,0.047619047619047616,1.0,1
101,0.8333,0.0833,0.1,0,0.08333333333333333,0.08333333333333333,1.0,1
102,0.0741,0.037,0.5,1,0.037037037037037035,0.037037037037037035,1.0,1
103,0.1538,0.0769,0.5,0,0.07692307692307693,0.07692307692307693,1.0,1
104,1.0,0.0143,0.0143,1,0.014285714285714285,0.014285714285714285,1.0,1
105,0.0909,0.0303,0.3333,1,0.030303030303030304,0.030303030303030304,1.0,1
106,0.0,0.0,0.0,0,0.09090909090909091,0.09090909090909091,1.0,0
107,0.8333,0.0833,0.1,0,0.16666666666666666,0.08333333333333333,0.5,1
108,0.1034,0.069,0.6667,0,0.06896551724137931,0.06896551724137931,1.0,0
109,0.2083,0.0417,0.0,1,0.041666666666666664,0.041666666666666664,1.0,1
110,0.7308,0.7308,1.0,0,0.038461538461538464,0.038461538461538464,1.0,1
111,0.0968,0.0645,0.6667,1,0.03225806451612903,0.03225806451612903,1.0,1
112,0.35,0.35,1.0,1,0.05,0.05,1.0,1
113,0.0645,0.0323,0.5,1,0.03225806451612903,0.03225806451612903,1.0,1
114,0.2692,0.0769,0.2857,1,0.038461538461538464,0.038461538461538464,1.0,1
115,0.0938,0.0312,0.3333,1,0.03125,0.03125,1.0,1
116,0.0755,0.0566,0.75,0,0.03773584905660377,0.03773584905660377,1.0,1
117,0.1818,0.0909,0.5,0,0.045454545454545456,0.045454545454545456,1.0,1
118,0.4286,0.4286,1.0,1,0.2857142857142857,0.14285714285714285,0.5,1
119,0.3704,0.1111,0.3,1,0.037037037037037035,0.037037037037037035,1.0,1
120,0.0,0.0,0.0,1,0.25,0.25,1.0,1
121,0.6842,0.6842,1.0,0,0.10526315789473684,0.05263157894736842,0.5,1
122,0.2308,0.0385,0.1667,0,0.038461538461538464,0.038461538461538464,1.0,1
123,0.12,0.12,1.0,0,0.04,0.04,1.0,1
124,0.375,0.0625,0.1667,0,0.125,0.0625,0.5,1
125,0.125,0.125,1.0,0,0.125,0.0625,0.5,1
126,0.0833,0.0278,0.3333,0,0.027777777777777776,0.027777777777777776,1.0,1
127,0.2,0.08,0.4,0,0.08,0.04,0.5,0
128,0.5,0.25,0.5,0,0.25,0.25,1.0,1
129,0.0526,0.1053,1.0,1,0.05263157894736842,0.05263157894736842,1.0,1
130,0.0,0.0,0.0,1,0.034482758620689655,0.034482758620689655,1.0,1
131,0.0833,0.0417,0.5,1,0.041666666666666664,0.041666666666666664,1.0,1
132,0.1034,0.1034,1.0,0,0.034482758620689655,0.06896551724137931,1.0,0
133,0.95,0.1,0.1053,0,0.05,0.05,1.0,1
134,0.4667,0.1333,0.1429,1,0.13333333333333333,0.13333333333333333,1.0,1
135,0.0513,0.0513,1.0,1,0.02564102564102564,0.02564102564102564,1.0,1
136,0.2143,0.2143,1.0,1,0.07142857142857142,0.0,0.0,0
137,1.0,0.0645,0.0645,1,0.03225806451612903,0.03225806451612903,1.0,1
138,0.1429,0.0952,0.6667,1,0.047619047619047616,0.047619047619047616,1.0,1
139,0.1176,0.1765,0.5,0,0.058823529411764705,0.058823529411764705,1.0,0
140,0.0769,0.0385,0.5,1,0.038461538461538464,0.038461538461538464,1.0,1
141,0.0286,0.0286,1.0,0,0.014285714285714285,0.014285714285714285,1.0,1
142,0.2963,0.037,0.125,1,0.037037037037037035,0.037037037037037035,1.0,0
143,0.6429,0.0714,0.1111,1,0.07142857142857142,0.07142857142857142,1.0,1
144,0.8462,0.0769,0.0909,1,0.038461538461538464,0.038461538461538464,1.0,1
145,0.5,0.5,1.0,1,0.058823529411764705,0.029411764705882353,0.5,1
146,0.3333,0.2222,0.6667,0,0.2222222222222222,0.1111111111111111,0.5,1
147,0.3636,0.1818,0.5,0,0.045454545454545456,0.045454545454545456,1.0,1
148,0.4762,0.0952,0.2,0,0.09523809523809523,0.09523809523809523,1.0,0
149,0.6667,0.0833,0.125,0,0.08333333333333333,0.08333333333333333,1.0,0
150,0.3043,0.3043,1.0,1,0.08695652173913043,0.043478260869565216,0.5,1
151,0.4091,0.0455,0.1111,0,0.022727272727272728,0.022727272727272728,1.0,1
152,0.5455,0.2727,0.5,0,0.18181818181818182,0.09090909090909091,0.5,1
153,0.25,0.1667,0.5,0,0.08333333333333333,0.041666666666666664,0.5,1
154,0.1,0.1,1.0,0,0.05,0.05,1.0,1
155,1.0,0.1017,0.1017,0,0.05084745762711865,0.05084745762711865,1.0,1
156,0.1176,0.0588,0.5,0,0.058823529411764705,0.058823529411764705,1.0,1
157,0.1034,0.0345,0.3333,1,0.06896551724137931,0.034482758620689655,0.5,1
158,0.1786,0.0357,0.2,1,0.03571428571428571,0.03571428571428571,1.0,1
159,0.9444,0.1111,0.1176,0,0.05555555555555555,0.05555555555555555,1.0,1
160,0.0833,0.0833,1.0,0,0.041666666666666664,0.041666666666666664,1.0,1
161,0.4615,0.0769,0.1667,1,0.07692307692307693,0.07692307692307693,1.0,1
162,0.6364,0.0909,0.1429,0,0.045454545454545456,0.045454545454545456,1.0,1
163,0.08,0.08,1.0,1,0.04,0.04,1.0,1
164,0.0952,0.0476,0.5,1,0.047619047619047616,0.047619047619047616,1.0,1
165,0.0732,0.0244,0.3333,0,0.024390243902439025,0.024390243902439025,1.0,1
166,0.7273,0.0,0.0,1,0.045454545454545456,0.045454545454545456,1.0,1
167,0.6111,0.0556,0.0909,1,0.05555555555555555,0.05555555555555555,1.0,1
168,0.8889,0.2222,0.25,1,0.1111111111111111,0.1111111111111111,1.0,1
169,0.1176,0.1176,1.0,1,0.029411764705882353,0.029411764705882353,1.0,1
170,0.963,0.037,0.0385,0,0.037037037037037035,0.037037037037037035,1.0,1
171,0.0,0.0,0.0,0,0.06666666666666667,0.06666666666666667,1.0,0
172,0.12,0.08,0.6667,0,0.04,0.04,1.0,1
174,0.0789,0.0526,0.6667,1,0.02631578947368421,0.02631578947368421,1.0,1
175,0.1538,0.0385,0.25,0,0.038461538461538464,0.038461538461538464,1.0,1
176,1.0,0.0303,0.0303,0,0.030303030303030304,0.030303030303030304,1.0,1
177,0.0968,0.0645,0.6667,0,0.03225806451612903,0.03225806451612903,1.0,1
178,0.0571,0.0286,0.5,1,0.02857142857142857,0.02857142857142857,1.0,1
179,0.6667,0.1333,0.2,1,0.13333333333333333,0.13333333333333333,1.0,1
180,0.303,0.1212,0.4,0,0.030303030303030304,0.030303030303030304,1.0,0
181,0.0909,0.0455,0.5,1,0.045454545454545456,0.045454545454545456,1.0,1
182,0.3,0.3,1.0,0,0.05,0.05,1.0,1
183,0.6667,0.1111,0.0556,0,0.037037037037037035,0.037037037037037035,1.0,1
184,0.878,0.0488,0.0556,1,0.024390243902439025,0.024390243902439025,1.0,1
