idx,our_relevance,our_utilization,our_completeness,our_adherence,ref_relevance,ref_utilization,ref_completeness,ref_adherence
0,0.6667,0.2222,0.3333,0,0.1111111111111111,0.1111111111111111,1.0,1
1,0.08,0.08,1.0,0,0.04,0.04,1.0,1
2,0.35,0.05,0.1429,0,0.1,0.05,0.5,1
3,0.8889,0.2222,0.25,0,0.1111111111111111,0.1111111111111111,1.0,0
4,0.4,0.05,0.125,1,0.05,0.05,1.0,1
5,0.3571,0.0714,0.2,0,0.07142857142857142,0.07142857142857142,1.0,1
6,0.8333,0.8333,1.0,1,0.5,0.16666666666666666,0.3333333333333333,1
7,0.5714,0.0238,0.0417,0,0.023809523809523808,0.023809523809523808,1.0,1
8,0.3846,0.3846,1.0,0,0.15384615384615385,0.07692307692307693,0.5,1
9,0.1538,0.0769,0.5,0,0.07692307692307693,0.07692307692307693,1.0,1
10,0.069,0.0345,0.5,1,0.034482758620689655,0.034482758620689655,1.0,1
11,0.28,0.04,0.1429,0,0.04,0.04,1.0,1
12,0.1379,0.1034,0.75,0,0.034482758620689655,0.034482758620689655,1.0,1
13,0.7333,0.0667,0.0909,1,0.06666666666666667,0.06666666666666667,1.0,1
14,0.2857,0.0571,0.2,0,0.02857142857142857,0.02857142857142857,1.0,1
15,0.2727,0.2727,1.0,0,0.09090909090909091,0.0,0.0,0
16,0.0769,0.0385,0.5,1,0.038461538461538464,0.038461538461538464,1.0,1
17,0.1,0.05,0.5,1,0.1,0.05,0.5,1
18,0.2308,0.0385,0.1667,0,0.038461538461538464,0.038461538461538464,1.0,1
19,1.0,0.2222,0.2222,0,0.037037037037037035,0.037037037037037035,1.0,1
20,0.3929,0.0357,0.0909,1,0.03571428571428571,0.03571428571428571,1.0,1
21,0.2857,0.2857,1.0,0,0.03571428571428571,0.03571428571428571,1.0,1
22,0.7097,0.0645,0.0909,0,0.03225806451612903,0.03225806451612903,1.0,1
23,0.1579,0.1053,0.6667,1,0.15789473684210525,0.05263157894736842,0.3333333333333333,1
24,0.2424,0.1212,0.5,0,0.12121212121212122,0.06060606060606061,0.5,0
