Experiment ID,Domain,Chunking Strategy,Embedding Model,Retrieval Technique,Re-ranking / Summarization,LLM Used,Context Relevance (score),Context Utilization (score),Completeness (score),Adherence (score),Reference Relevance,Reference Utilization,Reference Completeness,Reference Adherence,Samples,Notes / Error Analysis
EXP-001,Finance,Whole Document,all-MiniLM-L6-v2,FAISS (dense),None,llama-3.1-8b-instant,0.2995,0.1102,0.4197,0.4,0.0852,0.0545,0.8267,0.88,25,"Baseline, corrected TRACe metrics"
EXP-002,Finance,Whole Document,all-MiniLM-L6-v2,"FAISS (dense, k=5)",None,llama-3.1-8b-instant,0.2965,0.1031,0.3957,0.4,0.0852,0.0545,0.8267,0.88,25,k=5 vs baseline k=3 — no meaningful difference
EXP-003,Finance,Whole Document,all-MiniLM-L6-v2,FAISS (dense),None,llama-3.1-8b-instant,0.3864,0.142,0.4406,0.32,0.0852,0.0545,0.8267,0.88,25,Minimal generator prompt
EXP-004,Finance,Metadata-aware (~1100c merged),all-MiniLM-L6-v2,FAISS (dense),None,llama-3.1-8b-instant,0.3367,0.1441,0.5305,0.4583,0.0822,0.0546,0.8472,0.875,24,Adherence AUCROC unstable (n=3 negative class)
EXP-005,Finance,Whole Document,BAAI/bge-large-en-v1.5,FAISS (dense),None,llama-3.1-8b-instant,0.3704,0.1409,0.4294,0.28,0.0852,0.0545,0.8267,0.88,25,Larger embedding — no clear improvement
EXP-006,Finance,Whole Document,all-MiniLM-L6-v2,FAISS + BM25 (RRF),None,llama-3.1-8b-instant,0.3118,0.0986,0.3413,0.3333,0.0846,0.0547,0.8403,0.875,24,Hybrid alone — no meaningful improvement
EXP-007,Finance,Whole Document,ProsusAI/FinBERT (mean-pooled),FAISS (dense),None,llama-3.1-8b-instant,0.3139,0.0926,0.3658,0.36,0.0852,0.0545,0.8267,0.88,25,FinBERT alone — underperformed MiniLM
EXP-008,Finance,Whole Document,all-MiniLM-L6-v2,FAISS (dense),None,llama-3.3-70b-versatile,0.3728,0.1158,0.4081,0.5417,0.0837,0.0543,0.8403,0.9167,24,Best single-factor change (25 samples)
EXP-009,Finance,Whole Document,all-MiniLM-L6-v2,FAISS (dense),None,qwen/qwen3-32b,0.4183,0.2373,0.6063,0.2609,0.0898,0.0565,0.8116,0.8696,23,Weaker than 70B
EXP-010,Finance,Whole Document,all-MiniLM-L6-v2,FAISS (dense),None,llama-3.3-70b-versatile,0.4156,0.116,0.3763,0.4583,0.0837,0.0543,0.8403,0.9167,24,"Phase 3, confirms EXP-008 (25 samples)"
EXP-011,Finance,Whole Document,all-MiniLM-L6-v2,FAISS (dense),None,llama-3.1-8b-instant,0.3057,0.1074,0.4528,0.4467,0.0743,0.058,0.8923,0.8883,197,Full-scale baseline (197/200)
EXP-012,Finance,Whole Document,all-MiniLM-L6-v2,FAISS (dense),None,llama-3.3-70b-versatile,0.3174,0.1078,0.4385,0.533,0.0744,0.0581,0.8923,0.8832,197,Full-scale generator-only combo (197/200)
EXP-013,Finance,Metadata-aware (~1100c merged),ProsusAI/FinBERT (mean-pooled),FAISS + BM25 (RRF),None,llama-3.3-70b-versatile,0.3,0.1197,0.4991,0.5076,0.0744,0.0581,0.8923,0.8832,197,"BEST result: full domain-recommended stack (200 samples) — best Completeness and Adherence of all runs, despite each component underperforming individually"
