exp_id,domain,n,judge,generator,rel_rmse,util_rmse,comp_rmse,adh_rate,adh_aucroc,adh_accuracy,ref_adh_rate,idk_rate,dropped_keys,salvaged
JS-FIN-120b,finance,100,gpt-oss-120b,llama-3.3-70b-instruct,0.09031909587100022,0.0657764529036499,0.38171760940953897,0.57,0.5648621041879469,0.58,0.89,0.0,0,0
JS-LEG-120b,legal,100,gpt-oss-120b,llama-3.3-70b-instruct,0.34093122181063695,0.44567725996025703,0.6307469827888496,0.79,0.5208333333333333,0.77,0.96,0.0,0,0
JS-BIO-120b,biomedical,100,gpt-oss-120b,llama-3.3-70b-instruct,0.2657119491056341,0.2873007309133414,0.4712032339153139,0.65,0.6088369070825213,0.66,0.81,0.0,2,0
JS-CS-120b,customer_support,100,gpt-oss-120b,llama-3.3-70b-instruct,0.5349330185380102,0.5634348494528604,0.5920597957135807,0.55,0.4367723805700522,0.44,0.53,0.0,1,0
JS-GK-120b,general_knowledge,100,gpt-oss-120b,llama-3.3-70b-instruct,0.09047142519000284,0.07466407697457621,0.34422297393159706,0.49,0.4177732379979571,0.46,0.89,0.0,0,0
JS-FIN-70b,finance,100,llama-3.3-70b-instruct,llama-3.3-70b-instruct,0.12012381919440172,0.08100392606179221,0.4015233672207487,0.92,0.5061287027579162,0.83,0.89,0.0,0,0
JS-LEG-70b,legal,100,llama-3.3-70b-instruct,llama-3.3-70b-instruct,0.42252947041199995,0.2549798793283899,0.6135560507802567,0.87,0.5625,0.85,0.96,0.0,1,0
JS-BIO-70b,biomedical,100,llama-3.3-70b-instruct,llama-3.3-70b-instruct,0.3155152588021196,0.27338912423299894,0.4308408028402241,0.81,0.6426250812215724,0.78,0.81,0.0,2,0
JS-CS-70b,customer_support,100,llama-3.3-70b-instruct,llama-3.3-70b-instruct,0.642121450920249,0.5857399348456951,0.5549298313363641,0.68,0.479124849458049,0.49,0.53,0.0,0,0
JS-GK-70b,general_knowledge,100,llama-3.3-70b-instruct,llama-3.3-70b-instruct,0.11255991708642218,0.07479970757991533,0.30322084746619987,0.91,0.5515832482124616,0.84,0.89,0.0,1,1
