idx,our_relevance,our_utilization,our_completeness,our_adherence,ref_relevance,ref_utilization,ref_completeness,ref_adherence
1,0.1216,0.1216,1.0,0,0.027027027027027,0.027027027027027,1.0,1
4,0.0833,0.1389,0.0,0,0.0833333333333333,0.0462962962962962,0.5555555555555556,1
5,0.0138,0.0138,1.0,0,0.0,0.0,1.0,0
8,0.093,0.093,0.0,1,0.0542635658914728,0.0542635658914728,1.0,1
14,0.1141,0.0805,0.0,0,0.0738255033557047,0.0335570469798657,0.4545454545454545,1
16,0.1094,0.1094,1.0,0,0.1875,0.046875,0.25,0
17,0.0783,0.0783,1.0,0,0.0,0.0,1.0,1
22,0.0719,0.0392,0.0,0,0.0196078431372549,0.0065359477124183,0.0,0
23,0.0529,0.1765,0.0,1,0.1705882352941176,0.0470588235294117,0.2413793103448276,1
26,0.0213,0.0106,0.0,1,0.0638297872340425,0.0106382978723404,0.1666666666666666,1
0,0.2222,0.5833,0.0,0,0.01171875,0.01171875,1.0,0
2,0.1951,0.0488,0.0,0,0.0026595744680851,0.0013297872340425,0.5,1
3,0.2609,0.3913,0.0,0,0.0,0.0,1.0,1
6,0.3077,0.9615,0.0,0,0.0,0.0,1.0,0
7,0.2791,0.2791,1.0,0,0.0146341463414634,0.0146341463414634,1.0,0
9,0.2353,0.2353,1.0,0,0.0627177700348432,0.0627177700348432,1.0,1
10,0.2619,0.1667,0.0,0,0.0186915887850467,0.0186915887850467,1.0,1
11,0.4286,0.0,0.0,0,0.070110701107011,0.059040590405904,0.8421052631578947,1
12,0.5,0.4545,0.0,0,0.02803738317757,0.0,0.0,0
13,0.25,1.0,0.0,0,0.085,0.065,0.7647058823529411,1
15,0.8125,0.8125,0.0,0,0.0610328638497652,0.0234741784037558,0.3846153846153846,0
18,0.52,0.52,1.0,0,0.0,0.0,1.0,0
19,0.5,0.0714,0.0,0,0.036734693877551,0.0,0.0,0
20,0.1471,0.0882,0.0,0,0.0,0.0,1.0,0
21,0.7333,0.4,0.0,0,0.1445086705202312,0.1387283236994219,0.96,1
25,0.4062,1.0,0.0,0,0.0700934579439252,0.0467289719626168,0.5333333333333333,1
27,0.2273,0.0455,0.0,0,0.0256410256410256,0.0042735042735042,0.1666666666666666,1
28,0.4667,0.5333,1.0,0,0.1393034825870646,0.0547263681592039,0.3928571428571428,1
29,0.3462,0.1923,0.0,0,0.0342205323193916,0.0342205323193916,1.0,0
30,0.2727,1.0,0.0,0,0.0461095100864553,0.0259365994236311,0.5625,0
31,0.5,0.9583,0.0,0,0.0,0.0,1.0,0
32,0.4348,0.6087,0.0,0,0.0,0.0,1.0,0
33,0.4167,0.4167,1.0,0,0.0,0.0,1.0,1
34,0.6087,0.1739,0.0,0,0.0283018867924528,0.0251572327044025,0.8888888888888888,0
35,0.087,0.087,0.0,1,0.0098684210526315,0.0032894736842105,0.3333333333333333,1
36,0.6667,0.6667,1.0,0,0.242063492063492,0.0,0.0,0
37,0.8,0.8,1.0,0,0.0,0.0,1.0,0
38,0.3158,0.2105,0.0,0,0.0137614678899082,0.0091743119266055,0.3333333333333333,1
39,0.625,0.25,0.0,0,0.0636363636363636,0.0181818181818181,0.2857142857142857,1
40,0.4348,0.1739,0.0,0,0.1179775280898876,0.0393258426966292,0.3333333333333333,1
41,0.8333,0.1667,0.0,0,0.14,0.0,0.0,0
42,0.4118,1.0,0.0,0,0.0071174377224199,0.0035587188612099,0.5,0
