idx,strategy,our_relevance,ref_relevance,our_utilization,ref_utilization,our_completeness,ref_completeness,our_adherence,ref_adherence
0,A3_E1_rerank,0.353,0.412,0.353,0.176,1.0,0.429,0,0
1,A3_E1_rerank,0.192,0.269,0.038,0.077,0.2,0.286,0,1
2,A3_E1_rerank,0.125,0.125,0.062,0.062,0.5,0.5,1,1
3,A3_E1_rerank,0.2,0.3,0.1,0.3,0.5,1.0,0,1
4,A3_E1_rerank,0.067,0.067,0.067,0.067,1.0,1.0,1,1
5,A3_E1_rerank,0.176,0.294,0.059,0.176,0.333,0.6,1,1
6,A3_E1_rerank,1.0,0.056,0.0,0.056,0.0,1.0,0,1
7,A3_E1_rerank,0.318,0.364,0.0,0.045,0.0,0.125,0,1
8,A3_E1_rerank,0.158,0.158,0.053,0.053,0.333,0.333,1,1
9,A3_E1_rerank,0.708,1.0,0.0,0.042,0.0,0.042,1,1
10,A3_E1_rerank,0.35,0.35,0.1,0.1,0.286,0.286,0,1
11,A3_E1_rerank,0.611,0.389,0.111,0.222,0.091,0.571,0,1
12,A3_E1_rerank,0.133,0.133,0.133,0.067,1.0,0.5,0,1
13,A3_E1_rerank,0.105,0.105,0.105,0.053,1.0,0.5,1,1
14,A3_E1_rerank,0.789,0.263,0.789,0.158,1.0,0.6,0,1
16,A3_E1_rerank,0.471,0.176,0.176,0.118,0.375,0.667,1,0
17,A3_E1_rerank,0.294,0.059,0.059,0.059,0.2,1.0,1,1
18,A3_E1_rerank,0.333,0.333,0.167,0.333,0.5,1.0,1,0
20,A3_E1_rerank,0.517,0.414,0.517,0.345,1.0,0.833,0,1
21,A3_E1_rerank,0.087,0.13,0.043,0.043,0.5,0.333,1,1
22,A3_E1_rerank,0.273,0.182,0.0,0.182,0.0,1.0,0,1
23,A3_E1_rerank,0.474,0.421,0.158,0.158,0.333,0.375,0,1
24,A3_E1_rerank,0.471,0.235,0.353,0.118,0.75,0.5,0,0
26,A3_E1_rerank,0.444,0.444,0.389,0.444,0.875,1.0,0,1
27,A3_E1_rerank,0.191,0.19,0.095,0.19,0.5,1.0,0,1
28,A3_E1_rerank,0.278,0.222,0.222,0.056,0.4,0.25,1,1
29,A3_E1_rerank,0.429,0.381,0.143,0.381,0.333,1.0,0,0
30,A3_E1_rerank,0.227,0.273,0.182,0.227,0.6,0.833,0,0
31,A3_E1_rerank,0.286,0.286,0.071,0.143,0.25,0.5,1,1
32,A3_E1_rerank,0.238,0.286,0.143,0.095,0.6,0.333,0,1
33,A3_E1_rerank,0.4,0.4,0.3,0.25,0.75,0.625,0,1
35,A3_E1_rerank,0.357,0.357,0.143,0.357,0.4,1.0,1,0
36,A3_E1_rerank,0.2,0.4,0.2,0.267,1.0,0.667,0,1
37,A3_E1_rerank,0.286,0.286,0.0,0.143,0.0,0.5,0,1
38,A3_E1_rerank,0.15,0.2,0.05,0.05,0.333,0.25,1,1
39,A3_E1_rerank,0.45,0.15,0.05,0.05,0.111,0.333,1,1
40,A3_E1_rerank,0.556,0.667,0.167,0.222,0.2,0.333,0,1
41,A3_E1_rerank,0.045,0.045,0.045,0.045,1.0,1.0,1,1
42,A3_E1_rerank,0.286,0.429,0.286,0.429,1.0,1.0,0,1
43,A3_E1_rerank,0.316,0.526,0.316,0.421,1.0,0.8,0,1
44,A3_E1_rerank,0.5,0.5,0.5,0.5,1.0,1.0,0,1
45,A3_E1_rerank,1.0,0.2,1.0,0.2,1.0,1.0,0,0
46,A3_E1_rerank,0.526,0.211,0.526,0.211,1.0,1.0,1,0
47,A3_E1_rerank,0.636,0.273,0.182,0.182,0.286,0.667,1,1
48,A3_E1_rerank,0.136,0.091,0.045,0.045,0.333,0.5,0,1
49,A3_E1_rerank,0.312,0.312,0.062,0.062,0.2,0.2,1,1
50,A3_E1_rerank,0.087,0.043,0.043,0.043,0.5,1.0,1,1
51,A3_E1_rerank,0.368,0.421,0.0,0.211,0.0,0.5,0,0
52,A3_E1_rerank,0.333,0.333,0.111,0.222,0.333,0.667,0,1
53,A3_E1_rerank,0.095,0.381,0.048,0.048,0.5,0.125,0,1
54,A3_E1_rerank,0.21,0.842,0.158,0.474,0.75,0.562,0,1
55,A3_E1_rerank,0.45,0.4,0.45,0.25,1.0,0.625,0,1
56,A3_E1_rerank,0.312,0.75,0.0,0.438,0.0,0.583,0,1
57,A3_E1_rerank,0.4,0.333,0.067,0.067,0.167,0.2,0,1
58,A3_E1_rerank,0.333,0.4,0.333,0.4,1.0,1.0,0,1
59,A3_E1_rerank,0.222,0.278,0.222,0.222,1.0,0.8,0,1
60,A3_E1_rerank,0.75,0.75,0.125,0.375,0.167,0.5,1,1
61,A3_E1_rerank,0.25,0.0,0.125,0.0,0.5,1.0,0,1
62,A3_E1_rerank,0.321,0.357,0.25,0.286,0.778,0.8,0,0
63,A3_E1_rerank,0.5,0.375,0.25,0.375,0.5,1.0,0,0
64,A3_E1_rerank,0.292,0.375,0.083,0.167,0.286,0.444,0,1
65,A3_E1_rerank,0.5,0.125,0.0,0.0,0.0,0.0,0,1
66,A3_E1_rerank,0.444,0.5,0.167,0.444,0.375,0.889,1,1
67,A3_E1_rerank,0.407,0.148,0.037,0.037,0.091,0.25,1,1
68,A3_E1_rerank,0.364,0.182,0.091,0.182,0.25,1.0,1,1
69,A3_E1_rerank,0.318,0.227,0.318,0.091,1.0,0.4,1,1
70,A3_E1_rerank,0.318,0.409,0.091,0.273,0.286,0.667,0,1
71,A3_E1_rerank,0.182,0.091,0.0,0.091,0.0,1.0,1,1
72,A3_E1_rerank,0.312,0.25,0.062,0.062,0.2,0.25,1,1
73,A3_E1_rerank,0.143,0.095,0.143,0.095,1.0,1.0,1,1
74,A3_E1_rerank,0.136,0.136,0.045,0.091,0.333,0.667,0,1
75,A3_E1_rerank,0.467,0.267,0.0,0.267,0.0,1.0,0,1
76,A3_E1_rerank,0.111,0.222,0.111,0.222,1.0,1.0,1,1
77,A3_E1_rerank,0.688,0.312,0.0,0.062,0.0,0.2,0,0
78,A3_E1_rerank,0.364,0.0,0.0,0.0,0.0,1.0,1,1
80,A3_E1_rerank,0.75,0.5,0.75,0.375,1.0,0.75,0,1
81,A3_E1_rerank,0.308,0.231,0.0,0.154,0.0,0.667,0,0
82,A3_E1_rerank,0.5,0.25,0.25,0.25,0.5,1.0,0,0
84,A3_E1_rerank,0.111,0.167,0.056,0.167,0.5,1.0,1,1
85,A3_E1_rerank,0.2,0.12,0.04,0.04,0.2,0.333,1,1
86,A3_E1_rerank,0.174,0.261,0.087,0.043,0.5,0.167,0,0
87,A3_E1_rerank,0.667,0.611,0.278,0.556,0.417,0.909,0,1
89,A3_E1_rerank,0.571,0.381,0.238,0.143,0.417,0.375,0,0
90,A3_E1_rerank,0.273,0.273,0.273,0.091,1.0,0.333,0,1
91,A3_E1_rerank,0.273,0.091,0.0,0.091,0.0,1.0,0,1
92,A3_E1_rerank,0.353,0.118,0.059,0.059,0.167,0.5,1,1
93,A3_E1_rerank,0.227,0.091,0.045,0.091,0.2,1.0,1,1
94,A3_E1_rerank,0.318,0.273,0.318,0.091,1.0,0.333,0,0
95,A3_E1_rerank,0.263,0.158,0.105,0.158,0.4,1.0,1,1
96,A3_E1_rerank,0.364,0.409,0.273,0.227,0.75,0.556,0,1
97,A3_E1_rerank,0.091,0.045,0.045,0.045,0.5,1.0,1,1
98,A3_E1_rerank,0.312,0.375,0.312,0.125,1.0,0.333,0,0
99,A3_E1_rerank,0.412,0.588,0.412,0.471,1.0,0.7,0,1
100,A3_E1_rerank,0.571,0.476,0.571,0.286,1.0,0.6,0,1
101,A3_E1_rerank,0.167,0.111,0.167,0.167,1.0,1.0,0,1
102,A3_E1_rerank,0.455,0.091,0.182,0.091,0.4,1.0,0,1
103,A3_E1_rerank,0.158,0.158,0.105,0.053,0.667,0.333,1,0
104,A3_E1_rerank,0.105,0.053,0.0,0.053,0.0,1.0,0,0
105,A3_E1_rerank,0.455,0.409,0.455,0.182,1.0,0.333,0,0
106,A3_E1_rerank,0.3,0.3,0.3,0.3,1.0,1.0,1,1
108,A3_E1_rerank,0.148,0.111,0.185,0.074,1.0,0.667,0,0
109,A3_E1_rerank,0.533,0.4,0.467,0.333,0.75,0.833,1,1
110,A3_E1_rerank,0.174,0.261,0.13,0.087,0.75,0.333,0,0
111,A3_E1_rerank,0.294,0.353,0.176,0.235,0.6,0.667,1,1
112,A3_E1_rerank,0.321,0.107,0.071,0.071,0.222,0.667,1,1
113,A3_E1_rerank,0.267,0.2,0.067,0.2,0.25,1.0,1,1
114,A3_E1_rerank,0.167,0.458,0.292,0.208,1.0,0.455,1,1
115,A3_E1_rerank,0.3,0.4,0.1,0.1,0.333,0.25,0,1
116,A3_E1_rerank,0.3,0.2,0.3,0.2,1.0,1.0,1,1
117,A3_E1_rerank,0.467,0.4,0.333,0.2,0.714,0.5,0,1
118,A3_E1_rerank,0.304,0.391,0.13,0.217,0.429,0.556,0,1
120,A3_E1_rerank,0.222,0.056,0.056,0.056,0.25,1.0,0,1
121,A3_E1_rerank,0.105,0.263,0.053,0.158,0.5,0.6,1,1
122,A3_E1_rerank,0.15,0.65,0.05,0.25,0.333,0.385,1,1
123,A3_E1_rerank,0.522,0.304,0.435,0.217,0.833,0.714,0,1
124,A3_E1_rerank,0.348,0.087,0.043,0.087,0.125,1.0,1,1
125,A3_E1_rerank,1.0,0.619,0.286,0.429,0.286,0.692,1,1
126,A3_E1_rerank,0.238,0.381,0.238,0.095,1.0,0.25,0,1
127,A3_E1_rerank,0.4,0.4,0.35,0.05,0.875,0.125,0,1
