idx,our_relevance,our_utilization,our_completeness,our_adherence,ref_relevance,ref_utilization,ref_completeness,ref_adherence
1,0.0408,0.0408,1.0,0,1.0,0.0,0.0,1
7,0.0698,0.1628,0.0,0,0.8372093023255814,0.0232558139534883,0.0277777777777777,1
9,0.0118,0.0118,1.0,1,0.0117647058823529,0.0117647058823529,1.0,1
15,0.125,0.0417,0.0,0,0.0833333333333333,0.0833333333333333,1.0,1
20,0.4167,0.2083,0.0,0,0.0416666666666666,0.0416666666666666,1.0,1
22,0.1724,0.1724,1.0,0,0.0,0.0,1.0,1
24,0.129,0.1613,1.0,0,0.0,0.0967741935483871,1.0,1
26,0.0725,0.0725,1.0,0,0.072463768115942,0.0289855072463768,0.4,1
31,0.1875,0.1875,1.0,0,0.0,0.0,1.0,1
32,0.0556,0.0556,1.0,0,0.0111111111111111,0.0111111111111111,1.0,0
33,0.0748,0.0748,1.0,0,0.0,0.0,1.0,1
35,0.062,0.062,1.0,0,0.0155038759689922,0.0077519379844961,0.5,1
36,0.2222,0.2222,1.0,1,0.3333333333333333,0.2222222222222222,0.6666666666666666,1
38,0.1228,0.1228,1.0,0,0.0,0.1403508771929824,1.0,1
39,0.1023,0.1023,1.0,0,0.0454545454545454,0.0454545454545454,1.0,0
41,0.0781,0.0781,1.0,0,0.96875,0.171875,0.1774193548387097,1
43,0.2069,0.2069,1.0,0,0.9310344827586208,0.3448275862068966,0.3703703703703703,1
48,0.0545,0.0545,1.0,1,0.9727272727272728,0.0818181818181818,0.0841121495327102,1
50,0.1406,0.1406,1.0,0,0.984375,0.0,0.0,1
51,0.2195,0.122,0.0,0,0.048780487804878,0.048780487804878,1.0,1
53,0.0833,0.0833,1.0,0,0.0416666666666666,0.0416666666666666,1.0,1
54,0.1538,0.0962,0.0,0,0.0,0.0,1.0,1
55,0.1111,0.0556,0.0,0,0.2222222222222222,0.0833333333333333,0.375,1
58,0.16,0.24,1.0,0,0.24,0.2,0.8333333333333334,1
59,0.0654,0.0561,0.0,0,0.0,0.0,1.0,1
60,0.0748,0.0748,1.0,0,0.102803738317757,0.102803738317757,1.0,1
63,0.0119,0.0119,1.0,1,0.0119047619047619,0.0119047619047619,1.0,1
68,0.0326,0.1196,1.0,0,0.0,0.0652173913043478,1.0,1
69,0.0645,0.0645,1.0,0,0.0,1.0,1.0,1
71,0.062,0.0698,0.0,1,0.0697674418604651,0.0310077519379844,0.4444444444444444,1
72,0.1228,0.0351,0.0,0,0.0175438596491228,0.0175438596491228,1.0,1
75,0.0833,0.1,0.0,1,0.0,0.0,1.0,1
79,0.0412,0.0412,1.0,0,0.0764705882352941,0.0823529411764705,1.0,1
82,0.1061,0.0758,0.0,0,0.0,0.303030303030303,1.0,1
83,0.0795,0.0795,1.0,0,0.0681818181818181,0.0,0.0,1
88,0.125,0.125,0.0,1,0.125,0.125,1.0,1
89,0.0667,0.0667,1.0,0,0.0666666666666666,0.0666666666666666,1.0,1
90,0.0312,0.0469,1.0,1,0.03125,0.03125,1.0,1
91,0.1048,0.1048,1.0,0,0.8666666666666667,0.0761904761904762,0.0769230769230769,1
94,0.0606,0.0606,1.0,0,0.4242424242424242,0.1515151515151515,0.2857142857142857,1
100,0.0714,0.3571,0.0,1,0.0,0.1428571428571428,1.0,1
102,0.0263,0.0263,1.0,1,0.0526315789473684,0.0263157894736842,0.5,1
103,0.08,0.0533,0.0,0,0.0266666666666666,0.0266666666666666,1.0,1
106,0.15,0.1,0.0,0,0.0333333333333333,0.0333333333333333,1.0,0
108,0.1026,0.2051,0.0,0,0.9230769230769232,0.4102564102564102,0.4444444444444444,1
109,0.0568,0.0341,0.0,0,0.0,0.0,1.0,1
110,0.0795,0.0341,0.0,0,0.0,0.0,1.0,1
120,0.0577,0.0577,1.0,0,0.0384615384615384,0.0384615384615384,1.0,1
122,0.0714,0.0714,1.0,0,0.0714285714285714,0.0714285714285714,1.0,1
124,0.1379,0.1379,1.0,0,0.9310344827586208,0.4827586206896552,0.5185185185185185,1
125,0.0533,0.0533,1.0,1,0.04,0.04,1.0,1
127,0.1778,0.1778,1.0,0,0.0444444444444444,0.0444444444444444,1.0,1
129,0.087,0.1413,0.25,0,0.0,0.0,1.0,1
131,0.0762,0.0762,1.0,0,0.019047619047619,0.019047619047619,1.0,1
132,0.1094,0.1094,1.0,0,0.515625,0.0,0.0,1
133,0.1429,0.1429,1.0,0,0.0892857142857142,0.0357142857142857,0.4,1
134,0.0182,0.0455,1.0,1,0.0181818181818181,0.009090909090909,0.5,1
139,0.1724,0.1724,1.0,0,0.1034482758620689,0.1034482758620689,1.0,1
142,0.2195,0.0976,0.0,0,0.1463414634146341,0.1463414634146341,0.6666666666666666,1
145,0.051,0.0204,0.0,0,0.0204081632653061,0.0204081632653061,1.0,1
2,0.0505,0.0505,1.0,0,0.0,0.1414141414141414,1.0,1
13,0.055,0.6972,0.0,0,0.0,0.0,1.0,1
42,0.0761,0.0978,1.0,1,0.08695652173913043,0.07608695652173914,0.875,1
76,0.0294,0.0765,0.0,0,0.011764705882352941,0.011764705882352941,1.0,1
93,0.0353,0.0353,0.0,0,0.01764705882352941,0.01764705882352941,1.0,1
113,0.0221,0.0441,1.0,0,0.0,0.0,1.0,1
116,0.0667,0.0667,0.0,0,0.06666666666666667,0.05714285714285714,0.2857142857142857,0
147,0.0333,0.0333,1.0,0,0.05555555555555555,0.011111111111111112,0.2,0
148,0.0811,0.0405,0.0,1,0.0945945945945946,0.06756756756756757,0.7142857142857143,1
149,0.0556,0.0556,0.0,0,0.022222222222222223,0.022222222222222223,1.0,1
