idx,our_relevance,our_utilization,our_completeness,our_adherence,ref_relevance,ref_utilization,ref_completeness,ref_adherence
0,0.6667,0.6667,1.0,0,0.1111111111111111,0.1111111111111111,1.0,1
1,0.24,0.04,0.0,0,0.04,0.04,1.0,1
2,0.15,0.15,1.0,0,0.1,0.05,0.5,1
3,0.5556,0.5556,1.0,0,0.1111111111111111,0.1111111111111111,1.0,0
4,0.25,0.2,0.0,0,0.05,0.05,1.0,1
5,0.2143,0.2143,1.0,0,0.07142857142857142,0.07142857142857142,1.0,1
6,0.1667,0.1667,0.0,0,0.5,0.16666666666666666,0.3333333333333333,1
7,0.2143,0.2143,1.0,0,0.023809523809523808,0.023809523809523808,1.0,1
8,0.7692,0.7692,1.0,0,0.15384615384615385,0.07692307692307693,0.5,1
9,0.5385,0.5385,1.0,0,0.07692307692307693,0.07692307692307693,1.0,1
10,0.0345,0.069,1.0,0,0.034482758620689655,0.034482758620689655,1.0,1
11,0.16,0.16,1.0,0,0.04,0.04,1.0,1
12,0.1379,0.1379,1.0,0,0.034482758620689655,0.034482758620689655,1.0,1
13,0.2667,0.1333,0.0,0,0.06666666666666667,0.06666666666666667,1.0,1
14,0.2857,0.1143,0.0,0,0.02857142857142857,0.02857142857142857,1.0,1
15,0.1818,0.1818,1.0,1,0.09090909090909091,0.0,0.0,0
16,0.0769,0.0769,1.0,1,0.038461538461538464,0.038461538461538464,1.0,1
17,0.2,0.2,1.0,1,0.1,0.05,0.5,1
18,0.0385,0.0385,1.0,1,0.038461538461538464,0.038461538461538464,1.0,1
19,0.3333,0.3333,1.0,0,0.037037037037037035,0.037037037037037035,1.0,1
20,0.7143,0.7143,0.55,1,0.03571428571428571,0.03571428571428571,1.0,1
21,0.1429,0.1429,1.0,0,0.03571428571428571,0.03571428571428571,1.0,1
22,0.0645,0.1613,1.0,1,0.03225806451612903,0.03225806451612903,1.0,1
23,0.2632,0.2632,1.0,0,0.15789473684210525,0.05263157894736842,0.3333333333333333,1
24,0.1212,0.1212,1.0,0,0.12121212121212122,0.06060606060606061,0.5,0
25,0.0968,0.0968,1.0,1,0.03225806451612903,0.03225806451612903,1.0,1
26,0.0357,0.1429,0.0,0,0.03571428571428571,0.03571428571428571,1.0,1
27,0.1667,0.1667,1.0,0,0.08333333333333333,0.08333333333333333,1.0,1
28,0.2667,0.2667,1.0,0,0.06666666666666667,0.06666666666666667,1.0,0
29,0.0606,0.0606,1.0,0,0.06060606060606061,0.06060606060606061,1.0,1
30,0.4,0.32,0.0,0,0.04,0.04,1.0,1
31,0.1154,0.1154,1.0,1,0.038461538461538464,0.038461538461538464,1.0,1
32,0.0476,0.0476,1.0,1,0.047619047619047616,0.047619047619047616,1.0,1
33,1.0,1.0,1.0,0,0.3333333333333333,0.3333333333333333,1.0,1
35,0.0588,0.0588,1.0,1,0.058823529411764705,0.029411764705882353,0.5,1
36,0.16,0.16,1.0,1,0.04,0.04,1.0,1
37,0.12,0.12,1.0,0,0.04,0.04,1.0,1
38,0.1429,0.1429,1.0,0,0.08571428571428572,0.08571428571428572,1.0,1
39,0.35,0.1,0.0,0,0.1,0.1,1.0,1
40,0.2667,0.0667,0.0,0,0.06666666666666667,0.06666666666666667,1.0,1
41,0.0909,0.1364,0.0,0,0.045454545454545456,0.045454545454545456,1.0,1
42,0.08,0.16,1.0,0,0.04,0.04,1.0,1
43,0.0556,0.0556,1.0,0,0.05555555555555555,0.05555555555555555,1.0,1
44,0.2353,0.2353,1.0,0,0.058823529411764705,0.058823529411764705,1.0,1
45,0.1364,0.1364,1.0,0,0.09090909090909091,0.045454545454545456,0.5,1
46,0.0714,0.0714,1.0,0,0.03571428571428571,0.03571428571428571,1.0,1
47,0.2941,0.1176,0.0,1,0.058823529411764705,0.058823529411764705,1.0,1
48,0.15,0.15,1.0,0,0.15,0.05,0.3333333333333333,1
49,0.08,0.04,0.5,1,0.04,0.04,1.0,1
50,0.3125,0.0625,0.0,0,0.125,0.125,1.0,1
51,0.6786,0.0714,0.1053,1,0.03571428571428571,0.03571428571428571,1.0,1
52,0.2083,0.2083,1.0,0,0.041666666666666664,0.041666666666666664,1.0,1
53,0.3636,0.3636,1.0,0,0.09090909090909091,0.09090909090909091,1.0,0
54,0.2083,0.2083,1.0,0,0.08333333333333333,0.08333333333333333,1.0,1
55,0.6154,0.6154,1.0,0,0.07692307692307693,0.07692307692307693,1.0,1
56,0.4545,0.4545,1.0,0,0.09090909090909091,0.09090909090909091,1.0,1
57,0.2917,0.2917,1.0,0,0.041666666666666664,0.041666666666666664,1.0,1
58,0.0476,0.0476,1.0,1,0.14285714285714285,0.047619047619047616,0.3333333333333333,1
59,1.3333,1.3333,1.0,1,0.3333333333333333,0.3333333333333333,1.0,1
60,0.1667,0.1667,1.0,1,0.041666666666666664,0.041666666666666664,1.0,1
61,0.0312,0.0312,1.0,1,0.03125,0.03125,1.0,1
62,0.1667,0.1667,1.0,0,0.041666666666666664,0.041666666666666664,1.0,1
63,0.037,0.037,1.0,1,0.037037037037037035,0.037037037037037035,1.0,1
64,0.1,0.1,1.0,0,0.014285714285714285,0.014285714285714285,1.0,1
