idx,our_relevance,our_utilization,our_completeness,our_adherence,ref_relevance,ref_utilization,ref_completeness,ref_adherence
0,0.0,0.1071,0.0,0,0.17857142857142858,0.10714285714285714,0.6,0
1,0.3636,0.3636,0.0,0,0.18181818181818182,0.18181818181818182,1.0,1
2,0.125,0.125,1.0,0,0.16666666666666666,0.16666666666666666,1.0,1
3,0.1818,0.1818,1.0,0,0.2727272727272727,0.18181818181818182,0.6666666666666666,1
4,0.2308,0.2308,0.0,1,0.3076923076923077,0.23076923076923078,0.75,1
5,0.0714,0.0714,0.0,1,0.07142857142857142,0.07142857142857142,1.0,1
6,0.0556,0.0556,1.0,1,0.2222222222222222,0.05555555555555555,0.25,1
7,0.5833,0.5833,1.0,0,0.16666666666666666,0.16666666666666666,1.0,1
8,0.05,0.1,1.0,0,0.2,0.1,0.5,1
9,0.2667,0.2667,1.0,0,0.13333333333333333,0.13333333333333333,1.0,1
10,0.2778,0.2778,1.0,0,0.05555555555555555,0.05555555555555555,1.0,1
11,0.2727,0.2727,1.0,0,0.2727272727272727,0.2727272727272727,1.0,1
12,0.4,0.4,1.0,1,0.2,0.2,1.0,1
13,0.0769,0.1538,0.0,1,0.23076923076923078,0.07692307692307693,0.3333333333333333,1
14,0.25,0.25,1.0,0,0.25,0.16666666666666666,0.6666666666666666,1
15,0.5,0.1364,0.0,0,0.22727272727272727,0.045454545454545456,0.2,1
16,0.0385,0.0385,1.0,1,0.11538461538461539,0.07692307692307693,0.6666666666666666,1
17,0.125,0.125,1.0,0,0.25,0.20833333333333334,0.8333333333333334,0
18,0.1111,0.1111,0.0,1,0.16666666666666666,0.1111111111111111,0.6666666666666666,1
19,0.3846,0.3846,1.0,0,0.15384615384615385,0.15384615384615385,1.0,1
20,0.1429,0.1429,1.0,0,0.5,0.14285714285714285,0.2857142857142857,0
21,0.4167,0.4167,1.0,0,0.25,0.25,1.0,1
22,0.2,0.1333,0.6667,1,0.3333333333333333,0.06666666666666667,0.2,1
23,0.0556,0.0556,1.0,1,0.2222222222222222,0.1111111111111111,0.5,1
24,0.1111,0.1111,1.0,1,0.3333333333333333,0.2222222222222222,0.6666666666666666,1
25,0.8,0.8,1.0,0,0.6,0.4,0.6666666666666666,0
26,0.3571,0.2857,0.0,0,0.21428571428571427,0.14285714285714285,0.6666666666666666,1
27,0.25,0.3333,0.0,0,0.3333333333333333,0.3333333333333333,1.0,1
28,0.0556,0.0556,1.0,1,0.1111111111111111,0.05555555555555555,0.5,1
29,0.1053,0.1053,1.0,0,0.21052631578947367,0.05263157894736842,0.25,1
30,0.3158,0.3158,1.0,0,0.15789473684210525,0.10526315789473684,0.6666666666666666,1
31,0.1176,0.1176,1.0,0,0.23529411764705882,0.11764705882352941,0.5,1
32,0.1111,0.1111,1.0,1,0.16666666666666666,0.16666666666666666,1.0,1
33,0.1,0.1,0.0,1,0.4,0.3,0.75,1
34,0.1818,0.1818,1.0,0,0.18181818181818182,0.18181818181818182,1.0,1
35,0.15,0.15,1.0,0,0.1,0.1,1.0,1
36,0.2941,0.1176,0.0,0,0.17647058823529413,0.17647058823529413,1.0,1
37,0.1667,0.1667,0.0,1,0.1111111111111111,0.1111111111111111,1.0,1
38,0.1667,0.0833,0.0,0,0.08333333333333333,0.0,0.0,0
39,0.0952,0.0952,1.0,0,0.09523809523809523,0.09523809523809523,1.0,1
40,0.3636,0.9091,0.0,0,0.18181818181818182,0.09090909090909091,0.5,0
41,0.1,0.1,1.0,1,0.3,0.2,0.6666666666666666,1
42,0.0714,0.0714,1.0,1,0.21428571428571427,0.14285714285714285,0.6666666666666666,1
43,0.05,0.1,1.0,0,0.1,0.1,1.0,1
44,0.0952,0.0952,1.0,0,0.09523809523809523,0.09523809523809523,1.0,1
45,0.5,0.5,1.0,0,0.3,0.3,1.0,1
46,0.0769,0.0769,1.0,0,0.23076923076923078,0.15384615384615385,0.6666666666666666,1
47,0.5556,0.2222,0.0,0,0.4444444444444444,0.2222222222222222,0.5,1
48,0.0667,0.0667,1.0,0,0.13333333333333333,0.13333333333333333,1.0,1
49,0.1538,0.1538,1.0,0,0.3076923076923077,0.07692307692307693,0.25,1
50,0.1111,0.2222,0.0,0,0.3333333333333333,0.1111111111111111,0.3333333333333333,1
51,0.1176,0.1176,1.0,1,0.4117647058823529,0.23529411764705882,0.5714285714285714,1
52,0.0556,0.0556,1.0,1,0.16666666666666666,0.1111111111111111,0.6666666666666666,1
53,0.3333,0.2222,0.0,1,0.3333333333333333,0.2222222222222222,0.6666666666666666,1
54,0.25,0.25,1.0,0,0.25,0.25,1.0,0
55,0.1429,0.1429,1.0,0,0.21428571428571427,0.14285714285714285,0.6666666666666666,1
56,0.0526,0.2105,0.0,1,0.3684210526315789,0.15789473684210525,0.42857142857142855,1
57,0.3125,0.125,0.0,0,0.1875,0.1875,1.0,1
58,0.1538,0.1538,1.0,0,0.15384615384615385,0.15384615384615385,1.0,1
59,0.1429,0.1429,1.0,0,0.14285714285714285,0.07142857142857142,0.5,1
60,0.0714,0.0714,0.0,1,0.07142857142857142,0.07142857142857142,1.0,1
61,0.0833,0.1667,0.0,1,0.3333333333333333,0.3333333333333333,1.0,1
62,0.5882,1.0,0.0,0,0.17647058823529413,0.11764705882352941,0.6666666666666666,1
63,0.0667,0.0667,1.0,0,0.13333333333333333,0.06666666666666667,0.5,1
64,0.1333,0.1333,1.0,1,0.3333333333333333,0.2,0.6,1
65,0.3333,0.3333,1.0,0,0.16666666666666666,0.16666666666666666,1.0,1
66,0.0909,0.0909,1.0,0,0.45454545454545453,0.18181818181818182,0.4,1
67,0.2581,0.2581,1.0,1,0.16129032258064516,0.12903225806451613,0.8,1
68,0.5,0.5,1.0,0,0.375,0.25,0.6666666666666666,1
69,0.2778,0.2778,1.0,0,0.1111111111111111,0.1111111111111111,1.0,1
70,0.1667,0.1667,0.0,0,0.1111111111111111,0.1111111111111111,1.0,1
71,0.1667,0.1667,0.0,0,0.16666666666666666,0.16666666666666666,1.0,1
72,0.1364,0.2273,1.0,0,0.22727272727272727,0.13636363636363635,0.6,1
73,0.1176,0.1176,1.0,0,0.17647058823529413,0.17647058823529413,1.0,1
74,0.3333,0.3333,1.0,0,0.25,0.16666666666666666,0.6666666666666666,1
76,0.1818,0.2727,1.0,1,0.2727272727272727,0.18181818181818182,0.6666666666666666,1
77,0.1,0.1,0.0,1,0.3,0.2,0.6666666666666666,1
78,0.1111,0.1111,1.0,0,0.4444444444444444,0.3333333333333333,0.75,1
79,0.0769,0.1538,0.0,1,0.3076923076923077,0.23076923076923078,0.75,1
80,0.2667,0.2667,1.0,0,0.26666666666666666,0.06666666666666667,0.25,0
81,0.05,0.05,1.0,1,0.15,0.1,0.6666666666666666,1
82,0.0588,0.0588,1.0,1,0.17647058823529413,0.11764705882352941,0.6666666666666666,1
83,0.1765,0.1765,1.0,0,0.23529411764705882,0.11764705882352941,0.5,1
84,0.3333,0.3333,1.0,0,0.16666666666666666,0.16666666666666666,1.0,1
85,0.1765,0.1765,1.0,0,0.17647058823529413,0.11764705882352941,0.6666666666666666,1
86,0.25,0.25,1.0,0,0.16666666666666666,0.16666666666666666,1.0,1
87,1.3,1.3,1.0,0,0.3,0.2,0.6666666666666666,1
88,0.2353,0.2353,1.0,0,0.29411764705882354,0.11764705882352941,0.4,1
89,0.2143,0.2143,1.0,0,0.21428571428571427,0.21428571428571427,1.0,1
90,0.0714,0.0714,0.0,0,0.21428571428571427,0.21428571428571427,1.0,1
91,0.2143,0.2143,1.0,0,0.14285714285714285,0.14285714285714285,1.0,1
92,0.0556,0.1111,0.0,0,0.1111111111111111,0.1111111111111111,1.0,1
93,0.6667,0.6667,1.0,0,0.16666666666666666,0.16666666666666666,1.0,1
94,0.1875,0.125,0.0,0,0.1875,0.125,0.6666666666666666,0
95,0.2353,0.2353,1.0,0,0.23529411764705882,0.17647058823529413,0.75,1
96,0.1538,1.0,0.0,0,0.15384615384615385,0.0,0.0,0
97,0.1818,0.1818,1.0,1,0.36363636363636365,0.0,0.0,0
98,0.1333,0.1333,1.0,0,0.26666666666666666,0.13333333333333333,0.5,1
99,0.8889,1.0,0.0,0,0.3333333333333333,0.3333333333333333,1.0,1
100,0.6667,0.3333,0.0,0,0.3333333333333333,0.3333333333333333,1.0,1
101,0.0476,0.0476,0.0,1,0.19047619047619047,0.09523809523809523,0.5,1
102,0.0833,0.0833,0.0,0,0.3333333333333333,0.08333333333333333,0.25,1
103,0.069,0.069,1.0,1,0.06896551724137931,0.06896551724137931,1.0,1
104,0.4615,0.4615,1.0,0,0.46153846153846156,0.15384615384615385,0.3333333333333333,1
105,0.1176,0.1176,1.0,0,0.23529411764705882,0.17647058823529413,0.75,1
106,0.2,0.3,1.0,1,0.3,0.2,0.6666666666666666,1
107,0.4444,0.4444,1.0,0,0.3333333333333333,0.2222222222222222,0.6666666666666666,1
108,0.2857,0.1429,0.0,0,0.2857142857142857,0.14285714285714285,0.5,1
109,0.1333,0.2,1.0,0,0.3333333333333333,0.13333333333333333,0.4,1
110,0.125,0.125,0.0,0,0.25,0.25,1.0,1
111,0.1176,0.1176,1.0,0,0.17647058823529413,0.11764705882352941,0.6666666666666666,1
