idx,our_relevance,our_utilization,our_completeness,our_adherence,ref_relevance,ref_utilization,ref_completeness,ref_adherence
1,0.1224,0.1224,1.0,0,1.0,0.0,0.0,1
7,0.093,0.093,1.0,0,0.8372093023255814,0.0232558139534883,0.0277777777777777,1
9,0.0118,0.0118,1.0,1,0.0117647058823529,0.0117647058823529,1.0,1
15,0.125,0.125,1.0,0,0.0833333333333333,0.0833333333333333,1.0,1
20,0.125,0.125,1.0,0,0.0416666666666666,0.0416666666666666,1.0,1
22,0.069,0.069,1.0,0,0.0,0.0,1.0,1
24,0.0968,0.0968,1.0,0,0.0,0.0967741935483871,1.0,1
26,0.0725,0.1159,1.0,1,0.072463768115942,0.0289855072463768,0.4,1
31,0.1875,0.1875,1.0,0,0.0,0.0,1.0,1
32,0.0556,0.0556,1.0,0,0.0111111111111111,0.0111111111111111,1.0,0
33,0.0467,0.7477,0.0,0,0.0,0.0,1.0,1
35,0.0465,0.0543,0.0,1,0.0155038759689922,0.0077519379844961,0.5,1
36,0.4444,0.4444,1.0,0,0.3333333333333333,0.2222222222222222,0.6666666666666666,1
38,0.0351,0.0351,0.0,1,0.0,0.1403508771929824,1.0,1
39,0.0909,0.0227,0.0,0,0.0454545454545454,0.0454545454545454,1.0,0
41,0.0312,0.0312,1.0,0,0.96875,0.171875,0.1774193548387097,1
42,0.0761,0.0761,1.0,1,0.08695652173913043,0.07608695652173914,0.875,1
43,0.2069,0.2069,1.0,0,0.9310344827586207,0.3448275862068966,0.37037037037037035,1
48,0.8455,0.0091,0.0,1,0.9727272727272728,0.08181818181818182,0.08411214953271028,1
