idx,our_relevance,our_utilization,our_completeness,our_adherence,ref_relevance,ref_utilization,ref_completeness,ref_adherence
0,0.7778,0.7778,1.0,0,0.1111111111111111,0.1111111111111111,1.0,1
1,0.16,0.16,1.0,0,0.04,0.04,1.0,1
3,0.6667,0.6667,1.0,0,0.1111111111111111,0.1111111111111111,1.0,0
4,0.2,0.2,1.0,1,0.05,0.05,1.0,1
5,0.2143,0.2143,1.0,1,0.0714285714285714,0.0714285714285714,1.0,1
6,0.5,0.5,1.0,0,0.5,0.1666666666666666,0.3333333333333333,1
7,0.0714,0.0714,1.0,0,0.0238095238095238,0.0238095238095238,1.0,1
8,0.3077,0.3077,1.0,0,0.1538461538461538,0.0769230769230769,0.5,1
9,0.2308,0.1538,0.0,0,0.0769230769230769,0.0769230769230769,1.0,1
10,0.069,0.069,1.0,1,0.0344827586206896,0.0344827586206896,1.0,1
11,0.16,0.12,0.5,0,0.04,0.04,1.0,1
12,0.1379,0.1379,1.0,1,0.0344827586206896,0.0344827586206896,1.0,1
13,0.2,0.2,1.0,1,0.0666666666666666,0.0666666666666666,1.0,1
14,0.0286,0.1143,1.0,0,0.0285714285714285,0.0285714285714285,1.0,1
15,0.5455,0.1818,0.0,0,0.0909090909090909,0.0,0.0,0
16,0.1923,0.1923,1.0,1,0.0384615384615384,0.0384615384615384,1.0,1
17,0.2,0.2,1.0,1,0.1,0.05,0.5,1
18,1.0,0.0385,0.0385,1,0.0384615384615384,0.0384615384615384,1.0,1
19,0.1111,0.1111,1.0,0,0.037037037037037,0.037037037037037,1.0,1
20,0.25,0.1786,0.7143,0,0.0357142857142857,0.0357142857142857,1.0,1
2,0.25,1.0,0.0,0,0.1,0.05,0.5,1
21,0.1429,0.1071,0.0,0,0.03571428571428571,0.03571428571428571,1.0,1
22,0.0968,0.0968,1.0,0,0.03225806451612903,0.03225806451612903,1.0,1
23,0.1579,0.1053,0.0,1,0.15789473684210525,0.05263157894736842,0.3333333333333333,1
24,0.1515,0.1515,1.0,0,0.12121212121212122,0.06060606060606061,0.5,0
25,0.0323,0.0323,1.0,0,0.03225806451612903,0.03225806451612903,1.0,1
26,0.0357,0.1429,0.0,0,0.03571428571428571,0.03571428571428571,1.0,1
27,0.1667,0.1667,1.0,0,0.08333333333333333,0.08333333333333333,1.0,1
28,0.0667,0.0667,1.0,0,0.06666666666666667,0.06666666666666667,1.0,0
29,0.0606,0.0606,1.0,0,0.06060606060606061,0.06060606060606061,1.0,1
30,0.8,0.04,0.0,1,0.04,0.04,1.0,1
31,0.0769,0.0769,1.0,0,0.038461538461538464,0.038461538461538464,1.0,1
32,0.0476,0.0476,1.0,1,0.047619047619047616,0.047619047619047616,1.0,1
33,1.0,1.0,1.0,1,0.3333333333333333,0.3333333333333333,1.0,1
34,0.2857,0.2857,1.0,0,0.7142857142857143,0.14285714285714285,0.2,0
35,0.0588,0.0588,1.0,1,0.058823529411764705,0.029411764705882353,0.5,1
36,0.16,0.16,1.0,1,0.04,0.04,1.0,1
37,0.16,0.12,0.0,0,0.04,0.04,1.0,1
38,0.1714,0.1714,1.0,0,0.08571428571428572,0.08571428571428572,1.0,1
39,0.25,0.15,0.0,0,0.1,0.1,1.0,1
40,0.1,0.1,1.0,0,0.06666666666666667,0.06666666666666667,1.0,1
41,0.0909,0.0909,1.0,0,0.045454545454545456,0.045454545454545456,1.0,1
42,0.12,0.12,1.0,1,0.04,0.04,1.0,1
43,0.1111,0.2222,1.0,0,0.05555555555555555,0.05555555555555555,1.0,1
44,0.2941,0.0588,0.0,1,0.058823529411764705,0.058823529411764705,1.0,1
45,0.1818,0.1818,1.0,0,0.09090909090909091,0.045454545454545456,0.5,1
46,0.0714,0.0714,1.0,0,0.03571428571428571,0.03571428571428571,1.0,1
47,0.1176,0.0588,0.5,0,0.058823529411764705,0.058823529411764705,1.0,1
48,0.35,0.35,1.0,0,0.15,0.05,0.3333333333333333,1
49,0.12,0.12,1.0,0,0.04,0.04,1.0,1
