idx,our_relevance,our_utilization,our_completeness,our_adherence,ref_relevance,ref_utilization,ref_completeness,ref_adherence
0,0.1786,0.1786,1.0,1,0.1785714285714285,0.1071428571428571,0.6,0
1,0.2727,0.8182,0.0,0,0.1818181818181818,0.1818181818181818,1.0,1
2,0.125,0.2083,1.0,1,0.1666666666666666,0.1666666666666666,1.0,1
3,0.1818,0.1818,1.0,0,0.2727272727272727,0.1818181818181818,0.6666666666666666,1
4,0.1538,0.2308,0.0,0,0.3076923076923077,0.2307692307692307,0.75,1
5,0.0714,0.0714,0.0,1,0.0714285714285714,0.0714285714285714,1.0,1
6,0.1111,0.1111,1.0,1,0.2222222222222222,0.0555555555555555,0.25,1
7,0.1667,0.1667,1.0,0,0.1666666666666666,0.1666666666666666,1.0,1
8,0.05,0.05,1.0,0,0.2,0.1,0.5,1
9,0.1333,0.1333,0.0,1,0.1333333333333333,0.1333333333333333,1.0,1
10,0.3333,0.3333,1.0,0,0.0555555555555555,0.0555555555555555,1.0,1
11,0.1818,0.1818,0.0,0,0.2727272727272727,0.2727272727272727,1.0,1
12,0.2,0.2,1.0,1,0.2,0.2,1.0,1
13,0.0769,0.1538,0.0,0,0.2307692307692307,0.0769230769230769,0.3333333333333333,1
14,0.25,0.25,1.0,0,0.25,0.1666666666666666,0.6666666666666666,1
15,0.1364,0.0909,0.0,0,0.2272727272727272,0.0454545454545454,0.2,1
16,0.0769,0.0769,1.0,0,0.1153846153846153,0.0769230769230769,0.6666666666666666,1
17,0.2917,0.3333,1.0,0,0.25,0.2083333333333333,0.8333333333333334,0
18,0.1111,0.1111,0.0,1,0.1666666666666666,0.1111111111111111,0.6666666666666666,1
19,0.4615,0.4615,1.0,0,0.1538461538461538,0.1538461538461538,1.0,1
20,0.0714,0.0714,1.0,1,0.5,0.1428571428571428,0.2857142857142857,0
21,0.0833,0.0833,1.0,1,0.25,0.25,1.0,1
22,0.0667,0.8,0.0,0,0.3333333333333333,0.0666666666666666,0.2,1
23,0.0556,0.0556,0.0,0,0.2222222222222222,0.1111111111111111,0.5,1
24,0.1111,0.1111,0.0,1,0.3333333333333333,0.2222222222222222,0.6666666666666666,1
25,0.6,0.5,0.0,0,0.6,0.4,0.6666666666666666,0
26,0.0714,0.1429,0.0,0,0.2142857142857142,0.1428571428571428,0.6666666666666666,1
27,0.1667,0.1667,0.0,1,0.3333333333333333,0.3333333333333333,1.0,1
28,0.0556,0.0556,1.0,1,0.1111111111111111,0.0555555555555555,0.5,1
29,0.1053,0.1053,1.0,0,0.2105263157894736,0.0526315789473684,0.25,1
30,0.0526,0.0526,0.0,1,0.1578947368421052,0.1052631578947368,0.6666666666666666,1
31,0.1176,0.1176,1.0,0,0.2352941176470588,0.1176470588235294,0.5,1
32,0.1111,0.1111,1.0,1,0.1666666666666666,0.1666666666666666,1.0,1
33,0.1,0.1,0.0,1,0.4,0.3,0.75,1
34,0.0909,0.0909,0.0,1,0.1818181818181818,0.1818181818181818,1.0,1
35,0.15,0.1,0.0,0,0.1,0.1,1.0,1
36,0.0588,0.0588,1.0,0,0.1764705882352941,0.1764705882352941,1.0,1
37,0.1667,0.1667,1.0,0,0.1111111111111111,0.1111111111111111,1.0,1
38,0.0417,0.0417,1.0,1,0.0833333333333333,0.0,0.0,0
39,0.2381,0.2381,1.0,0,0.0952380952380952,0.0952380952380952,1.0,1
40,0.3636,0.1818,0.0,0,0.1818181818181818,0.0909090909090909,0.5,0
41,0.3,0.2,0.0,1,0.3,0.2,0.6666666666666666,1
42,0.1429,0.1429,0.0,1,0.2142857142857142,0.1428571428571428,0.6666666666666666,1
43,0.25,0.15,0.6,0,0.1,0.1,1.0,1
44,0.0952,0.0952,0.0,1,0.0952380952380952,0.0952380952380952,1.0,1
45,0.4,0.4,1.0,1,0.3,0.3,1.0,1
46,0.1538,0.1538,1.0,0,0.2307692307692307,0.1538461538461538,0.6666666666666666,1
47,0.7778,0.8889,0.8571,0,0.4444444444444444,0.2222222222222222,0.5,1
48,0.1333,0.1333,1.0,0,0.1333333333333333,0.1333333333333333,1.0,1
49,0.1538,0.1538,1.0,1,0.3076923076923077,0.0769230769230769,0.25,1
