idx,our_relevance,our_utilization,our_completeness,our_adherence,ref_relevance,ref_utilization,ref_completeness,ref_adherence
4,0.0833,0.0833,1.0,0,0.08333333333333333,0.046296296296296294,0.5555555555555556,1
8,0.0543,0.093,1.0,0,0.05426356589147287,0.05426356589147287,1.0,1
14,0.1141,0.1074,0.9412,0,0.0738255033557047,0.03355704697986577,0.45454545454545453,1
16,0.1094,0.1094,1.0,0,0.1875,0.046875,0.25,0
17,0.0783,0.0783,1.0,0,0.0,0.0,1.0,1
20,0.0807,0.0807,1.0,0,0.0,0.0,1.0,0
22,0.0392,0.0392,1.0,0,0.0196078431372549,0.006535947712418301,0.0,0
23,0.0529,0.0529,1.0,0,0.17058823529411765,0.047058823529411764,0.2413793103448276,1
26,0.0319,0.0426,0.0,0,0.06382978723404255,0.010638297872340425,0.16666666666666666,1
31,0.073,0.073,1.0,0,0.0,0.0,1.0,0
39,0.0909,0.0909,1.0,0,0.06363636363636363,0.01818181818181818,0.2857142857142857,1
40,0.0562,0.0562,1.0,0,0.11797752808988764,0.03932584269662921,0.3333333333333333,1
44,0.0409,0.0409,1.0,0,0.03636363636363636,0.02727272727272727,0.75,1
45,0.1471,0.1471,1.0,0,0.6176470588235294,0.14705882352941177,0.23809523809523808,1
49,0.0667,0.0667,1.0,0,0.05714285714285714,0.0380952380952381,0.6666666666666666,1
