idx,our_relevance,our_utilization,our_completeness,our_adherence,ref_relevance,ref_utilization,ref_completeness,ref_adherence
0,0.0352,0.0352,1.0,0,0.01171875,0.01171875,1.0,0
4,0.0833,0.0926,1.0,1,0.0833333333333333,0.0462962962962962,0.5555555555555556,1
6,0.1702,0.1702,1.0,0,0.0,0.0,1.0,0
8,0.0775,0.0775,1.0,0,0.0542635658914728,0.0542635658914728,1.0,1
14,0.0403,0.0604,1.0,0,0.0738255033557047,0.0335570469798657,0.4545454545454545,1
16,0.0781,0.0781,1.0,0,0.1875,0.046875,0.25,0
17,0.0783,0.0783,1.0,0,0.0,0.0,1.0,1
20,0.0683,0.0683,1.0,0,0.0,0.0,1.0,0
22,0.0588,0.0588,1.0,0,0.0196078431372549,0.0065359477124183,0.0,0
26,0.0213,0.0213,0.0,0,0.0638297872340425,0.0106382978723404,0.1666666666666666,1
29,0.0342,0.0342,1.0,0,0.0342205323193916,0.0342205323193916,1.0,0
31,0.073,0.073,1.0,0,0.0,0.0,1.0,0
39,0.1,0.1,1.0,0,0.0636363636363636,0.0181818181818181,0.2857142857142857,1
41,0.0267,0.0267,1.0,0,0.14,0.0,0.0,0
44,0.0591,0.0591,1.0,0,0.0363636363636363,0.0272727272727272,0.75,1
1,0.0676,1.0676,1.0,0,0.027027027027027,0.027027027027027,1.0,1
25,0.1075,0.1355,0.0,0,0.0700934579439252,0.0467289719626168,0.5333333333333333,1
45,0.0588,0.0588,1.0,0,0.6176470588235294,0.1470588235294117,0.238095238095238,1
48,0.0327,0.1347,0.0,0,0.0081632653061224,0.0122448979591836,0.5,1
49,0.0952,0.0952,1.0,0,0.0571428571428571,0.0380952380952381,0.6666666666666666,1
23,0.0647,0.0647,1.0,0,0.17058823529411765,0.047058823529411764,0.2413793103448276,1
40,0.073,0.073,1.0,0,0.11797752808988764,0.03932584269662921,0.3333333333333333,1
