idx,our_relevance,our_utilization,our_completeness,our_adherence,ref_relevance,ref_utilization,ref_completeness,ref_adherence
0,0.6667,0.2222,0.0,0,0.1111111111111111,0.1111111111111111,1.0,1
1,0.2143,0.0714,0.0,0,0.04,0.04,1.0,1
2,0.1579,0.2632,0.0,0,0.1,0.05,0.5,1
3,0.6667,0.2222,0.1667,0,0.1111111111111111,0.1111111111111111,1.0,0
4,0.2105,0.0526,0.0,1,0.05,0.05,1.0,1
5,0.3,0.1,0.0,0,0.0714285714285714,0.0714285714285714,1.0,1
6,0.1667,0.1667,0.0,0,0.5,0.1666666666666666,0.3333333333333333,1
7,0.3214,0.2143,0.0,0,0.0238095238095238,0.0238095238095238,1.0,1
8,1.0,1.0,0.2727,0,0.1538461538461538,0.0769230769230769,0.5,1
9,0.2727,0.1818,0.0,0,0.0769230769230769,0.0769230769230769,1.0,1
10,0.9286,0.0714,0.0769,0,0.0344827586206896,0.0344827586206896,1.0,1
11,0.1579,0.0526,0.0,0,0.04,0.04,1.0,1
12,0.3333,0.0667,0.0,1,0.0344827586206896,0.0344827586206896,1.0,1
13,0.2,0.2,0.0,0,0.0666666666666666,0.0666666666666666,1.0,1
14,0.15,0.45,0.0,0,0.0285714285714285,0.0285714285714285,1.0,1
15,0.4545,0.3636,0.0,0,0.0909090909090909,0.0,0.0,0
17,0.2667,0.1333,0.0,0,0.1,0.05,0.5,1
18,0.0526,0.0526,0.0,1,0.0384615384615384,0.0384615384615384,1.0,1
19,0.25,0.25,1.0,0,0.037037037037037,0.037037037037037,1.0,1
20,0.45,0.15,0.0,0,0.0357142857142857,0.0357142857142857,1.0,1
21,1.2222,0.1111,0.0909,0,0.0357142857142857,0.0357142857142857,1.0,1
22,0.8667,0.1333,0.0,0,0.032258064516129,0.032258064516129,1.0,1
23,0.3077,0.1538,0.0,0,0.1578947368421052,0.0526315789473684,0.3333333333333333,1
24,0.1818,0.0909,0.0,0,0.1212121212121212,0.0606060606060606,0.5,0
25,0.15,0.05,0.0,0,0.032258064516129,0.032258064516129,1.0,1
26,0.5789,0.0526,0.0,0,0.0357142857142857,0.0357142857142857,1.0,1
27,0.25,0.3333,0.0,1,0.0833333333333333,0.0833333333333333,1.0,1
28,1.0,0.0667,0.0667,0,0.0666666666666666,0.0666666666666666,1.0,0
29,0.2727,0.1818,0.3333,0,0.0606060606060606,0.0606060606060606,1.0,1
30,1.0,0.0526,0.0526,0,0.04,0.04,1.0,1
32,0.0588,0.0588,1.0,1,0.0476190476190476,0.0476190476190476,1.0,1
33,0.6667,0.3333,0.0,0,0.3333333333333333,0.3333333333333333,1.0,1
35,0.2727,0.1818,0.0,0,0.0588235294117647,0.0294117647058823,0.5,1
36,1.0,0.2667,0.2667,0,0.04,0.04,1.0,1
37,0.1905,0.0476,0.0,0,0.04,0.04,1.0,1
38,0.3333,0.2381,0.0,0,0.0857142857142857,0.0857142857142857,1.0,1
39,0.2,0.1,0.0,0,0.1,0.1,1.0,1
40,0.3,0.15,0.0,0,0.0666666666666666,0.0666666666666666,1.0,1
41,0.0455,0.0455,0.0,0,0.0454545454545454,0.0454545454545454,1.0,1
42,0.125,0.125,1.0,0,0.04,0.04,1.0,1
43,0.8333,0.0833,0.0,0,0.0555555555555555,0.0555555555555555,1.0,1
44,0.2353,0.1176,0.0,0,0.0588235294117647,0.0588235294117647,1.0,1
45,0.2857,0.0714,0.0,0,0.0909090909090909,0.0454545454545454,0.5,1
46,0.4444,0.2222,0.0,0,0.0357142857142857,0.0357142857142857,1.0,1
47,0.6364,0.0909,0.0,0,0.0588235294117647,0.0588235294117647,1.0,1
48,0.1579,0.1053,0.0,0,0.15,0.05,0.3333333333333333,1
49,0.1667,0.0556,0.0,0,0.04,0.04,1.0,1
50,0.4167,0.0833,0.0,0,0.125,0.125,1.0,1
51,0.0526,0.0526,0.0,1,0.0357142857142857,0.0357142857142857,1.0,1
52,0.6667,1.0,0.0,0,0.0416666666666666,0.0416666666666666,1.0,1
53,0.2727,0.2727,0.0,0,0.0909090909090909,0.0909090909090909,1.0,0
54,0.3333,0.1333,0.0,0,0.0833333333333333,0.0833333333333333,1.0,1
55,0.2727,0.1818,0.0,0,0.0769230769230769,0.0769230769230769,1.0,1
56,0.6364,0.1818,0.0,0,0.0909090909090909,0.0909090909090909,1.0,1
57,0.2,0.1333,0.0,0,0.0416666666666666,0.0416666666666666,1.0,1
31,1.0,0.0556,0.0556,0,0.038461538461538464,0.038461538461538464,1.0,1
58,0.3846,0.2308,0.0,0,0.14285714285714285,0.047619047619047616,0.3333333333333333,1
59,1.3333,0.6667,0.0,0,0.3333333333333333,0.3333333333333333,1.0,1
