idx,our_relevance,our_utilization,our_completeness,our_adherence,ref_relevance,ref_utilization,ref_completeness,ref_adherence
0,0.058,0.3382,0.0,0,0.01171875,0.01171875,1.0,0
1,0.2063,0.2063,1.0,0,0.027027027027027,0.027027027027027,1.0,1
3,0.0106,0.0106,1.0,1,0.0,0.0,1.0,1
4,0.0909,0.1414,0.0,0,0.0833333333333333,0.0462962962962962,0.5555555555555556,1
5,0.0287,0.0345,0.0,0,0.0,0.0,1.0,0
6,0.2167,1.0,0.0,0,0.0,0.0,1.0,0
8,0.1341,0.1341,1.0,0,0.0542635658914728,0.0542635658914728,1.0,1
9,0.0758,0.1061,0.0,0,0.0627177700348432,0.0627177700348432,1.0,1
10,0.0474,0.0421,0.0,0,0.0186915887850467,0.0186915887850467,1.0,1
11,0.0404,0.1414,0.0,0,0.070110701107011,0.059040590405904,0.8421052631578947,1
12,0.1099,0.1099,1.0,0,0.02803738317757,0.0,0.0,0
13,0.0759,0.0759,1.0,0,0.085,0.065,0.7647058823529411,1
14,0.1146,0.0417,0.3636,0,0.0738255033557047,0.0335570469798657,0.4545454545454545,1
15,0.1461,0.0337,0.0,0,0.0610328638497652,0.0234741784037558,0.3846153846153846,0
17,0.1149,0.1149,1.0,0,0.0,0.0,1.0,1
18,0.1531,0.1531,1.0,0,0.0,0.0,1.0,0
19,0.1739,0.163,0.0,0,0.036734693877551,0.0,0.0,0
20,0.0849,0.0849,1.0,0,0.0,0.0,1.0,0
21,0.0375,0.0375,1.0,0,0.1445086705202312,0.1387283236994219,0.96,1
22,0.1098,0.0732,0.0,0,0.0196078431372549,0.0065359477124183,0.0,0
24,0.0833,0.0833,1.0,0,0.0257069408740359,0.0,0.0,0
25,0.1468,0.1468,1.0,1,0.0700934579439252,0.0467289719626168,0.5333333333333333,1
26,0.0435,0.0435,0.0,0,0.0638297872340425,0.0106382978723404,0.1666666666666666,1
27,0.1047,0.9651,0.0,0,0.0256410256410256,0.0042735042735042,0.1666666666666666,1
28,0.0704,0.0704,1.0,0,0.1393034825870646,0.0547263681592039,0.3928571428571428,1
30,0.0417,0.1198,0.0,0,0.0461095100864553,0.0259365994236311,0.5625,0
32,0.0924,0.0924,1.0,0,0.0,0.0,1.0,0
35,0.0814,0.0581,0.0,0,0.0098684210526315,0.0032894736842105,0.3333333333333333,1
36,0.0114,0.0114,0.0,1,0.242063492063492,0.0,0.0,0
37,0.0833,0.0833,1.0,0,0.0,0.0,1.0,0
38,0.0741,0.0741,1.0,0,0.0137614678899082,0.0091743119266055,0.3333333333333333,1
39,0.1205,0.0602,0.0,0,0.0636363636363636,0.0181818181818181,0.2857142857142857,1
40,0.064,0.064,1.0,0,0.1179775280898876,0.0393258426966292,0.3333333333333333,1
41,0.1558,0.1429,0.0,0,0.14,0.0,0.0,0
42,0.0816,0.0408,0.0,0,0.0071174377224199,0.0035587188612099,0.5,0
43,0.1066,0.082,0.0,0,0.0548926014319809,0.0214797136038186,0.391304347826087,1
45,0.1765,0.2941,0.0,0,0.6176470588235294,0.1470588235294117,0.238095238095238,1
46,0.0538,0.1075,0.0,0,0.1142857142857142,0.1142857142857142,1.0,1
47,0.0144,0.4029,0.0,0,0.0491803278688524,0.0,0.0,0
48,0.0781,0.0078,0.0,0,0.0081632653061224,0.0122448979591836,0.5,1
49,0.0946,0.0676,0.0,0,0.0571428571428571,0.0380952380952381,0.6666666666666666,1
51,0.2333,0.35,0.0,0,0.1475409836065573,0.1475409836065573,1.0,1
53,0.1111,0.1852,0.0,0,0.0785340314136125,0.0052356020942408,0.0666666666666666,0
54,0.082,0.082,1.0,0,0.0,0.0,1.0,0
55,0.1197,0.1197,1.0,0,0.0,0.0,1.0,0
16,0.1321,0.1321,1.0,0,0.1875,0.046875,0.25,0
44,0.096,0.096,1.0,0,0.0363636363636363,0.0272727272727272,0.75,1
52,0.0604,0.0604,1.0,0,0.0726141078838174,0.0394190871369294,0.5428571428571428,0
56,0.1493,0.0597,0.0,0,0.0505050505050505,0.0,0.0,0
57,0.0674,0.0225,0.0,0,0.0342465753424657,0.0342465753424657,1.0,1
2,0.0365,0.6058,0.0,0,0.0026595744680851,0.0013297872340425,0.5,1
58,0.0945,0.0787,0.0,0,0.0654205607476635,0.02803738317757,0.4285714285714285,1
59,0.0345,0.1494,0.0,0,0.0271493212669683,0.0271493212669683,1.0,1
23,0.094,0.0769,0.0,0,0.17058823529411765,0.047058823529411764,0.2413793103448276,1
