idx,our_relevance,our_utilization,our_completeness,our_adherence,ref_relevance,ref_utilization,ref_completeness,ref_adherence
0,0.3043,0.2174,0.0,0,0.010810810810810811,0.005405405405405406,0.5,1
1,0.2353,0.3529,0.0,0,1.0,0.0,0.0,1
2,0.625,1.0,0.0,0,0.0,0.1414141414141414,1.0,1
3,2.5,1.0,0.0,0,1.0,0.0,0.0,1
4,0.6875,0.6875,0.0,0,0.013888888888888888,0.006944444444444444,0.5,1
5,0.1316,0.1053,0.0,0,0.014084507042253521,0.014084507042253521,1.0,1
6,0.6154,1.0,0.0,0,0.008522727272727272,0.0,0.0,1
7,0.1579,0.2105,0.0,0,0.8372093023255814,0.023255813953488372,0.027777777777777776,1
8,0.1707,0.1707,0.0,0,0.016706443914081145,0.007159904534606206,0.14285714285714285,0
9,0.5,0.2143,0.0,0,0.011764705882352941,0.011764705882352941,1.0,1
10,0.1818,0.1818,0.0,0,0.014367816091954023,0.014367816091954023,0.8,1
11,1.4286,0.5714,0.0,0,0.031746031746031744,0.015873015873015872,0.5,1
12,0.1111,0.1111,0.0,1,0.003105590062111801,0.003105590062111801,1.0,1
13,0.3333,1.0,0.0,0,0.0,0.0,1.0,1
14,0.2381,0.0952,0.0,0,0.014577259475218658,0.011661807580174927,0.8,1
15,0.8889,0.3333,0.0,0,0.08333333333333333,0.08333333333333333,1.0,1
16,0.3125,0.1875,0.0,0,0.02027027027027027,0.02702702702702703,0.6666666666666666,1
17,0.0435,0.0435,0.0,1,0.010810810810810811,0.010810810810810811,1.0,1
18,0.5,0.5,0.0,0,0.03732809430255403,0.03143418467583497,0.8421052631578947,1
19,0.4,0.5,0.0,0,0.026455026455026454,0.026455026455026454,1.0,1
20,0.4,0.2,0.0,0,0.041666666666666664,0.041666666666666664,1.0,1
21,0.5,1.0,0.0,0,0.007751937984496124,0.007751937984496124,1.0,1
22,0.069,0.931,0.0,1,0.0,0.0,1.0,1
23,0.1538,0.1538,0.0,1,0.002840909090909091,0.002840909090909091,1.0,1
24,0.1,0.1,0.0,1,0.0,0.0967741935483871,1.0,1
25,0.3889,0.3333,0.0,0,0.005599104143337066,0.0033594624860022394,0.6,1
26,0.0667,0.1333,1.0,0,0.07246376811594203,0.028985507246376812,0.4,1
27,0.0625,0.0625,0.0,1,0.004694835680751174,0.004694835680751174,1.0,1
28,0.5455,0.3636,0.0,0,0.0028735632183908046,0.0028735632183908046,1.0,1
29,1.0,0.2857,0.0,0,0.22826086956521738,0.22826086956521738,1.0,1
30,0.7143,0.4286,0.0,0,0.003676470588235294,0.003676470588235294,1.0,1
31,1.1429,1.0,0.0,0,0.0,0.0,1.0,1
32,0.2143,0.1429,0.0,0,0.011111111111111112,0.011111111111111112,1.0,0
33,0.4,1.0,0.0,0,0.0,0.0,1.0,1
34,0.25,0.0625,0.0,0,0.0037641154328732747,0.0037641154328732747,0.6666666666666666,1
35,0.2105,0.8947,0.0,0,0.015503875968992248,0.007751937984496124,0.5,1
36,0.4444,0.1111,0.0,0,0.3333333333333333,0.2222222222222222,0.6666666666666666,1
37,0.125,0.125,0.0,1,0.004098360655737705,0.00819672131147541,1.0,1
38,1.0,0.2857,0.0,0,0.0,0.14035087719298245,1.0,1
39,0.3333,0.4,0.0,0,0.045454545454545456,0.045454545454545456,1.0,0
40,0.6,0.8,0.3333,0,0.031746031746031744,0.010582010582010581,0.3333333333333333,1
41,0.7143,0.8571,0.0,0,0.96875,0.171875,0.1774193548387097,1
42,0.2,0.2,0.0,1,0.08695652173913043,0.07608695652173914,0.875,1
43,0.2222,1.0,0.0,0,0.9310344827586207,0.3448275862068966,0.37037037037037035,1
44,1.0,1.0,0.0,0,0.0038314176245210726,0.0019157088122605363,0.5,1
45,0.7143,0.4286,0.0,0,0.0,0.0,1.0,1
46,0.1111,0.1111,0.0,1,0.00684931506849315,0.00684931506849315,1.0,1
47,0.6667,0.1667,0.0,0,0.044673539518900345,0.003436426116838488,0.07692307692307693,1
48,0.3158,0.1579,0.0,0,0.9727272727272728,0.08181818181818182,0.08411214953271028,1
49,0.2667,0.8667,0.75,0,0.0,0.0,1.0,1
50,0.8571,0.8571,0.0,0,0.984375,0.0,0.0,1
51,0.2105,0.2632,0.0,0,0.04878048780487805,0.04878048780487805,1.0,1
52,0.75,0.625,0.0,0,0.004098360655737705,0.004098360655737705,1.0,1
53,0.7778,0.7778,0.0,0,0.041666666666666664,0.041666666666666664,1.0,1
54,0.4,0.25,0.0,0,0.0,0.0,1.0,1
55,0.6364,0.1818,0.1429,0,0.2222222222222222,0.08333333333333333,0.375,1
56,0.3636,0.5455,0.0,0,0.013850415512465374,0.00554016620498615,0.4,1
57,0.1429,0.1429,0.0,1,0.003278688524590164,0.003278688524590164,1.0,1
58,0.2353,0.1176,0.0,0,0.24,0.2,0.8333333333333334,1
59,0.4667,0.1333,0.0,0,0.0,0.0,1.0,1
