idx,our_relevance,our_utilization,our_completeness,our_adherence,ref_relevance,ref_utilization,ref_completeness,ref_adherence
1,0.0794,1.0,0.0,0,0.027027027027027,0.027027027027027,1.0,1
2,0.0803,0.0803,1.0,0,0.0026595744680851,0.0013297872340425,0.5,1
3,0.0106,0.0106,1.0,1,0.0,0.0,1.0,1
4,0.1313,0.1818,0.0,0,0.0833333333333333,0.0462962962962962,0.5555555555555556,1
5,0.0575,0.069,0.0,0,0.0,0.0,1.0,0
6,0.1833,0.1167,0.0,0,0.0,0.0,1.0,0
8,0.1341,0.1341,1.0,0,0.0542635658914728,0.0542635658914728,1.0,1
9,0.0758,0.0909,0.0,0,0.0627177700348432,0.0627177700348432,1.0,1
11,0.0505,0.1414,0.0,0,0.070110701107011,0.059040590405904,0.8421052631578947,1
12,0.1209,0.1209,1.0,0,0.02803738317757,0.0,0.0,0
13,0.0759,0.0759,1.0,0,0.085,0.065,0.7647058823529411,1
14,0.2083,0.0625,0.0,0,0.0738255033557047,0.0335570469798657,0.4545454545454545,1
15,0.1685,0.0787,0.0,0,0.0610328638497652,0.0234741784037558,0.3846153846153846,0
17,0.1034,0.1034,1.0,0,0.0,0.0,1.0,1
18,0.1531,0.1531,1.0,0,0.0,0.0,1.0,0
19,0.0761,0.1087,0.0,0,0.036734693877551,0.0,0.0,0
20,0.066,0.066,1.0,0,0.0,0.0,1.0,0
21,0.0625,0.1375,0.0,0,0.1445086705202312,0.1387283236994219,0.96,1
22,0.0854,0.0854,0.0,0,0.0196078431372549,0.0065359477124183,0.0,0
23,0.1368,0.1368,1.0,0,0.1705882352941176,0.0470588235294117,0.2413793103448276,1
24,0.1204,0.0741,0.0,0,0.0257069408740359,0.0,0.0,0
25,0.1468,0.1468,1.0,0,0.0700934579439252,0.0467289719626168,0.5333333333333333,1
26,0.0725,0.0435,0.0,0,0.0638297872340425,0.0106382978723404,0.1666666666666666,1
27,0.1047,0.9651,0.0,0,0.0256410256410256,0.0042735042735042,0.1666666666666666,1
29,0.0387,0.0387,1.0,0,0.0342205323193916,0.0342205323193916,1.0,0
30,0.0417,0.0417,1.0,0,0.0461095100864553,0.0259365994236311,0.5625,0
32,0.1008,0.1008,1.0,0,0.0,0.0,1.0,0
34,0.078,0.1135,0.0,0,0.0283018867924528,0.0251572327044025,0.8888888888888888,0
35,0.0465,0.9186,0.0,0,0.0098684210526315,0.0032894736842105,0.3333333333333333,1
36,0.0114,0.0227,1.0,0,0.242063492063492,0.0,0.0,0
37,0.1111,1.0833,1.0,0,0.0,0.0,1.0,0
38,0.0833,0.0741,0.0,0,0.0137614678899082,0.0091743119266055,0.3333333333333333,1
39,0.1205,0.0602,0.0,0,0.0636363636363636,0.0181818181818181,0.2857142857142857,1
40,0.064,0.064,1.0,0,0.1179775280898876,0.0393258426966292,0.3333333333333333,1
41,0.0779,0.1558,0.0,0,0.14,0.0,0.0,0
42,0.0918,0.0612,0.0,0,0.0071174377224199,0.0035587188612099,0.5,0
43,0.0984,0.1066,0.0,0,0.0548926014319809,0.0214797136038186,0.391304347826087,1
45,0.2647,0.4412,0.0,0,0.6176470588235294,0.1470588235294117,0.238095238095238,1
46,0.0215,0.086,0.0,0,0.1142857142857142,0.1142857142857142,1.0,1
47,0.0144,0.4029,0.0,0,0.0491803278688524,0.0,0.0,0
48,0.0781,0.0078,0.0,0,0.0081632653061224,0.0122448979591836,0.5,1
49,0.0676,0.1081,1.0,0,0.0571428571428571,0.0380952380952381,0.6666666666666666,1
51,0.15,0.2,1.0,0,0.1475409836065573,0.1475409836065573,1.0,1
53,0.1235,0.1605,0.0,0,0.0785340314136125,0.0052356020942408,0.0666666666666666,0
54,0.0984,0.0984,1.0,0,0.0,0.0,1.0,0
0,0.0483,0.2705,0.0,0,0.01171875,0.01171875,1.0,0
16,0.1321,0.1321,1.0,0,0.1875,0.046875,0.25,0
55,0.1026,0.1026,1.0,0,0.0,0.0,1.0,0
56,0.0746,0.0746,1.0,0,0.0505050505050505,0.0,0.0,0
57,0.1348,0.1348,1.0,0,0.0342465753424657,0.0342465753424657,1.0,1
52,0.0769,0.0769,1.0,0,0.07261410788381743,0.03941908713692946,0.5428571428571428,0
58,0.0787,0.1496,0.0,0,0.06542056074766354,0.028037383177570093,0.42857142857142855,1
59,0.0345,0.1494,0.0,0,0.027149321266968326,0.027149321266968326,1.0,1
