idx,our_relevance,our_utilization,our_completeness,our_adherence,ref_relevance,ref_utilization,ref_completeness,ref_adherence
1,0.2143,0.0714,0.0,0,0.04,0.04,1.0,1
2,0.2632,0.3158,0.0,0,0.1,0.05,0.5,1
3,0.6667,0.2222,0.0,0,0.1111111111111111,0.1111111111111111,1.0,0
6,0.1667,0.1667,0.0,1,0.5,0.16666666666666666,0.3333333333333333,1
7,1.1786,0.1786,0.1515,0,0.023809523809523808,0.023809523809523808,1.0,1
11,0.1579,0.0526,0.0,0,0.04,0.04,1.0,1
13,0.2,0.2,0.0,0,0.06666666666666667,0.06666666666666667,1.0,1
15,0.4545,0.2727,0.0,0,0.09090909090909091,0.0,0.0,0
17,0.2667,0.1333,0.0,0,0.1,0.05,0.5,1
18,0.0526,0.0526,0.0,1,0.038461538461538464,0.038461538461538464,1.0,1
19,0.1667,0.0833,0.0,1,0.037037037037037035,0.037037037037037035,1.0,1
20,0.35,0.2,0.0,0,0.03571428571428571,0.03571428571428571,1.0,1
21,1.2222,0.1111,0.0909,0,0.03571428571428571,0.03571428571428571,1.0,1
23,0.2308,0.2308,0.0,0,0.15789473684210525,0.05263157894736842,0.3333333333333333,1
25,0.3,0.05,0.0,0,0.03225806451612903,0.03225806451612903,1.0,1
30,0.1579,0.0526,0.0,0,0.04,0.04,1.0,1
31,1.0,0.0556,0.0556,0,0.038461538461538464,0.038461538461538464,1.0,1
33,0.6667,0.3333,0.0,0,0.3333333333333333,0.3333333333333333,1.0,1
35,0.3182,0.1818,0.0,0,0.058823529411764705,0.029411764705882353,0.5,1
40,0.25,0.15,0.0,0,0.06666666666666667,0.06666666666666667,1.0,1
43,0.8333,0.3333,0.0,0,0.05555555555555555,0.05555555555555555,1.0,1
44,0.3529,0.1176,0.0,0,0.058823529411764705,0.058823529411764705,1.0,1
46,0.6667,0.1111,0.0,0,0.03571428571428571,0.03571428571428571,1.0,1
48,0.3684,0.1579,0.0,0,0.15,0.05,0.3333333333333333,1
50,0.4167,0.3333,0.8,0,0.125,0.125,1.0,1
51,0.0526,0.0526,0.0,1,0.03571428571428571,0.03571428571428571,1.0,1
53,0.2727,0.2727,0.0,0,0.09090909090909091,0.09090909090909091,1.0,0
54,0.3333,0.1333,0.0,0,0.08333333333333333,0.08333333333333333,1.0,1
56,0.6364,0.1818,0.0,0,0.09090909090909091,0.09090909090909091,1.0,1
58,0.3077,0.1538,0.0,0,0.14285714285714285,0.047619047619047616,0.3333333333333333,1
59,1.3333,0.6667,0.0,0,0.3333333333333333,0.3333333333333333,1.0,1
