idx,our_relevance,our_completeness,our_adherence,ref_relevance,ref_completeness,ref_adherence
0,0.3889,0.0,0,0.01171875,1.0,0
1,0.0,0.0,0,0.02702702702702703,1.0,1
2,0.3171,0.0,0,0.0026595744680851063,0.5,1
3,0.087,0.0,0,0.0,1.0,1
4,0.0,0.0,0,0.08333333333333333,0.5555555555555556,1
5,0.0,0.0,0,0.0,1.0,0
6,0.4231,1.0,0,0.0,1.0,0
7,0.3721,0.0,0,0.014634146341463415,1.0,0
8,0.0,0.0,0,0.05426356589147287,1.0,1
9,0.2941,0.0,0,0.0627177700348432,1.0,1
10,0.1905,0.0,0,0.018691588785046728,1.0,1
11,0.0,0.0,0,0.07011070110701106,0.8421052631578947,1
12,0.5455,0.0,0,0.028037383177570093,0.0,0
13,0.4167,0.0,0,0.085,0.7647058823529411,1
14,0.0,0.0,0,0.0738255033557047,0.45454545454545453,1
15,0.875,0.0,0,0.06103286384976526,0.38461538461538464,0
16,0.6316,0.0,0,0.1875,0.25,0
17,0.375,0.0,0,0.0,1.0,1
18,0.24,0.0,0,0.0,1.0,0
19,0.4643,0.0,0,0.036734693877551024,0.0,0
20,0.1176,0.0,0,0.0,1.0,0
21,0.2667,0.0,0,0.14450867052023122,0.96,1
22,0.9333,0.0,0,0.0196078431372549,0.0,0
23,0.2653,0.0,0,0.17058823529411765,0.2413793103448276,1
24,0.44,0.0,0,0.02570694087403599,0.0,0
25,0.25,0.0,0,0.07009345794392523,0.5333333333333333,1
26,0.3684,0.0,1,0.06382978723404255,0.16666666666666666,1
27,0.2273,0.0,0,0.02564102564102564,0.16666666666666666,1
28,0.0,0.0,0,0.13930348258706468,0.39285714285714285,1
29,0.4231,1.0,0,0.034220532319391636,1.0,0
30,0.1818,0.0,0,0.04610951008645533,0.5625,0
31,0.375,0.0,0,0.0,1.0,0
32,0.3043,1.0,0,0.0,1.0,0
33,0.4583,0.0,0,0.0,1.0,1
34,0.4783,0.0,0,0.02830188679245283,0.8888888888888888,0
35,0.1304,0.0,1,0.009868421052631578,0.3333333333333333,1
36,0.5556,0.0,0,0.24206349206349206,0.0,0
37,0.8667,0.0,0,0.0,1.0,0
38,0.3158,0.0,0,0.013761467889908258,0.3333333333333333,1
39,0.4375,0.0,0,0.06363636363636363,0.2857142857142857,1
40,0.3913,0.0,0,0.11797752808988764,0.3333333333333333,1
41,0.25,0.0,0,0.14,0.0,0
42,0.4118,0.0,0,0.0071174377224199285,0.5,0
43,0.3913,0.0,0,0.05489260143198091,0.391304347826087,1
44,0.0,0.0,0,0.03636363636363636,0.75,1
45,0.5333,0.375,0,0.6176470588235294,0.23809523809523808,1
46,0.5,0.0,0,0.11428571428571428,1.0,1
47,0.0,0.0,0,0.04918032786885246,0.0,0
48,0.1,0.0,0,0.00816326530612245,0.5,1
49,0.2857,0.0,0,0.05714285714285714,0.6666666666666666,1
