idx,our_relevance,our_completeness,our_adherence,ref_relevance,ref_completeness,ref_adherence
0,0.5217,0.0,1,0.010810810810810811,0.5,1
1,0.5294,1.0,0,1.0,0.0,1
2,0.0,0.0,0,0.0,1.0,1
3,6.5,0.0,0,1.0,0.0,1
4,0.0,0.0,0,0.013888888888888888,0.5,1
5,0.3684,0.0,0,0.014084507042253521,1.0,1
6,0.0,0.0,0,0.008522727272727272,0.0,1
7,0.0,0.0,0,0.8372093023255814,0.027777777777777776,1
8,0.0,0.0,0,0.016706443914081145,0.14285714285714285,0
9,0.7857,1.0,0,0.011764705882352941,1.0,1
10,0.9091,1.0,0,0.014367816091954023,0.8,1
11,1.2857,0.0,0,0.031746031746031744,0.5,1
13,1.3333,0.0,0,0.0,1.0,1
14,0.5238,1.0,1,0.014577259475218658,0.8,1
15,1.5556,1.0,0,0.08333333333333333,1.0,1
16,0.625,0.0,0,0.02027027027027027,0.6666666666666666,1
17,0.4348,0.0,0,0.010810810810810811,1.0,1
18,1.4,1.0,0,0.03732809430255403,0.8421052631578947,1
19,1.2,0.0,1,0.026455026455026454,1.0,1
20,2.2,0.0,0,0.041666666666666664,1.0,1
21,1.6667,0.0,0,0.007751937984496124,1.0,1
22,0.3448,0.0,0,0.0,1.0,1
23,0.7692,0.0,0,0.002840909090909091,1.0,1
24,0.5,1.0,0,0.0,1.0,1
25,0.7222,0.0,0,0.005599104143337066,0.6,1
26,0.0,0.0,0,0.07246376811594203,0.4,1
27,0.3125,0.0,0,0.004694835680751174,1.0,1
28,0.7273,0.0,0,0.0028735632183908046,1.0,1
29,0.0,0.0,0,0.22826086956521738,1.0,1
30,1.4286,0.0,0,0.003676470588235294,1.0,1
31,1.5714,0.0,1,0.0,1.0,1
32,0.7857,0.0,0,0.011111111111111112,1.0,0
33,0.7333,1.0,1,0.0,1.0,1
34,0.75,0.0,1,0.0037641154328732747,0.6666666666666666,1
35,0.4737,0.0,0,0.015503875968992248,0.5,1
36,1.4444,0.0,0,0.3333333333333333,0.6666666666666666,1
38,0.0,0.0,0,0.0,1.0,1
39,0.8667,0.0,0,0.045454545454545456,1.0,0
40,1.4,1.0,0,0.031746031746031744,0.3333333333333333,1
41,1.1429,1.0,0,0.96875,0.1774193548387097,1
42,1.1,0.0,1,0.08695652173913043,0.875,1
43,1.1111,0.0,0,0.9310344827586207,0.37037037037037035,1
44,2.25,0.0,0,0.0038314176245210726,0.5,1
45,1.1429,0.0,0,0.0,1.0,1
46,1.2222,0.0,1,0.00684931506849315,1.0,1
48,0.5789,1.0,1,0.9727272727272728,0.08411214953271028,1
49,0.5333,1.0,0,0.0,1.0,1
