idx,our_relevance,our_completeness,our_adherence,ref_relevance,ref_completeness,ref_adherence
0,0.8889,0.0,0,0.1111111111111111,1.0,1
1,0.0,0.0,0,0.04,1.0,1
2,0.6667,0.0,0,0.1,0.5,1
3,0.7778,0.0,0,0.1111111111111111,1.0,0
4,0.5455,1.0,0,0.05,1.0,1
5,0.8571,0.0,0,0.07142857142857142,1.0,1
6,1.5,0.0,0,0.5,0.3333333333333333,1
7,0.4667,1.0,1,0.023809523809523808,1.0,1
8,1.0,0.0,0,0.15384615384615385,0.5,1
9,0.5556,0.0,0,0.07692307692307693,1.0,1
10,0.6364,0.0,0,0.034482758620689655,1.0,1
11,0.5,1.0,0,0.04,1.0,1
12,0.0,0.0,0,0.034482758620689655,1.0,1
13,0.9,0.0,0,0.06666666666666667,1.0,1
14,0.7,0.0,0,0.02857142857142857,1.0,1
15,1.5714,0.0,0,0.09090909090909091,0.0,0
16,0.3684,0.0,0,0.038461538461538464,1.0,1
17,0.3333,0.0,0,0.1,0.5,1
18,1.0,0.0,0,0.038461538461538464,1.0,1
19,0.8182,0.0,0,0.037037037037037035,1.0,1
20,0.8333,1.0,0,0.03571428571428571,1.0,1
21,1.125,1.0,0,0.03571428571428571,1.0,1
22,0.6,0.0,0,0.03225806451612903,1.0,1
23,0.6667,0.0,0,0.15789473684210525,0.3333333333333333,1
24,1.0,0.0,0,0.12121212121212122,0.5,0
25,0.9286,1.0,0,0.03225806451612903,1.0,1
26,0.7273,0.0,0,0.03571428571428571,1.0,1
27,1.0,1.0,0,0.08333333333333333,1.0,1
28,0.0,0.0,0,0.06666666666666667,1.0,0
29,0.0,0.0,0,0.06060606060606061,1.0,1
30,0.4,0.0,0,0.04,1.0,1
31,1.0,0.0769,0,0.038461538461538464,1.0,1
32,1.2,0.0,0,0.047619047619047616,1.0,1
33,3.3333,0.0,1,0.3333333333333333,1.0,1
34,1.1429,0.0,0,0.7142857142857143,0.2,0
35,0.0,0.0,0,0.058823529411764705,0.5,1
36,1.0,0.0909,0,0.04,1.0,1
37,0.0,0.0,0,0.04,1.0,1
38,1.0,0.0,0,0.08571428571428572,1.0,1
39,0.3571,1.0,0,0.1,1.0,1
40,0.0,0.0,0,0.06666666666666667,1.0,1
41,0.75,0.0,0,0.045454545454545456,1.0,1
42,0.0,0.0,0,0.04,1.0,1
43,0.9,0.0,0,0.05555555555555555,1.0,1
44,0.6,0.0,0,0.058823529411764705,1.0,1
45,0.9167,0.0,0,0.09090909090909091,0.5,1
46,0.125,1.0,0,0.03571428571428571,1.0,1
47,0.0,0.0,0,0.058823529411764705,1.0,1
48,0.5,0.0,0,0.15,0.3333333333333333,1
49,0.4,1.0,0,0.04,1.0,1
