idx,our_relevance,our_adherence,ref_relevance,ref_adherence
0,0.4286,0,0.4117647058823529,0
1,0.087,0,0.2692307692307692,1
2,0.0625,1,0.125,1
3,0.1333,0,0.3,1
4,0.0667,1,0.06666666666666667,1
5,0.0714,1,0.29411764705882354,1
6,0.1333,0,0.05555555555555555,1
7,0.0526,1,0.36363636363636365,1
8,0.25,1,0.15789473684210525,1
9,0.2941,0,1.0,1
10,0.2,0,0.35,1
11,0.0909,1,0.3888888888888889,1
12,0.3333,0,0.13333333333333333,1
13,0.0769,1,0.10526315789473684,1
14,0.5385,0,0.2631578947368421,1
15,1.0,0,0.2,1
16,0.3333,0,0.17647058823529413,0
17,0.0714,1,0.058823529411764705,1
18,1.1667,0,0.3333333333333333,0
19,0.5,0,0.1,1
20,0.9412,0,0.41379310344827586,1
21,0.0667,1,0.13043478260869565,1
22,0.5455,0,0.18181818181818182,1
23,0.375,0,0.42105263157894735,1
24,0.25,0,0.23529411764705882,0
25,0.5385,0,0.23076923076923078,1
26,1.0,0,0.4444444444444444,1
27,0.2381,0,0.19047619047619047,1
28,1.4286,0,0.2222222222222222,1
29,1.0714,0,0.38095238095238093,0
30,0.5263,0,0.2727272727272727,0
31,0.0714,1,0.2857142857142857,1
32,0.2308,0,0.2857142857142857,1
33,0.6,0,0.4,1
34,0.625,0,0.625,1
35,0.3571,0,0.35714285714285715,0
36,0.1667,0,0.4,1
37,0.1875,0,0.2857142857142857,1
38,0.0667,1,0.2,1
39,0.125,0,0.15,1
40,0.4615,0,0.6666666666666666,1
41,0.1176,0,0.045454545454545456,1
42,0.1429,0,0.42857142857142855,1
43,0.6923,0,0.5263157894736842,1
44,1.125,0,0.5,1
45,1.0,0,0.2,0
46,0.1667,0,0.21052631578947367,0
47,0.0909,0,0.2727272727272727,1
48,0.8,0,0.09090909090909091,1
49,0.0714,1,0.3125,1
