idx,our_relevance,our_adherence,ref_relevance,ref_adherence
0,0.3043,1,0.010810810810810811,1
1,0.2941,0,1.0,1
2,0.625,0,0.0,1
3,2.5,0,1.0,1
4,0.375,0,0.013888888888888888,1
5,0.1053,1,0.014084507042253521,1
6,0.3846,0,0.008522727272727272,1
7,0.1579,0,0.8372093023255814,1
8,0.1951,0,0.016706443914081145,0
10,0.1818,0,0.014367816091954023,1
11,0.8571,0,0.031746031746031744,1
12,0.1111,1,0.003105590062111801,1
13,0.3333,0,0.0,1
14,0.1905,0,0.014577259475218658,1
15,1.0,0,0.08333333333333333,1
16,0.3125,0,0.02027027027027027,1
17,0.1739,0,0.010810810810810811,1
18,0.4,0,0.03732809430255403,1
19,0.4,0,0.026455026455026454,1
20,0.4,0,0.041666666666666664,1
21,0.6667,0,0.007751937984496124,1
22,0.069,0,0.0,1
23,0.0769,1,0.002840909090909091,1
24,0.15,0,0.0,1
25,0.3889,0,0.005599104143337066,1
26,0.1333,0,0.07246376811594203,1
27,0.0625,1,0.004694835680751174,1
28,0.2727,1,0.0028735632183908046,1
29,0.8571,0,0.22826086956521738,1
30,1.0,0,0.003676470588235294,1
31,0.8571,0,0.0,1
32,0.2143,0,0.011111111111111112,0
33,0.2,0,0.0,1
34,0.25,0,0.0037641154328732747,1
35,0.1579,0,0.015503875968992248,1
36,0.4444,0,0.3333333333333333,1
37,0.125,1,0.004098360655737705,1
38,1.8571,0,0.0,1
39,0.5333,0,0.045454545454545456,0
41,0.2857,0,0.96875,1
42,0.2,1,0.08695652173913043,1
43,0.5556,0,0.9310344827586207,1
44,1.0,0,0.0038314176245210726,1
45,1.0,0,0.0,1
46,0.1111,1,0.00684931506849315,1
47,0.6667,0,0.044673539518900345,1
48,0.2632,0,0.9727272727272728,1
49,0.2667,0,0.0,1
