idx,our_relevance,our_adherence,ref_relevance,ref_adherence
0,0.6667,0,0.1111111111111111,1
1,1.0,1,0.04,1
2,0.6667,0,0.1,1
3,0.6667,0,0.1111111111111111,0
4,0.4545,0,0.05,1
5,1.7143,0,0.07142857142857142,1
6,0.1667,0,0.5,1
7,0.2,0,0.023809523809523808,1
8,0.5556,0,0.15384615384615385,1
9,0.4444,0,0.07692307692307693,1
10,0.1818,0,0.034482758620689655,1
11,0.6429,0,0.04,1
12,0.3333,0,0.034482758620689655,1
13,0.4,1,0.06666666666666667,1
14,0.6,0,0.02857142857142857,1
15,0.5714,0,0.09090909090909091,0
16,0.4211,0,0.038461538461538464,1
17,0.3333,0,0.1,1
18,0.75,0,0.038461538461538464,1
19,0.2727,0,0.037037037037037035,1
20,0.5,0,0.03571428571428571,1
21,0.5,0,0.03571428571428571,1
22,0.7,0,0.03225806451612903,1
23,0.4444,1,0.15789473684210525,1
24,1.0,0,0.12121212121212122,0
25,0.1429,1,0.03225806451612903,1
26,0.3636,0,0.03571428571428571,1
27,0.7,0,0.08333333333333333,1
28,0.2857,0,0.06666666666666667,0
29,0.625,0,0.06060606060606061,1
30,0.4,0,0.04,1
31,1.0,0,0.038461538461538464,1
32,0.3,0,0.047619047619047616,1
33,2.0,0,0.3333333333333333,1
35,0.2,0,0.058823529411764705,1
36,1.0,0,0.04,1
37,0.1333,0,0.04,1
38,0.6,0,0.08571428571428572,1
39,0.3571,0,0.1,1
40,0.5,0,0.06666666666666667,1
41,0.25,0,0.045454545454545456,1
42,0.3571,0,0.04,1
43,0.8,0,0.05555555555555555,1
44,0.6,0,0.058823529411764705,1
45,0.75,0,0.09090909090909091,1
46,1.0,0,0.03571428571428571,1
47,0.3,0,0.058823529411764705,1
48,0.3333,0,0.15,1
49,0.3,1,0.04,1
