idx,our_relevance,our_adherence,ref_relevance,ref_adherence
0,0.2778,0,0.17857142857142858,0
1,0.2727,0,0.18181818181818182,1
2,0.1667,1,0.16666666666666666,1
3,0.1818,0,0.2727272727272727,1
4,0.2308,1,0.3076923076923077,1
5,0.2857,0,0.07142857142857142,1
6,0.125,1,0.2222222222222222,1
7,0.5833,0,0.16666666666666666,1
8,0.1053,0,0.2,1
9,0.1333,1,0.13333333333333333,1
10,0.1429,0,0.05555555555555555,1
11,0.2727,1,0.2727272727272727,1
12,0.1,1,0.2,1
13,0.0769,1,0.23076923076923078,1
14,0.0833,1,0.25,1
15,0.7857,0,0.22727272727272727,1
16,0.1579,1,0.11538461538461539,1
17,0.5625,0,0.25,0
18,0.0556,1,0.16666666666666666,1
19,0.3846,0,0.15384615384615385,1
20,0.0714,1,0.5,0
21,0.0833,1,0.25,1
22,0.0667,1,0.3333333333333333,1
23,0.0714,1,0.2222222222222222,1
24,0.1111,1,0.3333333333333333,1
25,0.6,0,0.6,0
26,0.0714,0,0.21428571428571427,1
27,0.3,1,0.3333333333333333,1
28,0.0625,1,0.1111111111111111,1
29,0.1538,0,0.21052631578947367,1
30,0.1429,1,0.15789473684210525,1
31,0.0714,1,0.23529411764705882,1
32,0.1333,1,0.16666666666666666,1
33,0.1,1,0.4,1
34,0.0909,1,0.18181818181818182,1
35,0.1875,0,0.1,1
36,0.5385,1,0.17647058823529413,1
37,0.2143,1,0.1111111111111111,1
38,0.3333,0,0.08333333333333333,0
39,0.15,1,0.09523809523809523,1
40,0.3636,0,0.18181818181818182,0
41,0.3,0,0.3,1
42,0.0714,1,0.21428571428571427,1
43,0.2857,1,0.1,1
44,0.125,1,0.09523809523809523,1
45,0.4,0,0.3,1
46,0.1538,0,0.23076923076923078,1
47,0.7778,0,0.4444444444444444,1
48,0.1667,1,0.13333333333333333,1
49,0.2308,0,0.3076923076923077,1
