exp,chunking,embedding,retrieval,rerank,ordering,generator,judge,relevance_rmse,utilization_rmse,completeness_rmse,adherence_aucroc,adherence_accuracy
CS-EXP-001,fixed,minilm,dense,False,normal,scout,70b,0.4400992250067951,0.09183925578959656,0.6225503793103611,0.638888888888889,0.6
CS-EXP-002,sliding,minilm,dense,False,normal,scout,70b,0.46961707040610456,0.18130353916467382,0.589174625248023,0.75,0.68
CS-EXP-003,semantic,minilm,dense,False,normal,scout,70b,0.38462241145067155,0.15512837239005017,0.5468072626855869,0.6631944444444444,0.6
CS-EXP-004,sliding,bge-large,dense,False,normal,scout,70b,0.48149619040999225,0.1467998241478109,0.5854844390285161,0.6944444444444444,0.64
CS-EXP-005,sliding,e5-large,dense,False,normal,scout,70b,0.49802893523627517,0.08692117844308463,0.6194228633140025,0.7256944444444444,0.68
CS-EXP-006,sliding,minilm,bm25,False,normal,scout,70b,0.375244428590819,0.15323684542627028,0.5870530130722501,0.6631944444444444,0.6
CS-EXP-007,sliding,minilm,hybrid,False,normal,scout,70b,0.44712077116389104,0.13912133253838666,0.5872661771642445,0.6944444444444444,0.64
CS-EXP-008,sliding,minilm,dense,True,normal,scout,70b,0.46845218763312496,0.08208864364339886,0.6184656047277732,0.7256944444444444,0.68
CS-EXP-008b,sliding,minilm,hybrid,True,normal,scout,70b,0.3901650195560541,0.08919093831477148,0.6045689476364804,0.6631944444444444,0.6
CS-EXP-009,sliding,minilm,dense,False,reverse,scout,70b,0.5098426804685401,0.12788939325294127,0.6463205868721784,0.71875,0.64
CS-EXP-010,sliding,minilm,dense,False,normal,8b,70b,0.4892811708500442,0.12329389182290537,0.6126293901315155,0.6944444444444444,0.64
CS-EXP-011,sliding,minilm,dense,False,normal,70b,70b,0.49405919160705886,0.14561547606308758,0.6215689010640043,0.75,0.68
CS-EXP-012,sliding,minilm,dense,False,normal,gpt-oss,70b,0.48065308627334213,0.3255460406343359,0.65411550359084,0.875,0.84
CS-EXP-013,sliding,minilm,dense,False,normal,gpt-oss,8b,0.5054926273993224,0.29817355899780296,0.6738636157626476,0.638888888888889,0.6
CS-EXP-014,sliding,minilm,dense,False,normal,gpt-oss,70b,0.6438299885646082,0.606627258242705,0.6306570971556685,0.6,0.6
CS-EXP-015,sliding,minilm,dense,False,normal,gpt-oss,70b,0.4246500649099834,0.2705338693729842,0.494518895813389,0.6944444444444444,0.64
CS-VAL-001,fixed,minilm,dense,False,normal,gpt-oss,70b,0.41300647788639533,0.19665139650596908,0.6068166125596067,0.7569444444444444,0.72
