idx,our_relevance,our_utilization,our_completeness,our_adherence,ref_relevance,ref_utilization,ref_completeness,ref_adherence
0,0.0391,0.0391,1.0,0,0.01171875,0.01171875,1.0,0
1,0.1622,0.1622,1.0,0,0.027027027027027,0.027027027027027,1.0,1
4,0.1019,0.1111,0.0,0,0.0833333333333333,0.0462962962962962,0.5555555555555556,1
8,0.1085,0.1085,1.0,0,0.0542635658914728,0.0542635658914728,1.0,1
16,0.1562,0.1562,1.0,0,0.1875,0.046875,0.25,0
17,0.0087,0.0783,1.0,0,0.0,0.0,1.0,1
20,0.0435,0.0807,0.0,0,0.0,0.0,1.0,0
22,0.0719,0.0719,1.0,0,0.0196078431372549,0.0065359477124183,0.0,0
26,0.0319,0.0213,0.0,0,0.0638297872340425,0.0106382978723404,0.1666666666666666,1
31,0.0506,0.0506,1.0,0,0.0,0.0,1.0,0
39,0.0455,0.0455,1.0,0,0.0636363636363636,0.0181818181818181,0.2857142857142857,1
44,0.0364,0.0364,1.0,0,0.0363636363636363,0.0272727272727272,0.75,1
45,0.2941,0.2941,1.0,0,0.6176470588235294,0.1470588235294117,0.238095238095238,1
49,0.0571,0.0286,0.0,1,0.0571428571428571,0.0380952380952381,0.6666666666666666,1
50,0.0441,0.0441,1.0,0,0.1066176470588235,0.0294117647058823,0.2758620689655172,1
51,0.1639,0.1639,1.0,0,0.1475409836065573,0.1475409836065573,1.0,1
57,0.0616,0.0137,0.0,0,0.0342465753424657,0.0342465753424657,1.0,1
58,0.0421,0.0421,1.0,0,0.0654205607476635,0.02803738317757,0.4285714285714285,1
62,0.0102,0.0102,1.0,0,0.0255102040816326,0.0153061224489795,0.6,1
68,0.0172,0.0172,1.0,1,0.0172413793103448,0.0043103448275862,0.25,1
69,0.0526,0.0614,1.0,0,0.0175438596491228,0.0175438596491228,1.0,1
76,0.048,0.048,1.0,0,0.016,0.016,1.0,1
77,0.1944,0.1944,1.0,0,0.0277777777777777,0.0833333333333333,0.5,1
79,0.0207,0.0207,1.0,0,0.0137931034482758,0.0,0.0,0
80,0.1351,0.1351,1.0,0,0.1081081081081081,0.081081081081081,0.75,1
84,0.0756,0.0756,1.0,0,0.1511627906976744,0.0581395348837209,0.3846153846153846,1
85,0.1032,0.1032,1.0,0,0.0,0.0,1.0,0
86,0.303,0.303,1.0,0,0.4242424242424242,0.2727272727272727,0.6428571428571429,1
88,0.0802,0.0802,1.0,0,0.3315508021390374,0.0855614973262032,0.2258064516129032,1
91,0.0311,0.0311,1.0,0,0.0372670807453416,0.0372670807453416,1.0,1
92,0.2571,0.2571,1.0,0,0.0,0.0,1.0,0
97,0.0364,0.0364,1.0,0,0.059090909090909,0.0,0.0,0
99,0.064,0.064,1.0,0,0.063953488372093,0.005813953488372,0.0909090909090909,1
101,0.1074,0.1074,1.0,0,0.0743801652892562,0.0826446280991735,1.0,1
107,0.076,0.076,1.0,0,0.0818713450292397,0.0467836257309941,0.5714285714285714,0
108,0.0984,0.0328,0.0,0,0.2704918032786885,0.0081967213114754,0.0303030303030303,0
111,0.0227,0.0227,1.0,0,0.0113636363636363,0.0113636363636363,1.0,1
115,0.0444,0.0133,0.0,0,0.0577777777777777,0.0266666666666666,0.4615384615384615,1
117,0.0364,0.0364,1.0,0,0.0136363636363636,0.0318181818181818,0.0,0
122,0.0236,0.0236,1.0,0,0.1338582677165354,0.0078740157480314,0.0588235294117647,1
124,0.0317,0.0317,1.0,0,0.0,0.0,1.0,0
126,0.0147,0.0147,1.0,0,0.0588235294117647,0.0441176470588235,0.75,1
130,0.0374,0.0374,1.0,0,0.0420560747663551,0.02803738317757,0.5555555555555556,1
132,0.0347,0.0347,1.0,0,0.0198019801980198,0.0148514851485148,0.75,1
133,0.1053,0.0702,0.0,0,0.0964912280701754,0.0964912280701754,1.0,1
6,0.0957,0.0957,1.0,0,0.0,0.0,1.0,0
14,0.0738,0.0738,1.0,0,0.0738255033557047,0.03355704697986577,0.45454545454545453,1
23,0.0706,0.0706,1.0,0,0.17058823529411765,0.047058823529411764,0.2413793103448276,1
40,0.0562,0.0562,1.0,0,0.11797752808988764,0.03932584269662921,0.3333333333333333,1
47,0.0219,0.0437,0.0,0,0.04918032786885246,0.0,0.0,0
48,0.0327,0.0327,1.0,0,0.00816326530612245,0.012244897959183673,0.5,1
64,0.0514,0.0514,1.0,0,0.0,0.0,1.0,0
72,0.0778,0.0778,1.0,0,0.0,0.0,1.0,0
118,0.0651,0.0651,1.0,0,0.047337278106508875,0.011834319526627219,0.25,1
128,0.0556,0.0764,1.0,0,0.0,0.0,1.0,1
129,0.0385,0.0385,1.0,0,0.04700854700854701,0.029914529914529916,0.6363636363636364,1
134,0.0435,0.0435,1.0,0,0.0,0.0,1.0,1
139,0.1212,0.1212,1.0,0,0.04242424242424243,0.04242424242424243,1.0,0
145,0.0496,0.0496,1.0,0,0.03305785123966942,0.012396694214876033,0.375,1
146,0.0347,0.0248,0.0,1,0.009900990099009901,0.009900990099009901,1.0,1
