idx,our_relevance,our_utilization,our_completeness,our_adherence,ref_relevance,ref_utilization,ref_completeness,ref_adherence
0,0.7778,0.7778,1.0,0,0.1111111111111111,0.1111111111111111,1.0,1
1,0.24,0.08,0.0,0,0.04,0.04,1.0,1
2,0.3,0.3,1.0,0,0.1,0.05,0.5,1
3,0.5556,0.5556,1.0,0,0.1111111111111111,0.1111111111111111,1.0,0
4,0.35,0.35,1.0,0,0.05,0.05,1.0,1
5,0.2143,0.2143,1.0,0,0.0714285714285714,0.0714285714285714,1.0,1
6,0.5,0.5,1.0,0,0.5,0.1666666666666666,0.3333333333333333,1
7,0.1905,0.1905,1.0,0,0.0238095238095238,0.0238095238095238,1.0,1
8,0.5385,0.3846,0.0,0,0.1538461538461538,0.0769230769230769,0.5,1
9,0.5385,0.5385,1.0,0,0.0769230769230769,0.0769230769230769,1.0,1
10,0.1379,0.1379,1.0,1,0.0344827586206896,0.0344827586206896,1.0,1
11,0.16,0.16,1.0,0,0.04,0.04,1.0,1
12,0.1379,0.1379,1.0,0,0.0344827586206896,0.0344827586206896,1.0,1
13,0.2667,0.0667,0.0,0,0.0666666666666666,0.0666666666666666,1.0,1
14,0.1429,0.0571,0.0,0,0.0285714285714285,0.0285714285714285,1.0,1
15,0.4545,0.0909,0.2,1,0.0909090909090909,0.0,0.0,0
16,0.0769,0.1154,1.0,1,0.0384615384615384,0.0384615384615384,1.0,1
17,0.3,0.3,1.0,0,0.1,0.05,0.5,1
18,0.0385,0.0385,1.0,1,0.0384615384615384,0.0384615384615384,1.0,1
19,0.1852,0.1481,0.0,0,0.037037037037037,0.037037037037037,1.0,1
20,0.4286,0.0357,0.0833,0,0.0357142857142857,0.0357142857142857,1.0,1
21,0.1429,0.1429,1.0,0,0.0357142857142857,0.0357142857142857,1.0,1
22,0.0645,0.1613,1.0,1,0.032258064516129,0.032258064516129,1.0,1
23,0.2105,0.2105,1.0,0,0.1578947368421052,0.0526315789473684,0.3333333333333333,1
24,0.2121,0.2121,1.0,0,0.1212121212121212,0.0606060606060606,0.5,0
25,0.0323,0.0323,1.0,0,0.032258064516129,0.032258064516129,1.0,1
26,0.0357,0.1429,0.0,0,0.0357142857142857,0.0357142857142857,1.0,1
27,0.1667,0.1667,1.0,1,0.0833333333333333,0.0833333333333333,1.0,1
28,0.2,0.2,1.0,0,0.0666666666666666,0.0666666666666666,1.0,0
29,0.303,0.1212,0.4,0,0.0606060606060606,0.0606060606060606,1.0,1
30,0.08,0.08,1.0,0,0.04,0.04,1.0,1
31,0.0769,0.0769,1.0,0,0.0384615384615384,0.0384615384615384,1.0,1
32,0.0476,0.0952,1.0,1,0.0476190476190476,0.0476190476190476,1.0,1
33,1.0,1.0,1.0,0,0.3333333333333333,0.3333333333333333,1.0,1
