idx,our_relevance,our_utilization,our_completeness,our_adherence,ref_relevance,ref_utilization,ref_completeness,ref_adherence
0,0.186,0.186,1.0,0,0.4117647058823529,0.17647058823529413,0.42857142857142855,0
1,0.0286,0.0286,1.0,0,0.2692307692307692,0.07692307692307693,0.2857142857142857,1
2,0.05,0.05,1.0,1,0.125,0.0625,0.5,1
3,0.0577,0.0577,1.0,0,0.3,0.3,1.0,1
4,0.1892,0.1892,1.0,0,0.06666666666666667,0.06666666666666667,1.0,1
5,0.1628,0.1628,1.0,0,0.29411764705882354,0.17647058823529413,0.6,1
6,0.0435,0.0435,1.0,0,0.05555555555555555,0.05555555555555555,1.0,1
7,0.0345,0.0345,1.0,0,0.36363636363636365,0.045454545454545456,0.125,1
8,0.3061,0.0204,0.0667,0,0.15789473684210525,0.05263157894736842,0.3333333333333333,1
9,0.0312,0.0312,1.0,1,1.0,0.041666666666666664,0.041666666666666664,1
10,0.0385,0.0385,1.0,0,0.35,0.1,0.2857142857142857,1
11,0.0435,0.0435,1.0,0,0.3888888888888889,0.2222222222222222,0.5714285714285714,1
12,0.1081,0.1081,1.0,0,0.13333333333333333,0.06666666666666667,0.5,1
13,0.0408,0.0204,0.5,1,0.10526315789473684,0.05263157894736842,0.5,1
14,0.0408,0.0408,1.0,1,0.2631578947368421,0.15789473684210525,0.6,1
15,0.3636,0.3636,1.0,0,0.2,0.2,1.0,1
16,0.093,0.093,1.0,0,0.17647058823529413,0.11764705882352941,0.6666666666666666,0
17,0.1395,0.1395,1.0,1,0.058823529411764705,0.058823529411764705,1.0,1
18,0.6,0.6,1.0,0,0.3333333333333333,0.3333333333333333,1.0,0
19,0.0192,0.0192,1.0,1,0.1,0.1,1.0,1
20,0.1392,0.1392,1.0,1,0.41379310344827586,0.3448275862068966,0.8333333333333334,1
21,0.0328,0.0328,1.0,0,0.13043478260869565,0.043478260869565216,0.3333333333333333,1
22,0.16,0.16,1.0,0,0.18181818181818182,0.18181818181818182,1.0,1
23,0.1633,0.3878,0.0,0,0.42105263157894735,0.15789473684210525,0.375,1
24,0.2558,0.2558,1.0,0,0.23529411764705882,0.11764705882352941,0.5,0
25,0.2903,0.2903,1.0,0,0.23076923076923078,0.15384615384615385,0.6666666666666666,1
26,0.1739,0.1739,1.0,0,0.4444444444444444,0.4444444444444444,1.0,1
27,0.0545,0.0545,1.0,0,0.19047619047619047,0.19047619047619047,1.0,1
28,0.0652,0.0652,1.0,0,0.2222222222222222,0.05555555555555555,0.25,1
29,0.1273,0.1091,0.0,0,0.38095238095238093,0.38095238095238093,1.0,0
30,0.0862,0.0517,0.0,1,0.2727272727272727,0.22727272727272727,0.8333333333333334,0
31,0.0588,0.0588,1.0,0,0.2857142857142857,0.14285714285714285,0.5,1
32,0.0909,0.0545,0.0,0,0.2857142857142857,0.09523809523809523,0.3333333333333333,1
33,0.0192,0.0577,1.0,1,0.4,0.25,0.625,1
34,0.1875,0.5,1.0,0,0.625,0.625,1.0,1
35,0.2353,0.0588,0.0,0,0.35714285714285715,0.35714285714285715,1.0,0
36,0.2162,0.1081,0.0,0,0.4,0.26666666666666666,0.6666666666666666,1
37,0.0727,0.0545,0.75,0,0.2857142857142857,0.14285714285714285,0.5,1
38,0.0192,0.0192,0.0,0,0.2,0.05,0.25,1
39,0.0962,0.0962,1.0,0,0.15,0.05,0.3333333333333333,1
40,0.0652,0.0652,1.0,0,0.6666666666666666,0.2222222222222222,0.3333333333333333,1
41,0.0345,0.0345,1.0,1,0.045454545454545456,0.045454545454545456,1.0,1
42,0.0294,0.0588,1.0,0,0.42857142857142855,0.42857142857142855,1.0,1
43,0.1429,0.1429,1.0,0,0.5263157894736842,0.42105263157894735,0.8,1
44,0.3125,0.3125,1.0,0,0.5,0.5,1.0,1
45,0.7143,0.7143,1.0,0,0.2,0.2,1.0,0
46,0.0612,0.0612,1.0,1,0.21052631578947367,0.21052631578947367,1.0,0
47,0.4,0.16,0.0,0,0.2727272727272727,0.18181818181818182,0.6666666666666666,1
48,0.0517,0.0517,1.0,0,0.09090909090909091,0.045454545454545456,0.5,1
49,0.05,0.05,1.0,0,0.3125,0.0625,0.2,1
50,0.0164,0.0164,1.0,1,0.043478260869565216,0.043478260869565216,1.0,1
51,0.1633,0.2245,1.0,0,0.42105263157894735,0.21052631578947367,0.5,0
52,0.0526,0.0526,0.0,1,0.3333333333333333,0.2222222222222222,0.6666666666666666,1
53,0.0909,0.0909,1.0,0,0.38095238095238093,0.047619047619047616,0.125,1
54,0.0204,0.0408,0.0,1,0.8421052631578947,0.47368421052631576,0.5625,1
55,0.1346,0.1346,0.0,0,0.4,0.25,0.625,1
56,0.05,0.05,1.0,0,0.75,0.4375,0.5833333333333334,1
57,0.0541,0.0541,1.0,0,0.3333333333333333,0.06666666666666667,0.2,1
58,0.2432,0.1622,0.0,0,0.4,0.4,1.0,1
59,0.0217,0.0652,0.0,1,0.2777777777777778,0.2222222222222222,0.8,1
60,0.025,0.075,0.0,1,0.75,0.375,0.5,1
61,0.125,0.125,1.0,0,0.0,0.0,1.0,1
62,0.0789,0.0921,0.0,0,0.35714285714285715,0.2857142857142857,0.8,0
63,0.25,0.1875,0.0,0,0.375,0.375,1.0,0
64,0.125,0.1875,1.0,0,0.375,0.16666666666666666,0.4444444444444444,1
65,0.05,0.05,1.0,0,0.125,0.0,0.0,1
66,0.0435,0.1304,1.0,1,0.5,0.4444444444444444,0.8888888888888888,1
67,0.0411,0.0411,1.0,0,0.14814814814814814,0.037037037037037035,0.25,1
68,0.0345,0.0345,1.0,1,0.18181818181818182,0.18181818181818182,1.0,1
69,0.2069,0.2069,1.0,0,0.22727272727272727,0.09090909090909091,0.4,1
70,0.1207,0.0862,0.0,0,0.4090909090909091,0.2727272727272727,0.6666666666666666,1
71,0.1207,0.2241,0.0,0,0.09090909090909091,0.09090909090909091,1.0,1
72,0.05,0.05,1.0,0,0.25,0.0625,0.25,1
73,0.0545,0.0727,1.0,1,0.09523809523809523,0.09523809523809523,1.0,1
74,0.0172,0.0172,1.0,1,0.13636363636363635,0.09090909090909091,0.6666666666666666,1
75,0.0541,0.0541,1.0,0,0.26666666666666666,0.26666666666666666,1.0,1
76,0.1087,0.087,0.0,0,0.2222222222222222,0.2222222222222222,1.0,1
77,0.075,0.075,1.0,0,0.3125,0.0625,0.2,0
78,0.04,0.08,1.0,0,0.0,0.0,1.0,1
79,0.04,0.08,0.0,1,0.45454545454545453,0.36363636363636365,0.8,1
80,0.05,0.05,1.0,0,0.5,0.375,0.75,1
82,0.3125,0.3125,1.0,0,0.25,0.25,1.0,0
83,0.05,0.05,0.0,0,0.125,0.0625,0.5,1
84,0.0435,0.0435,1.0,1,0.16666666666666666,0.16666666666666666,1.0,1
85,0.1045,0.1493,0.0,0,0.12,0.04,0.3333333333333333,1
86,0.1639,0.1639,1.0,0,0.2608695652173913,0.043478260869565216,0.16666666666666666,0
87,0.2826,0.2826,1.0,0,0.6111111111111112,0.5555555555555556,0.9090909090909091,1
88,0.1224,0.1224,1.0,0,0.47368421052631576,0.15789473684210525,0.3333333333333333,1
89,0.2545,0.2545,1.0,0,0.38095238095238093,0.14285714285714285,0.375,0
91,0.36,0.28,0.0,0,0.09090909090909091,0.09090909090909091,1.0,1
92,0.0233,0.0233,0.0,1,0.11764705882352941,0.058823529411764705,0.5,1
93,0.2241,0.2241,0.8462,1,0.09090909090909091,0.09090909090909091,1.0,1
94,0.0862,0.0862,0.0,0,0.2727272727272727,0.09090909090909091,0.3333333333333333,0
95,0.0204,0.0408,0.0,1,0.15789473684210525,0.15789473684210525,1.0,1
96,0.069,0.069,1.0,0,0.4090909090909091,0.22727272727272727,0.5555555555555556,1
97,0.0345,0.0345,1.0,1,0.045454545454545456,0.045454545454545456,1.0,1
98,0.05,0.05,1.0,0,0.375,0.125,0.3333333333333333,0
99,0.1628,0.1628,1.0,0,0.5882352941176471,0.47058823529411764,0.7,1
100,0.0545,0.0545,1.0,0,0.47619047619047616,0.2857142857142857,0.6,1
101,0.0435,0.0435,1.0,0,0.1111111111111111,0.16666666666666666,1.0,1
102,0.0517,0.0517,1.0,0,0.09090909090909091,0.09090909090909091,1.0,1
103,0.0408,0.0408,1.0,1,0.15789473684210525,0.05263157894736842,0.3333333333333333,0
104,0.0612,0.0612,1.0,1,0.05263157894736842,0.05263157894736842,1.0,0
105,0.0517,0.069,0.0,1,0.4090909090909091,0.18181818181818182,0.3333333333333333,0
