idx,our_relevance,our_completeness,our_adherence,ref_relevance,ref_completeness,ref_adherence
0,0.7143,0.0,0,0.4117647058823529,0.42857142857142855,0
1,0.2174,0.0,0,0.2692307692307692,0.2857142857142857,1
2,0.6875,0.0,0,0.125,0.5,1
3,0.6667,0.0,0,0.3,1.0,1
4,0.7333,0.7273,0,0.06666666666666667,1.0,1
5,0.6429,0.0,0,0.29411764705882354,0.6,1
6,0.6667,1.0,0,0.05555555555555555,1.0,1
7,0.4737,0.0,0,0.36363636363636365,0.125,1
8,0.875,0.0,0,0.15789473684210525,0.3333333333333333,1
9,0.5294,0.0,0,1.0,0.041666666666666664,1
10,0.4667,1.0,0,0.35,0.2857142857142857,1
11,0.5455,0.0,0,0.3888888888888889,0.5714285714285714,1
12,0.2,1.0,1,0.13333333333333333,0.5,1
13,0.0769,0.0,1,0.10526315789473684,0.5,1
14,0.6154,0.0,0,0.2631578947368421,0.6,1
15,1.0,0.0,0,0.2,1.0,1
16,0.9167,0.0,0,0.17647058823529413,0.6666666666666666,0
17,0.7857,0.0,1,0.058823529411764705,1.0,1
18,1.6667,0.0,0,0.3333333333333333,1.0,0
19,0.4167,0.0,0,0.1,1.0,1
20,0.7059,0.0,0,0.41379310344827586,0.8333333333333334,1
22,0.8182,0.0,0,0.18181818181818182,1.0,1
23,0.5625,0.0,0,0.42105263157894735,0.375,1
24,0.625,0.0,0,0.23529411764705882,0.5,0
25,0.5385,0.0,0,0.23076923076923078,0.6666666666666666,1
27,0.619,0.0,0,0.19047619047619047,1.0,1
28,0.5714,0.0,0,0.2222222222222222,0.25,1
29,0.7857,0.0,0,0.38095238095238093,1.0,0
30,0.6316,0.0,0,0.2727272727272727,0.8333333333333334,0
31,0.4286,0.0,0,0.2857142857142857,0.5,1
32,0.4615,1.0,0,0.2857142857142857,0.3333333333333333,1
33,0.4667,0.0,0,0.4,0.625,1
34,1.375,0.0,0,0.625,1.0,1
35,0.7143,0.0,0,0.35714285714285715,1.0,0
36,0.9167,0.0,0,0.4,0.6666666666666666,1
37,0.5,0.0,0,0.2857142857142857,0.5,1
38,0.5333,0.0,0,0.2,0.25,1
39,0.3125,1.0,0,0.15,0.3333333333333333,1
40,0.6923,0.0,0,0.6666666666666666,0.3333333333333333,1
41,0.1765,0.0,0,0.045454545454545456,1.0,1
42,0.7857,1.0,0,0.42857142857142855,1.0,1
43,0.9231,0.0,0,0.5263157894736842,0.8,1
44,1.0,0.0,0,0.5,1.0,1
45,2.0,0.0,0,0.2,1.0,0
46,0.5,0.0,0,0.21052631578947367,1.0,0
47,0.0,0.0,0,0.2727272727272727,0.6666666666666666,1
48,1.0,0.0,0,0.09090909090909091,0.5,1
49,1.0714,0.4667,1,0.3125,0.2,1
