idx,our_relevance,our_completeness,our_adherence,ref_relevance,ref_completeness,ref_adherence
0,0.5,0.0,0,0.17857142857142858,0.6,0
1,0.7273,0.0,0,0.18181818181818182,1.0,1
2,0.8333,0.0,0,0.16666666666666666,1.0,1
3,1.2727,1.0,1,0.2727272727272727,0.6666666666666666,1
4,0.7692,0.0,0,0.3076923076923077,0.75,1
5,0.2143,0.6667,0,0.07142857142857142,1.0,1
6,0.75,0.0,0,0.2222222222222222,0.25,1
7,1.1667,0.0,0,0.16666666666666666,1.0,1
8,0.6316,0.0,0,0.2,0.5,1
9,0.9333,0.0,0,0.13333333333333333,1.0,1
10,0.0,0.0,0,0.05555555555555555,1.0,1
11,0.8182,0.0,0,0.2727272727272727,1.0,1
12,0.4,0.0,0,0.2,1.0,1
13,0.8462,0.0,0,0.23076923076923078,0.3333333333333333,1
14,1.0833,0.0,0,0.25,0.6666666666666666,1
15,0.7143,0.0,0,0.22727272727272727,0.2,1
16,0.5263,0.0,0,0.11538461538461539,0.6666666666666666,1
17,0.5,1.0,0,0.25,0.8333333333333334,0
18,0.6111,0.0,1,0.16666666666666666,0.6666666666666666,1
19,0.8462,0.0,1,0.15384615384615385,1.0,1
20,0.1429,1.0,0,0.5,0.2857142857142857,0
21,0.75,0.1111,0,0.25,1.0,1
22,0.1333,0.0,0,0.3333333333333333,0.2,1
23,0.6429,0.0,1,0.2222222222222222,0.5,1
24,1.0,0.0,0,0.3333333333333333,0.6666666666666666,1
25,1.7,0.0,0,0.6,0.6666666666666666,0
26,0.5,0.0,0,0.21428571428571427,0.6666666666666666,1
27,1.1,0.0,0,0.3333333333333333,1.0,1
28,0.375,1.0,1,0.1111111111111111,0.5,1
29,0.6154,0.0,0,0.21052631578947367,0.25,1
30,1.0714,0.0,0,0.15789473684210525,0.6666666666666666,1
31,0.7143,0.0,0,0.23529411764705882,0.5,1
32,0.4,0.0,0,0.16666666666666666,1.0,1
33,0.6,0.0,1,0.4,0.75,1
34,1.2727,0.0,0,0.18181818181818182,1.0,1
35,0.375,0.0,0,0.1,1.0,1
36,0.4615,0.0,0,0.17647058823529413,1.0,1
37,0.7857,0.0,0,0.1111111111111111,1.0,1
38,1.0,0.0,0,0.08333333333333333,0.0,0
39,0.45,0.0,0,0.09523809523809523,1.0,1
40,1.0909,0.0,0,0.18181818181818182,0.5,0
41,0.8,0.0,0,0.3,0.6666666666666666,1
42,0.2857,1.0,0,0.21428571428571427,0.6666666666666666,1
43,0.0,0.0,0,0.1,1.0,1
44,0.1875,0.0,1,0.09523809523809523,1.0,1
45,1.4,0.0,0,0.3,1.0,1
46,0.7692,0.0,0,0.23076923076923078,0.6666666666666666,1
47,1.1111,0.0,0,0.4444444444444444,0.5,1
48,0.6667,0.0,0,0.13333333333333333,1.0,1
49,0.7692,0.0,0,0.3076923076923077,0.25,1
