idx,our_relevance,our_utilization,our_completeness,our_adherence,ref_relevance,ref_utilization,ref_completeness,ref_adherence
1,0.1216,0.1216,1.0,0,0.027027027027027,0.027027027027027,1.0,1
4,0.0833,0.1389,0.0,0,0.0833333333333333,0.0462962962962962,0.5555555555555556,1
5,0.0138,0.0138,1.0,0,0.0,0.0,1.0,0
8,0.093,0.093,0.0,1,0.0542635658914728,0.0542635658914728,1.0,1
14,0.1141,0.0805,0.0,0,0.0738255033557047,0.0335570469798657,0.4545454545454545,1
16,0.1094,0.1094,1.0,0,0.1875,0.046875,0.25,0
17,0.0783,0.0783,1.0,0,0.0,0.0,1.0,1
22,0.0719,0.0392,0.0,0,0.0196078431372549,0.0065359477124183,0.0,0
23,0.0529,0.1765,0.0,1,0.1705882352941176,0.0470588235294117,0.2413793103448276,1
26,0.0213,0.0106,0.0,1,0.0638297872340425,0.0106382978723404,0.1666666666666666,1
0,0.2222,0.5833,0.0,0,0.01171875,0.01171875,1.0,0
2,0.1951,0.0488,0.0,0,0.0026595744680851063,0.0013297872340425532,0.5,1
3,0.2609,0.3913,0.0,0,0.0,0.0,1.0,1
6,0.3077,0.9615,0.0,0,0.0,0.0,1.0,0
7,0.2791,0.2791,1.0,0,0.014634146341463415,0.014634146341463415,1.0,0
9,0.2353,0.2353,1.0,0,0.0627177700348432,0.0627177700348432,1.0,1
10,0.2619,0.1667,0.0,0,0.018691588785046728,0.018691588785046728,1.0,1
11,0.4286,0.0,0.0,0,0.07011070110701106,0.05904059040590406,0.8421052631578947,1
12,0.5,0.4545,0.0,0,0.028037383177570093,0.0,0.0,0
13,0.25,1.0,0.0,0,0.085,0.065,0.7647058823529411,1
15,0.8125,0.8125,0.0,0,0.06103286384976526,0.023474178403755867,0.38461538461538464,0
18,0.52,0.52,1.0,0,0.0,0.0,1.0,0
19,0.5,0.0714,0.0,0,0.036734693877551024,0.0,0.0,0
20,0.1471,0.0882,0.0,0,0.0,0.0,1.0,0
21,0.7333,0.4,0.0,0,0.14450867052023122,0.13872832369942195,0.96,1
25,0.4062,1.0,0.0,0,0.07009345794392523,0.04672897196261682,0.5333333333333333,1
27,0.2273,0.0455,0.0,0,0.02564102564102564,0.004273504273504274,0.16666666666666666,1
28,0.4667,0.5333,1.0,0,0.13930348258706468,0.05472636815920398,0.39285714285714285,1
29,0.3462,0.1923,0.0,0,0.034220532319391636,0.034220532319391636,1.0,0
30,0.2727,1.0,0.0,0,0.04610951008645533,0.025936599423631124,0.5625,0
31,0.5,0.9583,0.0,0,0.0,0.0,1.0,0
32,0.4348,0.6087,0.0,0,0.0,0.0,1.0,0
33,0.4167,0.4167,1.0,0,0.0,0.0,1.0,1
34,0.6087,0.1739,0.0,0,0.02830188679245283,0.025157232704402517,0.8888888888888888,0
35,0.087,0.087,0.0,1,0.009868421052631578,0.003289473684210526,0.3333333333333333,1
36,0.6667,0.6667,1.0,0,0.24206349206349206,0.0,0.0,0
37,0.8,0.8,1.0,0,0.0,0.0,1.0,0
38,0.3158,0.2105,0.0,0,0.013761467889908258,0.009174311926605505,0.3333333333333333,1
39,0.625,0.25,0.0,0,0.06363636363636363,0.01818181818181818,0.2857142857142857,1
40,0.4348,0.1739,0.0,0,0.11797752808988764,0.03932584269662921,0.3333333333333333,1
41,0.8333,0.1667,0.0,0,0.14,0.0,0.0,0
42,0.4118,1.0,0.0,0,0.0071174377224199285,0.0035587188612099642,0.5,0
