idx,our_relevance,our_utilization,our_completeness,our_adherence,ref_relevance,ref_utilization,ref_completeness,ref_adherence
0,0.7778,0.5556,0.7143,0,0.1111111111111111,0.1111111111111111,1.0,1
1,0.08,0.08,1.0,0,0.04,0.04,1.0,1
2,0.2,0.1,0.5,1,0.1,0.05,0.5,1
3,0.8889,0.2222,0.25,1,0.1111111111111111,0.1111111111111111,1.0,0
4,0.4,0.05,0.125,0,0.05,0.05,1.0,1
5,0.4286,0.1429,0.3333,1,0.0714285714285714,0.0714285714285714,1.0,1
6,0.6667,0.1667,0.25,1,0.5,0.1666666666666666,0.3333333333333333,1
7,0.2381,0.0,0.0,0,0.0238095238095238,0.0238095238095238,1.0,1
8,0.2308,0.2308,1.0,0,0.1538461538461538,0.0769230769230769,0.5,1
9,0.1538,0.0769,0.5,1,0.0769230769230769,0.0769230769230769,1.0,1
10,0.1034,0.0,0.0,0,0.0344827586206896,0.0344827586206896,1.0,1
11,0.28,0.12,0.4286,0,0.04,0.04,1.0,1
12,0.1379,0.1379,1.0,0,0.0344827586206896,0.0344827586206896,1.0,1
13,0.6,0.0,0.0,0,0.0666666666666666,0.0666666666666666,1.0,1
14,0.0571,0.0,0.0,0,0.0285714285714285,0.0285714285714285,1.0,1
15,0.3636,0.0909,0.25,0,0.0909090909090909,0.0,0.0,0
16,0.0769,0.0385,0.5,1,0.0384615384615384,0.0384615384615384,1.0,1
17,0.1,0.05,0.5,1,0.1,0.05,0.5,1
18,0.2308,0.0,0.0,0,0.0384615384615384,0.0384615384615384,1.0,1
19,0.2963,0.2222,0.75,1,0.037037037037037,0.037037037037037,1.0,1
20,0.3929,0.0357,0.0909,1,0.03571428571428571,0.03571428571428571,1.0,1
21,0.1786,0.0357,0.2,0,0.03571428571428571,0.03571428571428571,1.0,1
22,0.129,0.0645,0.5,0,0.03225806451612903,0.03225806451612903,1.0,1
23,0.1579,0.1579,1.0,1,0.15789473684210525,0.05263157894736842,0.3333333333333333,1
24,0.2424,0.0,0.0,0,0.12121212121212122,0.06060606060606061,0.5,0
