idx,our_relevance,our_utilization,our_completeness,our_adherence,ref_relevance,ref_utilization,ref_completeness,ref_adherence
0,0.3043,0.2174,0.0,0,0.010810810810810811,0.005405405405405406,0.5,1
1,0.2941,0.0588,0.0,0,1.0,0.0,0.0,1
2,0.625,0.875,0.0,0,0.0,0.1414141414141414,1.0,1
3,3.0,1.0,0.0,0,1.0,0.0,0.0,1
4,0.375,0.6875,0.0,0,0.013888888888888888,0.006944444444444444,0.5,1
5,0.1053,0.0526,0.5,1,0.014084507042253521,0.014084507042253521,1.0,1
6,0.3846,0.6154,0.0,0,0.008522727272727272,0.0,0.0,1
7,0.1579,0.2105,0.0,0,0.8372093023255814,0.023255813953488372,0.027777777777777776,1
8,0.1707,0.0732,0.0,0,0.016706443914081145,0.007159904534606206,0.14285714285714285,0
9,0.7143,0.2857,0.0,0,0.011764705882352941,0.011764705882352941,1.0,1
10,0.1818,0.1818,0.0,0,0.014367816091954023,0.014367816091954023,0.8,1
11,0.8571,0.2857,0.0,0,0.031746031746031744,0.015873015873015872,0.5,1
12,0.1111,0.1111,0.0,1,0.003105590062111801,0.003105590062111801,1.0,1
13,0.3333,1.0,0.0,0,0.0,0.0,1.0,1
14,0.1905,0.1429,0.0,1,0.014577259475218658,0.011661807580174927,0.8,1
15,0.8889,0.8889,0.0,0,0.08333333333333333,0.08333333333333333,1.0,1
16,0.3125,0.1875,0.0,0,0.02027027027027027,0.02702702702702703,0.6666666666666666,1
17,0.1739,0.087,0.0,0,0.010810810810810811,0.010810810810810811,1.0,1
18,0.5,0.4,0.0,0,0.03732809430255403,0.03143418467583497,0.8421052631578947,1
19,0.6,0.5,0.0,1,0.026455026455026454,0.026455026455026454,1.0,1
20,0.4,0.4,0.5,0,0.041666666666666664,0.041666666666666664,1.0,1
21,0.6667,0.3333,0.0,0,0.007751937984496124,0.007751937984496124,1.0,1
22,0.069,0.8966,0.0,1,0.0,0.0,1.0,1
23,0.0769,0.0769,0.0,1,0.002840909090909091,0.002840909090909091,1.0,1
24,0.15,0.15,0.0,0,0.0,0.0967741935483871,1.0,1
